,depot,INST0100_N10_W10_P000,INST0100_N10_W10_D000,INST0100_N10_W10_P001,INST0100_N10_W10_D001,INST0100_N10_W10_P002,INST0100_N10_W10_D002,INST0100_N10_W10_P003,INST0100_N10_W10_D003,INST0100_N10_W10_P004,INST0100_N10_W10_D004,INST0100_N10_W10_P005,INST0100_N10_W10_D005,INST0100_N10_W10_P006,INST0100_N10_W10_D006,INST0100_N10_W10_P007,INST0100_N10_W10_D007,INST0100_N10_W10_P008,INST0100_N10_W10_D008,INST0100_N10_W10_P009,INST0100_N10_W10_D009
depot,0.0,23.331,22.951,63.48,36.098,64.294,63.48,63.48,35.228,20.02,64.294,20.02,63.48,20.02,64.294,22.951,36.098,22.951,64.294,0.0,23.331
INST0100_N10_W10_P000,23.331,0.0,17.238,40.204,12.767,57.051,40.204,40.204,36.679,20.56,57.051,20.56,40.204,20.56,57.051,17.238,12.767,17.238,57.051,23.331,0.0
INST0100_N10_W10_D000,22.951,17.238,0.0,50.631,25.201,43.046,50.631,50.631,50.317,32.905,43.046,32.905,50.631,32.905,43.046,0.0,25.201,0.0,43.046,22.951,17.238
INST0100_N10_W10_P001,63.48,40.204,50.631,0.0,27.496,68.471,0.0,0.0,61.972,53.818,68.471,53.818,0.0,53.818,68.471,50.631,27.496,50.631,68.471,63.48,40.204
INST0100_N10_W10_D001,36.098,12.767,25.201,27.496,0.0,56.961,27.496,27.496,43.098,29.878,56.961,29.878,27.496,29.878,56.961,25.201,0.0,25.201,56.961,36.098,12.767
INST0100_N10_W10_P002,64.294,57.051,43.046,68.471,56.961,0.0,68.471,68.471,92.961,75.699,0.0,75.699,68.471,75.699,0.0,43.046,56.961,43.046,0.0,64.294,57.051
INST0100_N10_W10_D002,63.48,40.204,50.631,0.0,27.496,68.471,0.0,0.0,61.972,53.818,68.471,53.818,0.0,53.818,68.471,50.631,27.496,50.631,68.471,63.48,40.204
INST0100_N10_W10_P003,63.48,40.204,50.631,0.0,27.496,68.471,0.0,0.0,61.972,53.818,68.471,53.818,0.0,53.818,68.471,50.631,27.496,50.631,68.471,63.48,40.204
INST0100_N10_W10_D003,35.228,36.679,50.317,61.972,43.098,92.961,61.972,61.972,0.0,17.435,92.961,17.435,61.972,17.435,92.961,50.317,43.098,50.317,92.961,35.228,36.679
INST0100_N10_W10_P004,20.02,20.56,32.905,53.818,29.878,75.699,53.818,53.818,17.435,0.0,75.699,0.0,53.818,0.0,75.699,32.905,29.878,32.905,75.699,20.02,20.56
INST0100_N10_W10_D004,64.294,57.051,43.046,68.471,56.961,0.0,68.471,68.471,92.961,75.699,0.0,75.699,68.471,75.699,0.0,43.046,56.961,43.046,0.0,64.294,57.051
INST0100_N10_W10_P005,20.02,20.56,32.905,53.818,29.878,75.699,53.818,53.818,17.435,0.0,75.699,0.0,53.818,0.0,75.699,32.905,29.878,32.905,75.699,20.02,20.56
INST0100_N10_W10_D005,63.48,40.204,50.631,0.0,27.496,68.471,0.0,0.0,61.972,53.818,68.471,53.818,0.0,53.818,68.471,50.631,27.496,50.631,68.471,63.48,40.204
INST0100_N10_W10_P006,20.02,20.56,32.905,53.818,29.878,75.699,53.818,53.818,17.435,0.0,75.699,0.0,53.818,0.0,75.699,32.905,29.878,32.905,75.699,20.02,20.56
INST0100_N10_W10_D006,64.294,57.051,43.046,68.471,56.961,0.0,68.471,68.471,92.961,75.699,0.0,75.699,68.471,75.699,0.0,43.046,56.961,43.046,0.0,64.294,57.051
INST0100_N10_W10_P007,22.951,17.238,0.0,50.631,25.201,43.046,50.631,50.631,50.317,32.905,43.046,32.905,50.631,32.905,43.046,0.0,25.201,0.0,43.046,22.951,17.238
INST0100_N10_W10_D007,36.098,12.767,25.201,27.496,0.0,56.961,27.496,27.496,43.098,29.878,56.961,29.878,27.496,29.878,56.961,25.201,0.0,25.201,56.961,36.098,12.767
INST0100_N10_W10_P008,22.951,17.238,0.0,50.631,25.201,43.046,50.631,50.631,50.317,32.905,43.046,32.905,50.631,32.905,43.046,0.0,25.201,0.0,43.046,22.951,17.238
INST0100_N10_W10_D008,64.294,57.051,43.046,68.471,56.961,0.0,68.471,68.471,92.961,75.699,0.0,75.699,68.471,75.699,0.0,43.046,56.961,43.046,0.0,64.294,57.051
INST0100_N10_W10_P009,0.0,23.331,22.951,63.48,36.098,64.294,63.48,63.48,35.228,20.02,64.294,20.02,63.48,20.02,64.294,22.951,36.098,22.951,64.294,0.0,23.331
INST0100_N10_W10_D009,23.331,0.0,17.238,40.204,12.767,57.051,40.204,40.204,36.679,20.56,57.051,20.56,40.204,20.56,57.051,17.238,12.767,17.238,57.051,23.331,0.0
