,depot,INST0143_N12_S23_P000,INST0143_N12_S23_D000,INST0143_N12_S23_P001,INST0143_N12_S23_D001,INST0143_N12_S23_P002,INST0143_N12_S23_D002,INST0143_N12_S23_P003,INST0143_N12_S23_D003,INST0143_N12_S23_P004,INST0143_N12_S23_D004,INST0143_N12_S23_P005,INST0143_N12_S23_D005,INST0143_N12_S23_P006,INST0143_N12_S23_D006,INST0143_N12_S23_P007,INST0143_N12_S23_D007,INST0143_N12_S23_P008,INST0143_N12_S23_D008,INST0143_N12_S23_P009,INST0143_N12_S23_D009,INST0143_N12_S23_P010,INST0143_N12_S23_D010,INST0143_N12_S23_P011,INST0143_N12_S23_D011
depot,0.0,7.008,5.477,60.745,49.927,5.477,49.927,62.898,26.505,58.521,24.239,0.0,26.505,60.745,26.505,58.521,49.927,41.761,24.239,26.505,58.521,24.239,49.927,5.477,24.239
INST0143_N12_S23_P000,7.008,0.0,10.881,54.565,43.838,10.881,43.838,58.699,32.298,65.452,25.439,7.008,32.298,54.565,32.298,65.452,43.838,44.339,25.439,32.298,65.452,25.439,43.838,10.881,25.439
INST0143_N12_S23_D000,5.477,10.881,0.0,61.394,50.526,0.0,50.526,68.319,21.478,55.179,19.629,5.477,21.478,61.394,21.478,55.179,50.526,36.46,19.629,21.478,55.179,19.629,50.526,0.0,19.629
INST0143_N12_S23_P001,60.745,54.565,61.394,0.0,10.867,61.394,10.867,77.092,75.908,113.587,55.171,60.745,75.908,0.0,75.908,113.587,10.867,67.889,55.171,75.908,113.587,55.171,10.867,61.394,55.171
INST0143_N12_S23_D001,49.927,43.838,50.526,10.867,0.0,50.526,0.0,71.865,65.388,103.002,45.002,49.927,65.388,10.867,65.388,103.002,0.0,59.003,45.002,65.388,103.002,45.002,0.0,50.526,45.002
INST0143_N12_S23_P002,5.477,10.881,0.0,61.394,50.526,0.0,50.526,68.319,21.478,55.179,19.629,5.477,21.478,61.394,21.478,55.179,50.526,36.46,19.629,21.478,55.179,19.629,50.526,0.0,19.629
INST0143_N12_S23_D002,49.927,43.838,50.526,10.867,0.0,50.526,0.0,71.865,65.388,103.002,45.002,49.927,65.388,10.867,65.388,103.002,0.0,59.003,45.002,65.388,103.002,45.002,0.0,50.526,45.002
INST0143_N12_S23_P003,62.898,58.699,68.319,77.092,71.865,68.319,71.865,0.0,88.975,113.511,83.416,62.898,88.975,77.092,88.975,113.511,71.865,102.776,83.416,88.975,113.511,83.416,71.865,68.319,83.416
INST0143_N12_S23_D003,26.505,32.298,21.478,75.908,65.388,21.478,65.388,88.975,0.0,37.715,21.517,26.505,0.0,75.908,0.0,37.715,65.388,24.954,21.517,0.0,37.715,21.517,65.388,21.478,21.517
INST0143_N12_S23_P004,58.521,65.452,55.179,113.587,103.002,55.179,103.002,113.511,37.715,0.0,59.019,58.521,37.715,113.587,37.715,0.0,103.002,54.903,59.019,37.715,0.0,59.019,103.002,55.179,59.019
INST0143_N12_S23_D004,24.239,25.439,19.629,55.171,45.002,19.629,45.002,83.416,21.517,59.019,0.0,24.239,21.517,55.171,21.517,59.019,45.002,19.488,0.0,21.517,59.019,0.0,45.002,19.629,0.0
INST0143_N12_S23_P005,0.0,7.008,5.477,60.745,49.927,5.477,49.927,62.898,26.505,58.521,24.239,0.0,26.505,60.745,26.505,58.521,49.927,41.761,24.239,26.505,58.521,24.239,49.927,5.477,24.239
INST0143_N12_S23_D005,26.505,32.298,21.478,75.908,65.388,21.478,65.388,88.975,0.0,37.715,21.517,26.505,0.0,75.908,0.0,37.715,65.388,24.954,21.517,0.0,37.715,21.517,65.388,21.478,21.517
INST0143_N12_S23_P006,60.745,54.565,61.394,0.0,10.867,61.394,10.867,77.092,75.908,113.587,55.171,60.745,75.908,0.0,75.908,113.587,10.867,67.889,55.171,75.908,113.587,55.171,10.867,61.394,55.171
INST0143_N12_S23_D006,26.505,32.298,21.478,75.908,65.388,21.478,65.388,88.975,0.0,37.715,21.517,26.505,0.0,75.908,0.0,37.715,65.388,24.954,21.517,0.0,37.715,21.517,65.388,21.478,21.517
INST0143_N12_S23_P007,58.521,65.452,55.179,113.587,103.002,55.179,103.002,113.511,37.715,0.0,59.019,58.521,37.715,113.587,37.715,0.0,103.002,54.903,59.019,37.715,0.0,59.019,103.002,55.179,59.019
INST0143_N12_S23_D007,49.927,43.838,50.526,10.867,0.0,50.526,0.0,71.865,65.388,103.002,45.002,49.927,65.388,10.867,65.388,103.002,0.0,59.003,45.002,65.388,103.002,45.002,0.0,50.526,45.002
INST0143_N12_S23_P008,41.761,44.339,36.46,67.889,59.003,36.46,59.003,102.776,24.954,54.903,19.488,41.761,24.954,67.889,24.954,54.903,59.003,0.0,19.488,24.954,54.903,19.488,59.003,36.46,19.488
INST0143_N12_S23_D008,24.239,25.439,19.629,55.171,45.002,19.629,45.002,83.416,21.517,59.019,0.0,24.239,21.517,55.171,21.517,59.019,45.002,19.488,0.0,21.517,59.019,0.0,45.002,19.629,0.0
INST0143_N12_S23_P009,26.505,32.298,21.478,75.908,65.388,21.478,65.388,88.975,0.0,37.715,21.517,26.505,0.0,75.908,0.0,37.715,65.388,24.954,21.517,0.0,37.715,21.517,65.388,21.478,21.517
INST0143_N12_S23_D009,58.521,65.452,55.179,113.587,103.002,55.179,103.002,113.511,37.715,0.0,59.019,58.521,37.715,113.587,37.715,0.0,103.002,54.903,59.019,37.715,0.0,59.019,103.002,55.179,59.019
INST0143_N12_S23_P010,24.239,25.439,19.629,55.171,45.002,19.629,45.002,83.416,21.517,59.019,0.0,24.239,21.517,55.171,21.517,59.019,45.002,19.488,0.0,21.517,59.019,0.0,45.002,19.629,0.0
INST0143_N12_S23_D010,49.927,43.838,50.526,10.867,0.0,50.526,0.0,71.865,65.388,103.002,45.002,49.927,65.388,10.867,65.388,103.002,0.0,59.003,45.002,65.388,103.002,45.002,0.0,50.526,45.002
INST0143_N12_S23_P011,5.477,10.881,0.0,61.394,50.526,0.0,50.526,68.319,21.478,55.179,19.629,5.477,21.478,61.394,21.478,55.179,50.526,36.46,19.629,21.478,55.179,19.629,50.526,0.0,19.629
INST0143_N12_S23_D011,24.239,25.439,19.629,55.171,45.002,19.629,45.002,83.416,21.517,59.019,0.0,24.239,21.517,55.171,21.517,59.019,45.002,19.488,0.0,21.517,59.019,0.0,45.002,19.629,0.0
