,depot,INST0114_N10_N24_P000,INST0114_N10_N24_D000,INST0114_N10_N24_P001,INST0114_N10_N24_D001,INST0114_N10_N24_P002,INST0114_N10_N24_D002,INST0114_N10_N24_P003,INST0114_N10_N24_D003,INST0114_N10_N24_P004,INST0114_N10_N24_D004,INST0114_N10_N24_P005,INST0114_N10_N24_D005,INST0114_N10_N24_P006,INST0114_N10_N24_D006,INST0114_N10_N24_P007,INST0114_N10_N24_D007,INST0114_N10_N24_P008,INST0114_N10_N24_D008,INST0114_N10_N24_P009,INST0114_N10_N24_D009
depot,0.0,41.993,43.657,33.197,114.332,35.041,114.332,33.197,58.839,33.197,134.941,0.0,33.197,58.839,33.197,35.041,41.993,33.197,134.941,58.839,187.802
INST0114_N10_N24_P000,41.993,0.0,23.01,8.817,81.208,24.088,81.208,8.817,26.694,8.817,162.641,41.993,8.817,26.694,8.817,24.088,0.0,8.817,162.641,26.694,146.035
INST0114_N10_N24_D000,43.657,23.01,0.0,22.387,101.428,43.511,101.428,22.387,49.306,22.387,175.714,43.657,22.387,49.306,22.387,43.511,23.01,22.387,175.714,49.306,149.729
INST0114_N10_N24_P001,33.197,8.817,22.387,0.0,87.893,21.127,87.893,0.0,31.992,0.0,156.702,33.197,0.0,31.992,0.0,21.127,8.817,0.0,156.702,31.992,154.717
INST0114_N10_N24_D001,114.332,81.208,101.428,87.893,0.0,79.42,0.0,87.893,56.35,87.893,182.822,114.332,87.893,56.35,87.893,79.42,81.208,87.893,182.822,56.35,116.851
INST0114_N10_N24_P002,35.041,24.088,43.511,21.127,79.42,0.0,79.42,21.127,25.326,21.127,139.347,35.041,21.127,25.326,21.127,0.0,24.088,21.127,139.347,25.326,162.63
INST0114_N10_N24_D002,114.332,81.208,101.428,87.893,0.0,79.42,0.0,87.893,56.35,87.893,182.822,114.332,87.893,56.35,87.893,79.42,81.208,87.893,182.822,56.35,116.851
INST0114_N10_N24_P003,33.197,8.817,22.387,0.0,87.893,21.127,87.893,0.0,31.992,0.0,156.702,33.197,0.0,31.992,0.0,21.127,8.817,0.0,156.702,31.992,154.717
INST0114_N10_N24_D003,58.839,26.694,49.306,31.992,56.35,25.326,56.35,31.992,0.0,31.992,157.017,58.839,31.992,0.0,31.992,25.326,26.694,31.992,157.017,0.0,139.481
INST0114_N10_N24_P004,33.197,8.817,22.387,0.0,87.893,21.127,87.893,0.0,31.992,0.0,156.702,33.197,0.0,31.992,0.0,21.127,8.817,0.0,156.702,31.992,154.717
INST0114_N10_N24_D004,134.941,162.641,175.714,156.702,182.822,139.347,182.822,156.702,157.017,156.702,0.0,134.941,156.702,157.017,156.702,139.347,162.641,156.702,0.0,157.017,293.481
INST0114_N10_N24_P005,0.0,41.993,43.657,33.197,114.332,35.041,114.332,33.197,58.839,33.197,134.941,0.0,33.197,58.839,33.197,35.041,41.993,33.197,134.941,58.839,187.802
INST0114_N10_N24_D005,33.197,8.817,22.387,0.0,87.893,21.127,87.893,0.0,31.992,0.0,156.702,33.197,0.0,31.992,0.0,21.127,8.817,0.0,156.702,31.992,154.717
INST0114_N10_N24_P006,58.839,26.694,49.306,31.992,56.35,25.326,56.35,31.992,0.0,31.992,157.017,58.839,31.992,0.0,31.992,25.326,26.694,31.992,157.017,0.0,139.481
INST0114_N10_N24_D006,33.197,8.817,22.387,0.0,87.893,21.127,87.893,0.0,31.992,0.0,156.702,33.197,0.0,31.992,0.0,21.127,8.817,0.0,156.702,31.992,154.717
INST0114_N10_N24_P007,35.041,24.088,43.511,21.127,79.42,0.0,79.42,21.127,25.326,21.127,139.347,35.041,21.127,25.326,21.127,0.0,24.088,21.127,139.347,25.326,162.63
INST0114_N10_N24_D007,41.993,0.0,23.01,8.817,81.208,24.088,81.208,8.817,26.694,8.817,162.641,41.993,8.817,26.694,8.817,24.088,0.0,8.817,162.641,26.694,146.035
INST0114_N10_N24_P008,33.197,8.817,22.387,0.0,87.893,21.127,87.893,0.0,31.992,0.0,156.702,33.197,0.0,31.992,0.0,21.127,8.817,0.0,156.702,31.992,154.717
INST0114_N10_N24_D008,134.941,162.641,175.714,156.702,182.822,139.347,182.822,156.702,157.017,156.702,0.0,134.941,156.702,157.017,156.702,139.347,162.641,156.702,0.0,157.017,293.481
INST0114_N10_N24_P009,58.839,26.694,49.306,31.992,56.35,25.326,56.35,31.992,0.0,31.992,157.017,58.839,31.992,0.0,31.992,25.326,26.694,31.992,157.017,0.0,139.481
INST0114_N10_N24_D009,187.802,146.035,149.729,154.717,116.851,162.63,116.851,154.717,139.481,154.717,293.481,187.802,154.717,139.481,154.717,162.63,146.035,154.717,293.481,139.481,0.0
