,depot,INST0285_N25_N15_P000,INST0285_N25_N15_D000,INST0285_N25_N15_P001,INST0285_N25_N15_D001,INST0285_N25_N15_P002,INST0285_N25_N15_D002,INST0285_N25_N15_P003,INST0285_N25_N15_D003,INST0285_N25_N15_P004,INST0285_N25_N15_D004,INST0285_N25_N15_P005,INST0285_N25_N15_D005,INST0285_N25_N15_P006,INST0285_N25_N15_D006,INST0285_N25_N15_P007,INST0285_N25_N15_D007,INST0285_N25_N15_P008,INST0285_N25_N15_D008,INST0285_N25_N15_P009,INST0285_N25_N15_D009,INST0285_N25_N15_P010,INST0285_N25_N15_D010,INST0285_N25_N15_P011,INST0285_N25_N15_D011,INST0285_N25_N15_P012,INST0285_N25_N15_D012,INST0285_N25_N15_P013,INST0285_N25_N15_D013,INST0285_N25_N15_P014,INST0285_N25_N15_D014,INST0285_N25_N15_P015,INST0285_N25_N15_D015,INST0285_N25_N15_P016,INST0285_N25_N15_D016,INST0285_N25_N15_P017,INST0285_N25_N15_D017,INST0285_N25_N15_P018,INST0285_N25_N15_D018,INST0285_N25_N15_P019,INST0285_N25_N15_D019,INST0285_N25_N15_P020,INST0285_N25_N15_D020,INST0285_N25_N15_P021,INST0285_N25_N15_D021,INST0285_N25_N15_P022,INST0285_N25_N15_D022,INST0285_N25_N15_P023,INST0285_N25_N15_D023,INST0285_N25_N15_P024,INST0285_N25_N15_D024
depot,0.0,34.294,18.791,13.759,0.0,7.201,13.759,13.759,66.32,34.294,132.823,21.8,66.32,19.671,7.201,61.784,11.477,18.791,7.201,7.201,132.823,11.477,119.262,13.759,19.671,7.201,18.791,18.791,21.8,66.32,18.791,11.477,66.32,34.294,0.0,61.784,87.958,13.759,61.784,21.8,119.262,61.784,7.201,66.32,19.671,66.32,7.201,19.671,11.477,11.477,66.32
INST0285_N25_N15_P000,34.294,0.0,35.653,46.06,34.294,27.111,46.06,46.06,93.371,0.0,110.202,48.052,93.371,28.616,27.111,81.232,44.646,35.653,27.111,27.111,110.202,44.646,153.371,46.06,28.616,27.111,35.653,35.653,48.052,93.371,35.653,44.646,93.371,0.0,34.294,81.232,122.247,46.06,81.232,48.052,153.371,81.232,27.111,93.371,28.616,93.371,27.111,28.616,44.646,44.646,93.371
INST0285_N25_N15_D000,18.791,35.653,0.0,30.471,18.791,18.283,30.471,30.471,82.833,35.653,143.5,40.266,82.833,35.534,18.283,47.339,27.709,0.0,18.283,18.283,143.5,27.709,122.278,30.471,35.534,18.283,0.0,0.0,40.266,82.833,0.0,27.709,82.833,35.653,18.791,47.339,93.214,30.471,47.339,40.266,122.278,47.339,18.283,82.833,35.534,82.833,18.283,35.534,27.709,27.709,82.833
INST0285_N25_N15_P001,13.759,46.06,30.471,0.0,13.759,20.176,0.0,0.0,52.8,46.06,135.971,11.436,52.8,23.353,20.176,66.572,2.788,30.471,20.176,20.176,135.971,2.788,109.689,0.0,23.353,20.176,30.471,30.471,11.436,52.8,30.471,2.788,52.8,46.06,13.759,66.572,77.555,0.0,66.572,11.436,109.689,66.572,20.176,52.8,23.353,52.8,20.176,23.353,2.788,2.788,52.8
INST0285_N25_N15_D001,0.0,34.294,18.791,13.759,0.0,7.201,13.759,13.759,66.32,34.294,132.823,21.8,66.32,19.671,7.201,61.784,11.477,18.791,7.201,7.201,132.823,11.477,119.262,13.759,19.671,7.201,18.791,18.791,21.8,66.32,18.791,11.477,66.32,34.294,0.0,61.784,87.958,13.759,61.784,21.8,119.262,61.784,7.201,66.32,19.671,66.32,7.201,19.671,11.477,11.477,66.32
INST0285_N25_N15_P002,7.201,27.111,18.283,20.176,7.201,0.0,20.176,20.176,71.779,27.111,127.973,26.126,71.779,17.254,0.0,64.45,18.229,18.283,0.0,0.0,127.973,18.229,126.352,20.176,17.254,0.0,18.283,18.283,26.126,71.779,18.283,18.229,71.779,27.111,7.201,64.45,95.136,20.176,64.45,26.126,126.352,64.45,0.0,71.779,17.254,71.779,0.0,17.254,18.229,18.229,71.779
INST0285_N25_N15_D002,13.759,46.06,30.471,0.0,13.759,20.176,0.0,0.0,52.8,46.06,135.971,11.436,52.8,23.353,20.176,66.572,2.788,30.471,20.176,20.176,135.971,2.788,109.689,0.0,23.353,20.176,30.471,30.471,11.436,52.8,30.471,2.788,52.8,46.06,13.759,66.572,77.555,0.0,66.572,11.436,109.689,66.572,20.176,52.8,23.353,52.8,20.176,23.353,2.788,2.788,52.8
INST0285_N25_N15_P003,13.759,46.06,30.471,0.0,13.759,20.176,0.0,0.0,52.8,46.06,135.971,11.436,52.8,23.353,20.176,66.572,2.788,30.471,20.176,20.176,135.971,2.788,109.689,0.0,23.353,20.176,30.471,30.471,11.436,52.8,30.471,2.788,52.8,46.06,13.759,66.572,77.555,0.0,66.572,11.436,109.689,66.572,20.176,52.8,23.353,52.8,20.176,23.353,2.788,2.788,52.8
INST0285_N25_N15_D003,66.32,93.371,82.833,52.8,66.32,71.779,52.8,52.8,0.0,93.371,149.304,46.019,0.0,64.86,71.779,107.477,55.435,82.833,71.779,71.779,149.304,55.435,95.428,52.8,64.86,71.779,82.833,82.833,46.019,0.0,82.833,55.435,0.0,93.371,66.32,107.477,65.084,52.8,107.477,46.019,95.428,107.477,71.779,0.0,64.86,0.0,71.779,64.86,55.435,55.435,0.0
INST0285_N25_N15_P004,34.294,0.0,35.653,46.06,34.294,27.111,46.06,46.06,93.371,0.0,110.202,48.052,93.371,28.616,27.111,81.232,44.646,35.653,27.111,27.111,110.202,44.646,153.371,46.06,28.616,27.111,35.653,35.653,48.052,93.371,35.653,44.646,93.371,0.0,34.294,81.232,122.247,46.06,81.232,48.052,153.371,81.232,27.111,93.371,28.616,93.371,27.111,28.616,44.646,44.646,93.371
