,depot,INST0206_N18_S26_P000,INST0206_N18_S26_D000,INST0206_N18_S26_P001,INST0206_N18_S26_D001,INST0206_N18_S26_P002,INST0206_N18_S26_D002,INST0206_N18_S26_P003,INST0206_N18_S26_D003,INST0206_N18_S26_P004,INST0206_N18_S26_D004,INST0206_N18_S26_P005,INST0206_N18_S26_D005,INST0206_N18_S26_P006,INST0206_N18_S26_D006,INST0206_N18_S26_P007,INST0206_N18_S26_D007,INST0206_N18_S26_P008,INST0206_N18_S26_D008,INST0206_N18_S26_P009,INST0206_N18_S26_D009,INST0206_N18_S26_P010,INST0206_N18_S26_D010,INST0206_N18_S26_P011,INST0206_N18_S26_D011,INST0206_N18_S26_P012,INST0206_N18_S26_D012,INST0206_N18_S26_P013,INST0206_N18_S26_D013,INST0206_N18_S26_P014,INST0206_N18_S26_D014,INST0206_N18_S26_P015,INST0206_N18_S26_D015,INST0206_N18_S26_P016,INST0206_N18_S26_D016,INST0206_N18_S26_P017,INST0206_N18_S26_D017
depot,0.0,80.067,39.549,32.455,137.848,26.348,0.0,39.549,137.848,92.948,108.949,92.948,30.556,39.549,108.949,39.549,80.067,26.348,177.944,30.556,26.3,26.348,30.556,30.556,32.455,39.549,177.944,92.948,32.455,30.556,80.067,0.0,46.181,30.556,26.3,80.067,39.549
INST0206_N18_S26_P000,80.067,0.0,53.679,61.135,57.803,55.105,80.067,53.679,57.803,13.307,87.998,13.307,72.248,53.679,87.998,53.679,0.0,55.105,98.41,72.248,61.869,55.105,72.248,72.248,61.135,53.679,98.41,13.307,61.135,72.248,0.0,80.067,126.125,72.248,61.869,0.0,53.679
INST0206_N18_S26_D000,39.549,53.679,0.0,8.581,109.068,31.149,39.549,0.0,109.068,66.815,71.877,66.815,54.293,0.0,71.877,0.0,53.679,31.149,150.553,54.293,13.324,31.149,54.293,54.293,8.581,0.0,150.553,66.815,8.581,54.293,53.679,39.549,80.145,54.293,13.324,53.679,0.0
INST0206_N18_S26_P001,32.455,61.135,8.581,0.0,117.194,29.68,32.455,8.581,117.194,74.382,77.018,74.382,51.136,8.581,77.018,8.581,61.135,29.68,158.604,51.136,6.707,29.68,51.136,51.136,0.0,8.581,158.604,74.382,0.0,51.136,61.135,32.455,71.658,51.136,6.707,61.135,8.581
INST0206_N18_S26_D001,137.848,57.803,109.068,117.194,0.0,112.533,137.848,109.068,0.0,44.98,114.428,44.98,127.137,109.068,114.428,109.068,57.803,112.533,41.594,127.137,118.85,112.533,127.137,127.137,117.194,109.068,41.594,44.98,117.194,127.137,57.803,137.848,183.928,127.137,118.85,57.803,109.068
INST0206_N18_S26_P002,26.348,55.105,31.149,29.68,112.533,0.0,26.348,31.149,112.533,67.557,102.142,67.557,23.863,31.149,102.142,31.149,55.105,0.0,152.108,23.863,24.036,0.0,23.863,23.863,29.68,31.149,152.108,67.557,29.68,23.863,55.105,26.348,72.268,23.863,24.036,55.105,31.149
INST0206_N18_S26_D002,0.0,80.067,39.549,32.455,137.848,26.348,0.0,39.549,137.848,92.948,108.949,92.948,30.556,39.549,108.949,39.549,80.067,26.348,177.944,30.556,26.3,26.348,30.556,30.556,32.455,39.549,177.944,92.948,32.455,30.556,80.067,0.0,46.181,30.556,26.3,80.067,39.549
INST0206_N18_S26_P003,39.549,53.679,0.0,8.581,109.068,31.149,39.549,0.0,109.068,66.815,71.877,66.815,54.293,0.0,71.877,0.0,53.679,31.149,150.553,54.293,13.324,31.149,54.293,54.293,8.581,0.0,150.553,66.815,8.581,54.293,53.679,39.549,80.145,54.293,13.324,53.679,0.0
INST0206_N18_S26_D003,137.848,57.803,109.068,117.194,0.0,112.533,137.848,109.068,0.0,44.98,114.428,44.98,127.137,109.068,114.428,109.068,57.803,112.533,41.594,127.137,118.85,112.533,127.137,127.137,117.194,109.068,41.594,44.98,117.194,127.137,57.803,137.848,183.928,127.137,118.85,57.803,109.068
INST0206_N18_S26_P004,92.948,13.307,66.815,74.382,44.98,67.557,92.948,66.815,44.98,0.0,94.398,0.0,83.129,66.815,94.398,66.815,13.307,67.557,85.211,83.129,75.176,67.557,83.129,83.129,74.382,66.815,85.211,0.0,74.382,83.129,13.307,92.948,139.086,83.129,75.176,13.307,66.815
INST0206_N18_S26_D004,108.949,87.998,71.877,77.018,114.428,102.142,108.949,71.877,114.428,94.398,0.0,94.398,125.848,71.877,0.0,71.877,87.998,102.142,151.155,125.848,83.656,102.142,125.848,125.848,77.018,71.877,151.155,94.398,77.018,125.848,87.998,108.949,138.993,125.848,83.656,87.998,71.877
