,depot,INST0149_N12_S29_P000,INST0149_N12_S29_D000,INST0149_N12_S29_P001,INST0149_N12_S29_D001,INST0149_N12_S29_P002,INST0149_N12_S29_D002,INST0149_N12_S29_P003,INST0149_N12_S29_D003,INST0149_N12_S29_P004,INST0149_N12_S29_D004,INST0149_N12_S29_P005,INST0149_N12_S29_D005,INST0149_N12_S29_P006,INST0149_N12_S29_D006,INST0149_N12_S29_P007,INST0149_N12_S29_D007,INST0149_N12_S29_P008,INST0149_N12_S29_D008,INST0149_N12_S29_P009,INST0149_N12_S29_D009,INST0149_N12_S29_P010,INST0149_N12_S29_D010,INST0149_N12_S29_P011,INST0149_N12_S29_D011
depot,0.0,31.149,39.549,8.581,39.549,8.581,150.553,39.549,8.581,13.324,66.815,31.149,71.877,53.679,13.324,54.293,0.0,53.679,13.324,39.549,54.293,71.877,109.068,53.679,8.581
INST0149_N12_S29_P000,31.149,0.0,26.348,29.68,26.348,29.68,152.108,26.348,29.68,24.036,67.557,0.0,102.142,55.105,24.036,23.863,31.149,55.105,24.036,26.348,23.863,102.142,112.533,55.105,29.68
INST0149_N12_S29_D000,39.549,26.348,0.0,32.455,0.0,32.455,177.944,0.0,32.455,26.3,92.948,26.348,108.949,80.067,26.3,30.556,39.549,80.067,26.3,0.0,30.556,108.949,137.848,80.067,32.455
INST0149_N12_S29_P001,8.581,29.68,32.455,0.0,32.455,0.0,158.604,32.455,0.0,6.707,74.382,29.68,77.018,61.135,6.707,51.136,8.581,61.135,6.707,32.455,51.136,77.018,117.194,61.135,0.0
INST0149_N12_S29_D001,39.549,26.348,0.0,32.455,0.0,32.455,177.944,0.0,32.455,26.3,92.948,26.348,108.949,80.067,26.3,30.556,39.549,80.067,26.3,0.0,30.556,108.949,137.848,80.067,32.455
INST0149_N12_S29_P002,8.581,29.68,32.455,0.0,32.455,0.0,158.604,32.455,0.0,6.707,74.382,29.68,77.018,61.135,6.707,51.136,8.581,61.135,6.707,32.455,51.136,77.018,117.194,61.135,0.0
INST0149_N12_S29_D002,150.553,152.108,177.944,158.604,177.944,158.604,0.0,177.944,158.604,160.028,85.211,152.108,151.155,98.41,160.028,164.482,150.553,98.41,160.028,177.944,164.482,151.155,41.594,98.41,158.604
INST0149_N12_S29_P003,39.549,26.348,0.0,32.455,0.0,32.455,177.944,0.0,32.455,26.3,92.948,26.348,108.949,80.067,26.3,30.556,39.549,80.067,26.3,0.0,30.556,108.949,137.848,80.067,32.455
INST0149_N12_S29_D003,8.581,29.68,32.455,0.0,32.455,0.0,158.604,32.455,0.0,6.707,74.382,29.68,77.018,61.135,6.707,51.136,8.581,61.135,6.707,32.455,51.136,77.018,117.194,61.135,0.0
INST0149_N12_S29_P004,13.324,24.036,26.3,6.707,26.3,6.707,160.028,26.3,6.707,0.0,75.176,24.036,83.656,61.869,0.0,44.645,13.324,61.869,0.0,26.3,44.645,83.656,118.85,61.869,6.707
INST0149_N12_S29_D004,66.815,67.557,92.948,74.382,92.948,74.382,85.211,92.948,74.382,75.176,0.0,67.557,94.398,13.307,75.176,83.129,66.815,13.307,75.176,92.948,83.129,94.398,44.98,13.307,74.382
INST0149_N12_S29_P005,31.149,0.0,26.348,29.68,26.348,29.68,152.108,26.348,29.68,24.036,67.557,0.0,102.142,55.105,24.036,23.863,31.149,55.105,24.036,26.348,23.863,102.142,112.533,55.105,29.68
INST0149_N12_S29_D005,71.877,102.142,108.949,77.018,108.949,77.018,151.155,108.949,77.018,83.656,94.398,102.142,0.0,87.998,83.656,125.848,71.877,87.998,83.656,108.949,125.848,0.0,114.428,87.998,77.018
INST0149_N12_S29_P006,53.679,55.105,80.067,61.135,80.067,61.135,98.41,80.067,61.135,61.869,13.307,55.105,87.998,0.0,61.869,72.248,53.679,0.0,61.869,80.067,72.248,87.998,57.803,0.0,61.135
INST0149_N12_S29_D006,13.324,24.036,26.3,6.707,26.3,6.707,160.028,26.3,6.707,0.0,75.176,24.036,83.656,61.869,0.0,44.645,13.324,61.869,0.0,26.3,44.645,83.656,118.85,61.869,6.707
INST0149_N12_S29_P007,54.293,23.863,30.556,51.136,30.556,51.136,164.482,30.556,51.136,44.645,83.129,23.863,125.848,72.248,44.645,0.0,54.293,72.248,44.645,30.556,0.0,125.848,127.137,72.248,51.136
INST0149_N12_S29_D007,0.0,31.149,39.549,8.581,39.549,8.581,150.553,39.549,8.581,13.324,66.815,31.149,71.877,53.679,13.324,54.293,0.0,53.679,13.324,39.549,54.293,71.877,109.068,53.679,8.581
INST0149_N12_S29_P008,53.679,55.105,80.067,61.135,80.067,61.135,98.41,80.067,61.135,61.869,13.307,55.105,87.998,0.0,61.869,72.248,53.679,0.0,61.869,80.067,72.248,87.998,57.803,0.0,61.135
INST0149_N12_S29_D008,13.324,24.036,26.3,6.707,26.3,6.707,160.028,26.3,6.707,0.0,75.176,24.036,83.656,61.869,0.0,44.645,13.324,61.869,0.0,26.3,44.645,83.656,118.85,61.869,6.707
INST0149_N12_S29_P009,39.549,26.348,0.0,32.455,0.0,32.455,177.944,0.0,32.455,26.3,92.948,26.348,108.949,80.067,26.3,30.556,39.549,80.067,26.3,0.0,30.556,108.949,137.848,80.067,32.455
INST0149_N12_S29_D009,54.293,23.863,30.556,51.136,30.556,51.136,164.482,30.556,51.136,44.645,83.129,23.863,125.848,72.248,44.645,0.0,54.293,72.248,44.645,30.556,0.0,125.848,127.137,72.248,51.136
INST0149_N12_S29_P010,71.877,102.142,108.949,77.018,108.949,77.018,151.155,108.949,77.018,83.656,94.398,102.142,0.0,87.998,83.656,125.848,71.877,87.998,83.656,108.949,125.848,0.0,114.428,87.998,77.018
INST0149_N12_S29_D010,109.068,112.533,137.848,117.194,137.848,117.194,41.594,137.848,117.194,118.85,44.98,112.533,114.428,57.803,118.85,127.137,109.068,57.803,118.85,137.848,127.137,114.428,0.0,57.803,117.194
INST0149_N12_S29_P011,53.679,55.105,80.067,61.135,80.067,61.135,98.41,80.067,61.135,61.869,13.307,55.105,87.998,0.0,61.869,72.248,53.679,0.0,61.869,80.067,72.248,87.998,57.803,0.0,61.135
INST0149_N12_S29_D011,8.581,29.68,32.455,0.0,32.455,0.0,158.604,32.455,0.0,6.707,74.382,29.68,77.018,61.135,6.707,51.136,8.581,61.135,6.707,32.455,51.136,77.018,117.194,61.135,0.0
