,depot,INST0047_N5_S17_P000,INST0047_N5_S17_D000,INST0047_N5_S17_P001,INST0047_N5_S17_D001,INST0047_N5_S17_P002,INST0047_N5_S17_D002,INST0047_N5_S17_P003,INST0047_N5_S17_D003,INST0047_N5_S17_P004,INST0047_N5_S17_D004
depot,0.0,19.629,25.439,0.0,24.239,25.439,55.171,55.171,59.019,45.002,0.0
INST0047_N5_S17_P000,19.629,0.0,10.881,19.629,5.477,10.881,61.394,61.394,55.179,50.526,19.629
INST0047_N5_S17_D000,25.439,10.881,0.0,25.439,7.008,0.0,54.565,54.565,65.452,43.838,25.439
INST0047_N5_S17_P001,0.0,19.629,25.439,0.0,24.239,25.439,55.171,55.171,59.019,45.002,0.0
INST0047_N5_S17_D001,24.239,5.477,7.008,24.239,0.0,7.008,60.745,60.745,58.521,49.927,24.239
INST0047_N5_S17_P002,25.439,10.881,0.0,25.439,7.008,0.0,54.565,54.565,65.452,43.838,25.439
INST0047_N5_S17_D002,55.171,61.394,54.565,55.171,60.745,54.565,0.0,0.0,113.587,10.867,55.171
INST0047_N5_S17_P003,55.171,61.394,54.565,55.171,60.745,54.565,0.0,0.0,113.587,10.867,55.171
INST0047_N5_S17_D003,59.019,55.179,65.452,59.019,58.521,65.452,113.587,113.587,0.0,103.002,59.019
INST0047_N5_S17_P004,45.002,50.526,43.838,45.002,49.927,43.838,10.867,10.867,103.002,0.0,45.002
INST0047_N5_S17_D004,0.0,19.629,25.439,0.0,24.239,25.439,55.171,55.171,59.019,45.002,0.0
