,depot,INST0053_N5_S23_P000,INST0053_N5_S23_D000,INST0053_N5_S23_P001,INST0053_N5_S23_D001,INST0053_N5_S23_P002,INST0053_N5_S23_D002,INST0053_N5_S23_P003,INST0053_N5_S23_D003,INST0053_N5_S23_P004,INST0053_N5_S23_D004
depot,0.0,0.0,129.526,7.008,24.239,26.505,41.761,26.505,0.0,60.745,58.521
INST0053_N5_S23_P000,0.0,0.0,129.526,7.008,24.239,26.505,41.761,26.505,0.0,60.745,58.521
INST0053_N5_S23_D000,129.526,129.526,0.0,122.952,124.222,145.321,134.327,145.321,129.526,69.589,183.035
INST0053_N5_S23_P001,7.008,7.008,122.952,0.0,25.439,32.298,44.339,32.298,7.008,54.565,65.452
INST0053_N5_S23_D001,24.239,24.239,124.222,25.439,0.0,21.517,19.488,21.517,24.239,55.171,59.019
INST0053_N5_S23_P002,26.505,26.505,145.321,32.298,21.517,0.0,24.954,0.0,26.505,75.908,37.715
INST0053_N5_S23_D002,41.761,41.761,134.327,44.339,19.488,24.954,0.0,24.954,41.761,67.889,54.903
INST0053_N5_S23_P003,26.505,26.505,145.321,32.298,21.517,0.0,24.954,0.0,26.505,75.908,37.715
INST0053_N5_S23_D003,0.0,0.0,129.526,7.008,24.239,26.505,41.761,26.505,0.0,60.745,58.521
INST0053_N5_S23_P004,60.745,60.745,69.589,54.565,55.171,75.908,67.889,75.908,60.745,0.0,113.587
INST0053_N5_S23_D004,58.521,58.521,183.035,65.452,59.019,37.715,54.903,37.715,58.521,113.587,0.0
