,depot,INST0232_N20_W22_P000,INST0232_N20_W22_D000,INST0232_N20_W22_P001,INST0232_N20_W22_D001,INST0232_N20_W22_P002,INST0232_N20_W22_D002,INST0232_N20_W22_P003,INST0232_N20_W22_D003,INST0232_N20_W22_P004,INST0232_N20_W22_D004,INST0232_N20_W22_P005,INST0232_N20_W22_D005,INST0232_N20_W22_P006,INST0232_N20_W22_D006,INST0232_N20_W22_P007,INST0232_N20_W22_D007,INST0232_N20_W22_P008,INST0232_N20_W22_D008,INST0232_N20_W22_P009,INST0232_N20_W22_D009,INST0232_N20_W22_P010,INST0232_N20_W22_D010,INST0232_N20_W22_P011,INST0232_N20_W22_D011,INST0232_N20_W22_P012,INST0232_N20_W22_D012,INST0232_N20_W22_P013,INST0232_N20_W22_D013,INST0232_N20_W22_P014,INST0232_N20_W22_D014,INST0232_N20_W22_P015,INST0232_N20_W22_D015,INST0232_N20_W22_P016,INST0232_N20_W22_D016,INST0232_N20_W22_P017,INST0232_N20_W22_D017,INST0232_N20_W22_P018,INST0232_N20_W22_D018,INST0232_N20_W22_P019,INST0232_N20_W22_D019
depot,0.0,53.818,29.878,75.699,17.435,20.081,75.699,77.687,53.818,17.435,75.699,20.081,29.878,0.0,141.804,20.02,141.804,0.0,149.638,77.687,141.804,20.02,20.56,20.081,0.0,32.905,17.435,32.905,124.166,20.56,20.02,29.878,141.804,75.699,20.081,20.02,17.435,32.905,75.699,29.878,124.166
INST0232_N20_W22_P000,53.818,0.0,27.496,68.471,61.972,72.151,68.471,24.909,0.0,61.972,68.471,72.151,27.496,53.818,88.095,63.48,88.095,53.818,159.2,24.909,88.095,63.48,40.204,72.151,53.818,50.631,61.972,50.631,70.637,40.204,63.48,27.496,88.095,68.471,72.151,63.48,61.972,50.631,68.471,27.496,70.637
INST0232_N20_W22_D000,29.878,27.496,0.0,56.961,43.098,45.89,56.961,49.056,27.496,43.098,56.961,45.89,0.0,29.878,114.719,36.098,114.719,29.878,162.13,49.056,114.719,36.098,12.767,45.89,29.878,25.201,43.098,25.201,97.602,12.767,36.098,0.0,114.719,56.961,45.89,36.098,43.098,25.201,56.961,0.0,97.602
INST0232_N20_W22_P001,75.699,68.471,56.961,0.0,92.961,78.578,0.0,70.587,68.471,92.961,0.0,78.578,56.961,75.699,128.123,64.294,128.123,75.699,219.073,70.587,128.123,64.294,57.051,78.578,75.699,43.046,92.961,43.046,115.643,57.051,64.294,56.961,128.123,0.0,78.578,64.294,92.961,43.046,0.0,56.961,115.643
INST0232_N20_W22_D001,17.435,61.972,43.098,92.961,0.0,28.407,92.961,86.82,61.972,0.0,92.961,28.407,43.098,17.435,147.866,35.228,147.866,17.435,133.358,86.82,147.866,35.228,36.679,28.407,17.435,50.317,0.0,50.317,129.907,36.679,35.228,43.098,147.866,92.961,28.407,35.228,0.0,50.317,92.961,43.098,129.907
INST0232_N20_W22_P002,20.081,72.151,45.89,78.578,28.407,0.0,78.578,94.929,72.151,28.407,78.578,0.0,45.89,20.081,160.194,14.369,160.194,20.081,160.03,94.929,160.194,14.369,33.728,0.0,20.081,37.156,28.407,37.156,142.787,33.728,14.369,45.89,160.194,78.578,0.0,14.369,28.407,37.156,78.578,45.89,142.787
INST0232_N20_W22_D002,75.699,68.471,56.961,0.0,92.961,78.578,0.0,70.587,68.471,92.961,0.0,78.578,56.961,75.699,128.123,64.294,128.123,75.699,219.073,70.587,128.123,64.294,57.051,78.578,75.699,43.046,92.961,43.046,115.643,57.051,64.294,56.961,128.123,0.0,78.578,64.294,92.961,43.046,0.0,56.961,115.643
INST0232_N20_W22_P003,77.687,24.909,49.056,70.587,86.82,94.929,70.587,0.0,24.909,86.82,70.587,94.929,49.056,77.687,66.284,84.648,66.284,77.687,176.253,0.0,66.284,84.648,61.567,94.929,77.687,67.612,86.82,67.612,50.015,61.567,84.648,49.056,66.284,70.587,94.929,84.648,86.82,67.612,70.587,49.056,50.015
INST0232_N20_W22_D003,53.818,0.0,27.496,68.471,61.972,72.151,68.471,24.909,0.0,61.972,68.471,72.151,27.496,53.818,88.095,63.48,88.095,53.818,159.2,24.909,88.095,63.48,40.204,72.151,53.818,50.631,61.972,50.631,70.637,40.204,63.48,27.496,88.095,68.471,72.151,63.48,61.972,50.631,68.471,27.496,70.637
INST0232_N20_W22_P004,17.435,61.972,43.098,92.961,0.0,28.407,92.961,86.82,61.972,0.0,92.961,28.407,43.098,17.435,147.866,35.228,147.866,17.435,133.358,86.82,147.866,35.228,36.679,28.407,17.435,50.317,0.0,50.317,129.907,36.679,35.228,43.098,147.866,92.961,28.407,35.228,0.0,50.317,92.961,43.098,129.907
INST0232_N20_W22_D004,75.699,68.471,56.961,0.0,92.961,78.578,0.0,70.587,68.471,92.961,0.0,78.578,56.961,75.699,128.123,64.294,128.123,75.699,219.073,70.587,128.123,64.294,57.051,78.578,75.699,43.046,92.961,43.046,115.643,57.051,64.294,56.961,128.123,0.0,78.578,64.294,92.961,43.046,0.0,56.961,115.643
INST0232_N20_W22_P005,20.081,72.151,45.89,78.578,28.407,0.0,78.578,94.929,72.151,28.407,78.578,0.0,45.89,20.081,160.194,14.369,160.194,20.081,160.03,94.929,160.194,14.369,33.728,0.0,20.081,37.156,28.407,37.156,142.787,33.728,14.369,45.89,160.194,78.578,0.0,14.369,28.407,37.156,78.578,45.89,142.787
INST0232_N20_W22_D005,29.878,27.496,0.0,56.961,43.098,45.89,56.961,49.056,27.496,43.098,56.961,45.89,0.0,29.878,114.719,36.098,114.719,29.878,162.13,49.056,114.719,36.098,12.767,45.89,29.878,25.201,43.098,25.201,97.602,12.767,36.098,0.0,114.719,56.961,45.89,36.098,43.098,25.201,56.961,0.0,97.602
INST0232_N20_W22_P006,0.0,53.818,29.878,75.699,17.435,20.081,75.699,77.687,53.818,17.435,75.699,20.081,29.878,0.0,141.804,20.02,141.804,0.0,149.638,77.687,141.804,20.02,20.56,20.081,0.0,32.905,17.435,32.905,124.166,20.56,20.02,29.878,141.804,75.699,20.081,20.02,17.435,32.905,75.699,29.878,124.166
