,depot,INST0202_N18_W22_P000,INST0202_N18_W22_D000,INST0202_N18_W22_P001,INST0202_N18_W22_D001,INST0202_N18_W22_P002,INST0202_N18_W22_D002,INST0202_N18_W22_P003,INST0202_N18_W22_D003,INST0202_N18_W22_P004,INST0202_N18_W22_D004,INST0202_N18_W22_P005,INST0202_N18_W22_D005,INST0202_N18_W22_P006,INST0202_N18_W22_D006,INST0202_N18_W22_P007,INST0202_N18_W22_D007,INST0202_N18_W22_P008,INST0202_N18_W22_D008,INST0202_N18_W22_P009,INST0202_N18_W22_D009,INST0202_N18_W22_P010,INST0202_N18_W22_D010,INST0202_N18_W22_P011,INST0202_N18_W22_D011,INST0202_N18_W22_P012,INST0202_N18_W22_D012,INST0202_N18_W22_P013,INST0202_N18_W22_D013,INST0202_N18_W22_P014,INST0202_N18_W22_D014,INST0202_N18_W22_P015,INST0202_N18_W22_D015,INST0202_N18_W22_P016,INST0202_N18_W22_D016,INST0202_N18_W22_P017,INST0202_N18_W22_D017
depot,0.0,14.239,16.399,0.0,122.204,0.0,43.952,43.952,16.35,16.399,43.952,63.444,101.402,24.4,115.807,26.872,14.239,43.952,0.0,24.4,16.35,43.952,61.821,16.35,101.402,26.872,115.807,61.821,14.239,16.791,63.444,26.872,115.807,24.4,14.239,0.0,14.239
INST0202_N18_W22_P000,14.239,0.0,23.199,14.239,108.909,14.239,50.611,50.611,28.769,23.199,50.611,70.903,106.091,35.196,120.757,41.092,0.0,50.611,14.239,35.196,28.769,50.611,75.918,28.769,106.091,41.092,120.757,75.918,0.0,29.954,70.903,41.092,120.757,35.196,0.0,14.239,0.0
INST0202_N18_W22_D000,16.399,23.199,0.0,16.399,130.691,16.399,58.923,58.923,11.735,0.0,58.923,77.525,116.61,37.477,130.825,30.344,23.199,58.923,16.399,37.477,11.735,58.923,64.172,11.735,116.61,30.344,130.825,64.172,23.199,27.544,77.525,30.344,130.825,37.477,23.199,16.399,23.199
INST0202_N18_W22_P001,0.0,14.239,16.399,0.0,122.204,0.0,43.952,43.952,16.35,16.399,43.952,63.444,101.402,24.4,115.807,26.872,14.239,43.952,0.0,24.4,16.35,43.952,61.821,16.35,101.402,26.872,115.807,61.821,14.239,16.791,63.444,26.872,115.807,24.4,14.239,0.0,14.239
INST0202_N18_W22_D001,122.204,108.909,130.691,122.204,0.0,122.204,130.013,130.013,137.675,130.691,130.013,143.94,152.865,132.406,164.396,147.26,108.909,130.013,122.204,132.406,137.675,130.013,178.909,137.675,152.865,147.26,164.396,178.909,108.909,133.597,143.94,147.26,164.396,132.406,108.909,122.204,108.909
INST0202_N18_W22_P002,0.0,14.239,16.399,0.0,122.204,0.0,43.952,43.952,16.35,16.399,43.952,63.444,101.402,24.4,115.807,26.872,14.239,43.952,0.0,24.4,16.35,43.952,61.821,16.35,101.402,26.872,115.807,61.821,14.239,16.791,63.444,26.872,115.807,24.4,14.239,0.0,14.239
INST0202_N18_W22_D002,43.952,50.611,58.923,43.952,130.013,43.952,0.0,0.0,51.842,58.923,0.0,20.342,57.687,22.455,71.944,41.349,50.611,0.0,43.952,22.455,51.842,0.0,55.918,51.842,57.687,41.349,71.944,55.918,50.611,32.833,20.342,41.349,71.944,22.455,50.611,43.952,50.611
INST0202_N18_W22_P003,43.952,50.611,58.923,43.952,130.013,43.952,0.0,0.0,51.842,58.923,0.0,20.342,57.687,22.455,71.944,41.349,50.611,0.0,43.952,22.455,51.842,0.0,55.918,51.842,57.687,41.349,71.944,55.918,50.611,32.833,20.342,41.349,71.944,22.455,50.611,43.952,50.611
INST0202_N18_W22_D003,16.35,28.769,11.735,16.35,137.675,16.35,51.842,51.842,0.0,11.735,51.842,69.129,109.164,29.48,123.055,18.744,28.769,51.842,16.35,29.48,0.0,51.842,52.507,0.0,109.164,18.744,123.055,52.507,28.769,19.054,69.129,18.744,123.055,29.48,28.769,16.35,28.769
INST0202_N18_W22_P004,16.399,23.199,0.0,16.399,130.691,16.399,58.923,58.923,11.735,0.0,58.923,77.525,116.61,37.477,130.825,30.344,23.199,58.923,16.399,37.477,11.735,58.923,64.172,11.735,116.61,30.344,130.825,64.172,23.199,27.544,77.525,30.344,130.825,37.477,23.199,16.399,23.199
INST0202_N18_W22_D004,43.952,50.611,58.923,43.952,130.013,43.952,0.0,0.0,51.842,58.923,0.0,20.342,57.687,22.455,71.944,41.349,50.611,0.0,43.952,22.455,51.842,0.0,55.918,51.842,57.687,41.349,71.944,55.918,50.611,32.833,20.342,41.349,71.944,22.455,50.611,43.952,50.611
