,depot,INST0041_N5_S11_P000,INST0041_N5_S11_D000,INST0041_N5_S11_P001,INST0041_N5_S11_D001,INST0041_N5_S11_P002,INST0041_N5_S11_D002,INST0041_N5_S11_P003,INST0041_N5_S11_D003,INST0041_N5_S11_P004,INST0041_N5_S11_D004
depot,0.0,92.948,46.181,32.455,177.944,0.0,39.549,92.948,80.067,26.348,39.549
INST0041_N5_S11_P000,92.948,0.0,139.086,74.382,85.211,92.948,66.815,0.0,13.307,67.557,66.815
INST0041_N5_S11_D000,46.181,139.086,0.0,71.658,224.124,46.181,80.145,139.086,126.125,72.268,80.145
INST0041_N5_S11_P001,32.455,74.382,71.658,0.0,158.604,32.455,8.581,74.382,61.135,29.68,8.581
INST0041_N5_S11_D001,177.944,85.211,224.124,158.604,0.0,177.944,150.553,85.211,98.41,152.108,150.553
INST0041_N5_S11_P002,0.0,92.948,46.181,32.455,177.944,0.0,39.549,92.948,80.067,26.348,39.549
INST0041_N5_S11_D002,39.549,66.815,80.145,8.581,150.553,39.549,0.0,66.815,53.679,31.149,0.0
INST0041_N5_S11_P003,92.948,0.0,139.086,74.382,85.211,92.948,66.815,0.0,13.307,67.557,66.815
INST0041_N5_S11_D003,80.067,13.307,126.125,61.135,98.41,80.067,53.679,13.307,0.0,55.105,53.679
INST0041_N5_S11_P004,26.348,67.557,72.268,29.68,152.108,26.348,31.149,67.557,55.105,0.0,31.149
INST0041_N5_S11_D004,39.549,66.815,80.145,8.581,150.553,39.549,0.0,66.815,53.679,31.149,0.0
