,depot,INST0161_N15_S11_P000,INST0161_N15_S11_D000,INST0161_N15_S11_P001,INST0161_N15_S11_D001,INST0161_N15_S11_P002,INST0161_N15_S11_D002,INST0161_N15_S11_P003,INST0161_N15_S11_D003,INST0161_N15_S11_P004,INST0161_N15_S11_D004,INST0161_N15_S11_P005,INST0161_N15_S11_D005,INST0161_N15_S11_P006,INST0161_N15_S11_D006,INST0161_N15_S11_P007,INST0161_N15_S11_D007,INST0161_N15_S11_P008,INST0161_N15_S11_D008,INST0161_N15_S11_P009,INST0161_N15_S11_D009,INST0161_N15_S11_P010,INST0161_N15_S11_D010,INST0161_N15_S11_P011,INST0161_N15_S11_D011,INST0161_N15_S11_P012,INST0161_N15_S11_D012,INST0161_N15_S11_P013,INST0161_N15_S11_D013,INST0161_N15_S11_P014,INST0161_N15_S11_D014
depot,0.0,39.549,0.0,0.0,92.948,30.556,46.181,80.067,30.556,32.455,92.948,32.455,137.848,0.0,32.455,26.3,0.0,26.348,137.848,30.556,46.181,39.549,92.948,92.948,39.549,26.348,80.067,39.549,80.067,80.067,26.3
INST0161_N15_S11_P000,39.549,0.0,39.549,39.549,66.815,54.293,80.145,53.679,54.293,8.581,66.815,8.581,109.068,39.549,8.581,13.324,39.549,31.149,109.068,54.293,80.145,0.0,66.815,66.815,0.0,31.149,53.679,0.0,53.679,53.679,13.324
INST0161_N15_S11_D000,0.0,39.549,0.0,0.0,92.948,30.556,46.181,80.067,30.556,32.455,92.948,32.455,137.848,0.0,32.455,26.3,0.0,26.348,137.848,30.556,46.181,39.549,92.948,92.948,39.549,26.348,80.067,39.549,80.067,80.067,26.3
INST0161_N15_S11_P001,0.0,39.549,0.0,0.0,92.948,30.556,46.181,80.067,30.556,32.455,92.948,32.455,137.848,0.0,32.455,26.3,0.0,26.348,137.848,30.556,46.181,39.549,92.948,92.948,39.549,26.348,80.067,39.549,80.067,80.067,26.3
INST0161_N15_S11_D001,92.948,66.815,92.948,92.948,0.0,83.129,139.086,13.307,83.129,74.382,0.0,74.382,44.98,92.948,74.382,75.176,92.948,67.557,44.98,83.129,139.086,66.815,0.0,0.0,66.815,67.557,13.307,66.815,13.307,13.307,75.176
INST0161_N15_S11_P002,30.556,54.293,30.556,30.556,83.129,0.0,67.228,72.248,0.0,51.136,83.129,51.136,127.137,30.556,51.136,44.645,30.556,23.863,127.137,0.0,67.228,54.293,83.129,83.129,54.293,23.863,72.248,54.293,72.248,72.248,44.645
INST0161_N15_S11_D002,46.181,80.145,46.181,46.181,139.086,67.228,0.0,126.125,67.228,71.658,139.086,71.658,183.928,46.181,71.658,67.566,46.181,72.268,183.928,67.228,0.0,80.145,139.086,139.086,80.145,72.268,126.125,80.145,126.125,126.125,67.566
INST0161_N15_S11_P003,80.067,53.679,80.067,80.067,13.307,72.248,126.125,0.0,72.248,61.135,13.307,61.135,57.803,80.067,61.135,61.869,80.067,55.105,57.803,72.248,126.125,53.679,13.307,13.307,53.679,55.105,0.0,53.679,0.0,0.0,61.869
INST0161_N15_S11_D003,30.556,54.293,30.556,30.556,83.129,0.0,67.228,72.248,0.0,51.136,83.129,51.136,127.137,30.556,51.136,44.645,30.556,23.863,127.137,0.0,67.228,54.293,83.129,83.129,54.293,23.863,72.248,54.293,72.248,72.248,44.645
INST0161_N15_S11_P004,32.455,8.581,32.455,32.455,74.382,51.136,71.658,61.135,51.136,0.0,74.382,0.0,117.194,32.455,0.0,6.707,32.455,29.68,117.194,51.136,71.658,8.581,74.382,74.382,8.581,29.68,61.135,8.581,61.135,61.135,6.707
