,depot,INST0267_N22_N27_P000,INST0267_N22_N27_D000,INST0267_N22_N27_P001,INST0267_N22_N27_D001,INST0267_N22_N27_P002,INST0267_N22_N27_D002,INST0267_N22_N27_P003,INST0267_N22_N27_D003,INST0267_N22_N27_P004,INST0267_N22_N27_D004,INST0267_N22_N27_P005,INST0267_N22_N27_D005,INST0267_N22_N27_P006,INST0267_N22_N27_D006,INST0267_N22_N27_P007,INST0267_N22_N27_D007,INST0267_N22_N27_P008,INST0267_N22_N27_D008,INST0267_N22_N27_P009,INST0267_N22_N27_D009,INST0267_N22_N27_P010,INST0267_N22_N27_D010,INST0267_N22_N27_P011,INST0267_N22_N27_D011,INST0267_N22_N27_P012,INST0267_N22_N27_D012,INST0267_N22_N27_P013,INST0267_N22_N27_D013,INST0267_N22_N27_P014,INST0267_N22_N27_D014,INST0267_N22_N27_P015,INST0267_N22_N27_D015,INST0267_N22_N27_P016,INST0267_N22_N27_D016,INST0267_N22_N27_P017,INST0267_N22_N27_D017,INST0267_N22_N27_P018,INST0267_N22_N27_D018,INST0267_N22_N27_P019,INST0267_N22_N27_D019,INST0267_N22_N27_P020,INST0267_N22_N27_D020,INST0267_N22_N27_P021,INST0267_N22_N27_D021
depot,0.0,22.387,149.729,43.511,37.312,37.312,57.966,43.511,0.0,23.01,114.14,22.387,114.14,37.312,149.729,43.511,23.01,49.306,43.657,0.0,43.657,43.657,160.581,0.0,37.312,57.966,101.428,37.312,149.729,37.312,57.966,49.306,114.14,0.0,43.657,23.01,49.306,23.01,37.312,37.312,114.14,0.0,57.966,22.387,33.929
INST0267_N22_N27_P000,22.387,0.0,154.717,21.127,24.705,24.705,78.919,21.127,22.387,8.817,116.493,0.0,116.493,24.705,154.717,21.127,8.817,31.992,33.197,22.387,33.197,33.197,155.714,22.387,24.705,78.919,87.893,24.705,154.717,24.705,78.919,31.992,116.493,22.387,33.197,8.817,31.992,8.817,24.705,24.705,116.493,22.387,78.919,0.0,22.322
INST0267_N22_N27_D000,149.729,154.717,0.0,162.63,134.313,134.313,127.812,162.63,149.729,146.035,40.266,154.717,40.266,134.313,0.0,162.63,146.035,139.481,187.802,149.729,187.802,187.802,309.6,149.729,134.313,127.812,116.851,134.313,0.0,134.313,127.812,139.481,40.266,149.729,187.802,146.035,139.481,146.035,134.313,134.313,40.266,149.729,127.812,154.717,134.948
INST0267_N22_N27_P001,43.511,21.127,162.63,0.0,28.595,28.595,99.392,0.0,43.511,24.088,122.983,21.127,122.983,28.595,162.63,0.0,24.088,25.326,35.041,43.511,35.041,35.041,153.452,43.511,28.595,99.392,79.42,28.595,162.63,28.595,99.392,25.326,122.983,43.511,35.041,24.088,25.326,24.088,28.595,28.595,122.983,43.511,99.392,21.127,28.727
INST0267_N22_N27_D001,37.312,24.705,134.313,28.595,0.0,0.0,81.517,28.595,37.312,16.848,94.965,24.705,94.965,0.0,134.313,28.595,16.848,14.003,56.4,37.312,56.4,56.4,178.677,37.312,0.0,81.517,64.653,0.0,134.313,0.0,81.517,14.003,94.965,37.312,56.4,16.848,14.003,16.848,0.0,0.0,94.965,37.312,81.517,24.705,3.413
INST0267_N22_N27_P002,37.312,24.705,134.313,28.595,0.0,0.0,81.517,28.595,37.312,16.848,94.965,24.705,94.965,0.0,134.313,28.595,16.848,14.003,56.4,37.312,56.4,56.4,178.677,37.312,0.0,81.517,64.653,0.0,134.313,0.0,81.517,14.003,94.965,37.312,56.4,16.848,14.003,16.848,0.0,0.0,94.965,37.312,81.517,24.705,3.413
INST0267_N22_N27_D002,57.966,78.919,127.812,99.392,81.517,81.517,0.0,99.392,57.966,75.654,104.211,78.919,104.211,81.517,127.812,99.392,75.654,95.498,99.467,57.966,99.467,99.467,203.198,57.966,81.517,0.0,131.605,81.517,127.812,81.517,0.0,95.498,104.211,57.966,99.467,75.654,95.498,75.654,81.517,81.517,104.211,57.966,0.0,78.919,78.656
INST0267_N22_N27_P003,43.511,21.127,162.63,0.0,28.595,28.595,99.392,0.0,43.511,24.088,122.983,21.127,122.983,28.595,162.63,0.0,24.088,25.326,35.041,43.511,35.041,35.041,153.452,43.511,28.595,99.392,79.42,28.595,162.63,28.595,99.392,25.326,122.983,43.511,35.041,24.088,25.326,24.088,28.595,28.595,122.983,43.511,99.392,21.127,28.727
INST0267_N22_N27_D003,0.0,22.387,149.729,43.511,37.312,37.312,57.966,43.511,0.0,23.01,114.14,22.387,114.14,37.312,149.729,43.511,23.01,49.306,43.657,0.0,43.657,43.657,160.581,0.0,37.312,57.966,101.428,37.312,149.729,37.312,57.966,49.306,114.14,0.0,43.657,23.01,49.306,23.01,37.312,37.312,114.14,0.0,57.966,22.387,33.929
INST0267_N22_N27_P004,23.01,8.817,146.035,24.088,16.848,16.848,75.654,24.088,23.01,0.0,107.703,8.817,107.703,16.848,146.035,24.088,0.0,26.694,41.993,23.01,41.993,41.993,164.529,23.01,16.848,75.654,81.208,16.848,146.035,16.848,75.654,26.694,107.703,23.01,41.993,0.0,26.694,0.0,16.848,16.848,107.703,23.01,75.654,8.817,14.053
