,depot,INST0113_N10_S23_P000,INST0113_N10_S23_D000,INST0113_N10_S23_P001,INST0113_N10_S23_D001,INST0113_N10_S23_P002,INST0113_N10_S23_D002,INST0113_N10_S23_P003,INST0113_N10_S23_D003,INST0113_N10_S23_P004,INST0113_N10_S23_D004,INST0113_N10_S23_P005,INST0113_N10_S23_D005,INST0113_N10_S23_P006,INST0113_N10_S23_D006,INST0113_N10_S23_P007,INST0113_N10_S23_D007,INST0113_N10_S23_P008,INST0113_N10_S23_D008,INST0113_N10_S23_P009,INST0113_N10_S23_D009
depot,0.0,71.658,77.018,51.136,117.194,71.658,8.581,51.136,32.455,32.455,117.194,74.382,8.581,29.68,51.136,51.136,32.455,74.382,77.018,0.0,77.018
INST0113_N10_S23_P000,71.658,0.0,138.993,67.228,183.928,0.0,80.145,67.228,46.181,46.181,183.928,139.086,80.145,72.268,67.228,67.228,46.181,139.086,138.993,71.658,138.993
INST0113_N10_S23_D000,77.018,138.993,0.0,125.848,114.428,138.993,71.877,125.848,108.949,108.949,114.428,94.398,71.877,102.142,125.848,125.848,108.949,94.398,0.0,77.018,0.0
INST0113_N10_S23_P001,51.136,67.228,125.848,0.0,127.137,67.228,54.293,0.0,30.556,30.556,127.137,83.129,54.293,23.863,0.0,0.0,30.556,83.129,125.848,51.136,125.848
INST0113_N10_S23_D001,117.194,183.928,114.428,127.137,0.0,183.928,109.068,127.137,137.848,137.848,0.0,44.98,109.068,112.533,127.137,127.137,137.848,44.98,114.428,117.194,114.428
INST0113_N10_S23_P002,71.658,0.0,138.993,67.228,183.928,0.0,80.145,67.228,46.181,46.181,183.928,139.086,80.145,72.268,67.228,67.228,46.181,139.086,138.993,71.658,138.993
INST0113_N10_S23_D002,8.581,80.145,71.877,54.293,109.068,80.145,0.0,54.293,39.549,39.549,109.068,66.815,0.0,31.149,54.293,54.293,39.549,66.815,71.877,8.581,71.877
INST0113_N10_S23_P003,51.136,67.228,125.848,0.0,127.137,67.228,54.293,0.0,30.556,30.556,127.137,83.129,54.293,23.863,0.0,0.0,30.556,83.129,125.848,51.136,125.848
INST0113_N10_S23_D003,32.455,46.181,108.949,30.556,137.848,46.181,39.549,30.556,0.0,0.0,137.848,92.948,39.549,26.348,30.556,30.556,0.0,92.948,108.949,32.455,108.949
INST0113_N10_S23_P004,32.455,46.181,108.949,30.556,137.848,46.181,39.549,30.556,0.0,0.0,137.848,92.948,39.549,26.348,30.556,30.556,0.0,92.948,108.949,32.455,108.949
INST0113_N10_S23_D004,117.194,183.928,114.428,127.137,0.0,183.928,109.068,127.137,137.848,137.848,0.0,44.98,109.068,112.533,127.137,127.137,137.848,44.98,114.428,117.194,114.428
INST0113_N10_S23_P005,74.382,139.086,94.398,83.129,44.98,139.086,66.815,83.129,92.948,92.948,44.98,0.0,66.815,67.557,83.129,83.129,92.948,0.0,94.398,74.382,94.398
INST0113_N10_S23_D005,8.581,80.145,71.877,54.293,109.068,80.145,0.0,54.293,39.549,39.549,109.068,66.815,0.0,31.149,54.293,54.293,39.549,66.815,71.877,8.581,71.877
INST0113_N10_S23_P006,29.68,72.268,102.142,23.863,112.533,72.268,31.149,23.863,26.348,26.348,112.533,67.557,31.149,0.0,23.863,23.863,26.348,67.557,102.142,29.68,102.142
INST0113_N10_S23_D006,51.136,67.228,125.848,0.0,127.137,67.228,54.293,0.0,30.556,30.556,127.137,83.129,54.293,23.863,0.0,0.0,30.556,83.129,125.848,51.136,125.848
INST0113_N10_S23_P007,51.136,67.228,125.848,0.0,127.137,67.228,54.293,0.0,30.556,30.556,127.137,83.129,54.293,23.863,0.0,0.0,30.556,83.129,125.848,51.136,125.848
INST0113_N10_S23_D007,32.455,46.181,108.949,30.556,137.848,46.181,39.549,30.556,0.0,0.0,137.848,92.948,39.549,26.348,30.556,30.556,0.0,92.948,108.949,32.455,108.949
INST0113_N10_S23_P008,74.382,139.086,94.398,83.129,44.98,139.086,66.815,83.129,92.948,92.948,44.98,0.0,66.815,67.557,83.129,83.129,92.948,0.0,94.398,74.382,94.398
INST0113_N10_S23_D008,77.018,138.993,0.0,125.848,114.428,138.993,71.877,125.848,108.949,108.949,114.428,94.398,71.877,102.142,125.848,125.848,108.949,94.398,0.0,77.018,0.0
INST0113_N10_S23_P009,0.0,71.658,77.018,51.136,117.194,71.658,8.581,51.136,32.455,32.455,117.194,74.382,8.581,29.68,51.136,51.136,32.455,74.382,77.018,0.0,77.018
INST0113_N10_S23_D009,77.018,138.993,0.0,125.848,114.428,138.993,71.877,125.848,108.949,108.949,114.428,94.398,71.877,102.142,125.848,125.848,108.949,94.398,0.0,77.018,0.0
