,depot,INST0182_N18_S02_P000,INST0182_N18_S02_D000,INST0182_N18_S02_P001,INST0182_N18_S02_D001,INST0182_N18_S02_P002,INST0182_N18_S02_D002,INST0182_N18_S02_P003,INST0182_N18_S02_D003,INST0182_N18_S02_P004,INST0182_N18_S02_D004,INST0182_N18_S02_P005,INST0182_N18_S02_D005,INST0182_N18_S02_P006,INST0182_N18_S02_D006,INST0182_N18_S02_P007,INST0182_N18_S02_D007,INST0182_N18_S02_P008,INST0182_N18_S02_D008,INST0182_N18_S02_P009,INST0182_N18_S02_D009,INST0182_N18_S02_P010,INST0182_N18_S02_D010,INST0182_N18_S02_P011,INST0182_N18_S02_D011,INST0182_N18_S02_P012,INST0182_N18_S02_D012,INST0182_N18_S02_P013,INST0182_N18_S02_D013,INST0182_N18_S02_P014,INST0182_N18_S02_D014,INST0182_N18_S02_P015,INST0182_N18_S02_D015,INST0182_N18_S02_P016,INST0182_N18_S02_D016,INST0182_N18_S02_P017,INST0182_N18_S02_D017
depot,0.0,29.68,0.0,67.557,31.149,24.036,26.348,23.863,112.533,31.149,72.268,72.268,24.036,29.68,26.348,24.036,72.268,29.68,55.105,23.863,29.68,72.268,0.0,55.105,152.108,0.0,23.863,67.557,26.348,55.105,26.348,23.863,31.149,24.036,102.142,72.268,102.142
INST0182_N18_S02_P000,29.68,0.0,29.68,74.382,8.581,6.707,32.455,51.136,117.194,8.581,71.658,71.658,6.707,0.0,32.455,6.707,71.658,0.0,61.135,51.136,0.0,71.658,29.68,61.135,158.604,29.68,51.136,74.382,32.455,61.135,32.455,51.136,8.581,6.707,77.018,71.658,77.018
INST0182_N18_S02_D000,0.0,29.68,0.0,67.557,31.149,24.036,26.348,23.863,112.533,31.149,72.268,72.268,24.036,29.68,26.348,24.036,72.268,29.68,55.105,23.863,29.68,72.268,0.0,55.105,152.108,0.0,23.863,67.557,26.348,55.105,26.348,23.863,31.149,24.036,102.142,72.268,102.142
INST0182_N18_S02_P001,67.557,74.382,67.557,0.0,66.815,75.176,92.948,83.129,44.98,66.815,139.086,139.086,75.176,74.382,92.948,75.176,139.086,74.382,13.307,83.129,74.382,139.086,67.557,13.307,85.211,67.557,83.129,0.0,92.948,13.307,92.948,83.129,66.815,75.176,94.398,139.086,94.398
INST0182_N18_S02_D001,31.149,8.581,31.149,66.815,0.0,13.324,39.549,54.293,109.068,0.0,80.145,80.145,13.324,8.581,39.549,13.324,80.145,8.581,53.679,54.293,8.581,80.145,31.149,53.679,150.553,31.149,54.293,66.815,39.549,53.679,39.549,54.293,0.0,13.324,71.877,80.145,71.877
INST0182_N18_S02_P002,24.036,6.707,24.036,75.176,13.324,0.0,26.3,44.645,118.85,13.324,67.566,67.566,0.0,6.707,26.3,0.0,67.566,6.707,61.869,44.645,6.707,67.566,24.036,61.869,160.028,24.036,44.645,75.176,26.3,61.869,26.3,44.645,13.324,0.0,83.656,67.566,83.656
INST0182_N18_S02_D002,26.348,32.455,26.348,92.948,39.549,26.3,0.0,30.556,137.848,39.549,46.181,46.181,26.3,32.455,0.0,26.3,46.181,32.455,80.067,30.556,32.455,46.181,26.348,80.067,177.944,26.348,30.556,92.948,0.0,80.067,0.0,30.556,39.549,26.3,108.949,46.181,108.949
INST0182_N18_S02_P003,23.863,51.136,23.863,83.129,54.293,44.645,30.556,0.0,127.137,54.293,67.228,67.228,44.645,51.136,30.556,44.645,67.228,51.136,72.248,0.0,51.136,67.228,23.863,72.248,164.482,23.863,0.0,83.129,30.556,72.248,30.556,0.0,54.293,44.645,125.848,67.228,125.848
INST0182_N18_S02_D003,112.533,117.194,112.533,44.98,109.068,118.85,137.848,127.137,0.0,109.068,183.928,183.928,118.85,117.194,137.848,118.85,183.928,117.194,57.803,127.137,117.194,183.928,112.533,57.803,41.594,112.533,127.137,44.98,137.848,57.803,137.848,127.137,109.068,118.85,114.428,183.928,114.428
INST0182_N18_S02_P004,31.149,8.581,31.149,66.815,0.0,13.324,39.549,54.293,109.068,0.0,80.145,80.145,13.324,8.581,39.549,13.324,80.145,8.581,53.679,54.293,8.581,80.145,31.149,53.679,150.553,31.149,54.293,66.815,39.549,53.679,39.549,54.293,0.0,13.324,71.877,80.145,71.877
