,depot,INST0104_N10_S14_P000,INST0104_N10_S14_D000,INST0104_N10_S14_P001,INST0104_N10_S14_D001,INST0104_N10_S14_P002,INST0104_N10_S14_D002,INST0104_N10_S14_P003,INST0104_N10_S14_D003,INST0104_N10_S14_P004,INST0104_N10_S14_D004,INST0104_N10_S14_P005,INST0104_N10_S14_D005,INST0104_N10_S14_P006,INST0104_N10_S14_D006,INST0104_N10_S14_P007,INST0104_N10_S14_D007,INST0104_N10_S14_P008,INST0104_N10_S14_D008,INST0104_N10_S14_P009,INST0104_N10_S14_D009
depot,0.0,54.565,44.339,25.439,58.699,44.339,58.699,54.565,89.072,7.008,43.838,58.699,25.439,32.298,54.565,43.838,0.0,32.298,0.0,58.699,10.881
INST0104_N10_S14_P000,54.565,0.0,67.889,55.171,77.092,67.889,77.092,0.0,36.733,60.745,10.867,77.092,55.171,75.908,0.0,10.867,54.565,75.908,54.565,77.092,61.394
INST0104_N10_S14_D000,44.339,67.889,0.0,19.488,102.776,0.0,102.776,67.889,103.829,41.761,59.003,102.776,19.488,24.954,67.889,59.003,44.339,24.954,44.339,102.776,36.46
INST0104_N10_S14_P001,25.439,55.171,19.488,0.0,83.416,19.488,83.416,55.171,91.902,24.239,45.002,83.416,0.0,21.517,55.171,45.002,25.439,21.517,25.439,83.416,19.629
INST0104_N10_S14_D001,58.699,77.092,102.776,83.416,0.0,102.776,0.0,77.092,93.449,62.898,71.865,0.0,83.416,88.975,77.092,71.865,58.699,88.975,58.699,0.0,68.319
INST0104_N10_S14_P002,44.339,67.889,0.0,19.488,102.776,0.0,102.776,67.889,103.829,41.761,59.003,102.776,19.488,24.954,67.889,59.003,44.339,24.954,44.339,102.776,36.46
INST0104_N10_S14_D002,58.699,77.092,102.776,83.416,0.0,102.776,0.0,77.092,93.449,62.898,71.865,0.0,83.416,88.975,77.092,71.865,58.699,88.975,58.699,0.0,68.319
INST0104_N10_S14_P003,54.565,0.0,67.889,55.171,77.092,67.889,77.092,0.0,36.733,60.745,10.867,77.092,55.171,75.908,0.0,10.867,54.565,75.908,54.565,77.092,61.394
INST0104_N10_S14_D003,89.072,36.733,103.829,91.902,93.449,103.829,93.449,36.733,0.0,95.708,47.206,93.449,91.902,112.576,36.733,47.206,89.072,112.576,89.072,93.449,97.061
INST0104_N10_S14_P004,7.008,60.745,41.761,24.239,62.898,41.761,62.898,60.745,95.708,0.0,49.927,62.898,24.239,26.505,60.745,49.927,7.008,26.505,7.008,62.898,5.477
INST0104_N10_S14_D004,43.838,10.867,59.003,45.002,71.865,59.003,71.865,10.867,47.206,49.927,0.0,71.865,45.002,65.388,10.867,0.0,43.838,65.388,43.838,71.865,50.526
INST0104_N10_S14_P005,58.699,77.092,102.776,83.416,0.0,102.776,0.0,77.092,93.449,62.898,71.865,0.0,83.416,88.975,77.092,71.865,58.699,88.975,58.699,0.0,68.319
INST0104_N10_S14_D005,25.439,55.171,19.488,0.0,83.416,19.488,83.416,55.171,91.902,24.239,45.002,83.416,0.0,21.517,55.171,45.002,25.439,21.517,25.439,83.416,19.629
INST0104_N10_S14_P006,32.298,75.908,24.954,21.517,88.975,24.954,88.975,75.908,112.576,26.505,65.388,88.975,21.517,0.0,75.908,65.388,32.298,0.0,32.298,88.975,21.478
INST0104_N10_S14_D006,54.565,0.0,67.889,55.171,77.092,67.889,77.092,0.0,36.733,60.745,10.867,77.092,55.171,75.908,0.0,10.867,54.565,75.908,54.565,77.092,61.394
INST0104_N10_S14_P007,43.838,10.867,59.003,45.002,71.865,59.003,71.865,10.867,47.206,49.927,0.0,71.865,45.002,65.388,10.867,0.0,43.838,65.388,43.838,71.865,50.526
INST0104_N10_S14_D007,0.0,54.565,44.339,25.439,58.699,44.339,58.699,54.565,89.072,7.008,43.838,58.699,25.439,32.298,54.565,43.838,0.0,32.298,0.0,58.699,10.881
INST0104_N10_S14_P008,32.298,75.908,24.954,21.517,88.975,24.954,88.975,75.908,112.576,26.505,65.388,88.975,21.517,0.0,75.908,65.388,32.298,0.0,32.298,88.975,21.478
INST0104_N10_S14_D008,0.0,54.565,44.339,25.439,58.699,44.339,58.699,54.565,89.072,7.008,43.838,58.699,25.439,32.298,54.565,43.838,0.0,32.298,0.0,58.699,10.881
INST0104_N10_S14_P009,58.699,77.092,102.776,83.416,0.0,102.776,0.0,77.092,93.449,62.898,71.865,0.0,83.416,88.975,77.092,71.865,58.699,88.975,58.699,0.0,68.319
INST0104_N10_S14_D009,10.881,61.394,36.46,19.629,68.319,36.46,68.319,61.394,97.061,5.477,50.526,68.319,19.629,21.478,61.394,50.526,10.881,21.478,10.881,68.319,0.0
