,depot,INST0197_N18_S17_P000,INST0197_N18_S17_D000,INST0197_N18_S17_P001,INST0197_N18_S17_D001,INST0197_N18_S17_P002,INST0197_N18_S17_D002,INST0197_N18_S17_P003,INST0197_N18_S17_D003,INST0197_N18_S17_P004,INST0197_N18_S17_D004,INST0197_N18_S17_P005,INST0197_N18_S17_D005,INST0197_N18_S17_P006,INST0197_N18_S17_D006,INST0197_N18_S17_P007,INST0197_N18_S17_D007,INST0197_N18_S17_P008,INST0197_N18_S17_D008,INST0197_N18_S17_P009,INST0197_N18_S17_D009,INST0197_N18_S17_P010,INST0197_N18_S17_D010,INST0197_N18_S17_P011,INST0197_N18_S17_D011,INST0197_N18_S17_P012,INST0197_N18_S17_D012,INST0197_N18_S17_P013,INST0197_N18_S17_D013,INST0197_N18_S17_P014,INST0197_N18_S17_D014,INST0197_N18_S17_P015,INST0197_N18_S17_D015,INST0197_N18_S17_P016,INST0197_N18_S17_D016,INST0197_N18_S17_P017,INST0197_N18_S17_D017
depot,0.0,29.68,23.863,29.68,26.348,55.105,0.0,23.863,29.68,26.348,72.268,55.105,0.0,24.036,31.149,31.149,23.863,0.0,152.108,24.036,72.268,67.557,112.533,0.0,26.348,31.149,24.036,55.105,102.142,23.863,29.68,26.348,112.533,55.105,0.0,67.557,29.68
INST0197_N18_S17_P000,29.68,0.0,51.136,0.0,32.455,61.135,29.68,51.136,0.0,32.455,71.658,61.135,29.68,6.707,8.581,8.581,51.136,29.68,158.604,6.707,71.658,74.382,117.194,29.68,32.455,8.581,6.707,61.135,77.018,51.136,0.0,32.455,117.194,61.135,29.68,74.382,0.0
INST0197_N18_S17_D000,23.863,51.136,0.0,51.136,30.556,72.248,23.863,0.0,51.136,30.556,67.228,72.248,23.863,44.645,54.293,54.293,0.0,23.863,164.482,44.645,67.228,83.129,127.137,23.863,30.556,54.293,44.645,72.248,125.848,0.0,51.136,30.556,127.137,72.248,23.863,83.129,51.136
INST0197_N18_S17_P001,29.68,0.0,51.136,0.0,32.455,61.135,29.68,51.136,0.0,32.455,71.658,61.135,29.68,6.707,8.581,8.581,51.136,29.68,158.604,6.707,71.658,74.382,117.194,29.68,32.455,8.581,6.707,61.135,77.018,51.136,0.0,32.455,117.194,61.135,29.68,74.382,0.0
INST0197_N18_S17_D001,26.348,32.455,30.556,32.455,0.0,80.067,26.348,30.556,32.455,0.0,46.181,80.067,26.348,26.3,39.549,39.549,30.556,26.348,177.944,26.3,46.181,92.948,137.848,26.348,0.0,39.549,26.3,80.067,108.949,30.556,32.455,0.0,137.848,80.067,26.348,92.948,32.455
INST0197_N18_S17_P002,55.105,61.135,72.248,61.135,80.067,0.0,55.105,72.248,61.135,80.067,126.125,0.0,55.105,61.869,53.679,53.679,72.248,55.105,98.41,61.869,126.125,13.307,57.803,55.105,80.067,53.679,61.869,0.0,87.998,72.248,61.135,80.067,57.803,0.0,55.105,13.307,61.135
INST0197_N18_S17_D002,0.0,29.68,23.863,29.68,26.348,55.105,0.0,23.863,29.68,26.348,72.268,55.105,0.0,24.036,31.149,31.149,23.863,0.0,152.108,24.036,72.268,67.557,112.533,0.0,26.348,31.149,24.036,55.105,102.142,23.863,29.68,26.348,112.533,55.105,0.0,67.557,29.68
INST0197_N18_S17_P003,23.863,51.136,0.0,51.136,30.556,72.248,23.863,0.0,51.136,30.556,67.228,72.248,23.863,44.645,54.293,54.293,0.0,23.863,164.482,44.645,67.228,83.129,127.137,23.863,30.556,54.293,44.645,72.248,125.848,0.0,51.136,30.556,127.137,72.248,23.863,83.129,51.136
INST0197_N18_S17_D003,29.68,0.0,51.136,0.0,32.455,61.135,29.68,51.136,0.0,32.455,71.658,61.135,29.68,6.707,8.581,8.581,51.136,29.68,158.604,6.707,71.658,74.382,117.194,29.68,32.455,8.581,6.707,61.135,77.018,51.136,0.0,32.455,117.194,61.135,29.68,74.382,0.0
INST0197_N18_S17_P004,26.348,32.455,30.556,32.455,0.0,80.067,26.348,30.556,32.455,0.0,46.181,80.067,26.348,26.3,39.549,39.549,30.556,26.348,177.944,26.3,46.181,92.948,137.848,26.348,0.0,39.549,26.3,80.067,108.949,30.556,32.455,0.0,137.848,80.067,26.348,92.948,32.455
