,depot,INST0230_N20_S20_P000,INST0230_N20_S20_D000,INST0230_N20_S20_P001,INST0230_N20_S20_D001,INST0230_N20_S20_P002,INST0230_N20_S20_D002,INST0230_N20_S20_P003,INST0230_N20_S20_D003,INST0230_N20_S20_P004,INST0230_N20_S20_D004,INST0230_N20_S20_P005,INST0230_N20_S20_D005,INST0230_N20_S20_P006,INST0230_N20_S20_D006,INST0230_N20_S20_P007,INST0230_N20_S20_D007,INST0230_N20_S20_P008,INST0230_N20_S20_D008,INST0230_N20_S20_P009,INST0230_N20_S20_D009,INST0230_N20_S20_P010,INST0230_N20_S20_D010,INST0230_N20_S20_P011,INST0230_N20_S20_D011,INST0230_N20_S20_P012,INST0230_N20_S20_D012,INST0230_N20_S20_P013,INST0230_N20_S20_D013,INST0230_N20_S20_P014,INST0230_N20_S20_D014,INST0230_N20_S20_P015,INST0230_N20_S20_D015,INST0230_N20_S20_P016,INST0230_N20_S20_D016,INST0230_N20_S20_P017,INST0230_N20_S20_D017,INST0230_N20_S20_P018,INST0230_N20_S20_D018,INST0230_N20_S20_P019,INST0230_N20_S20_D019
depot,0.0,61.869,0.0,13.324,118.85,24.036,160.028,75.176,6.707,24.036,61.869,26.3,0.0,24.036,67.566,61.869,83.656,26.3,118.85,13.324,83.656,67.566,24.036,13.324,67.566,61.869,26.3,6.707,26.3,13.324,26.3,0.0,75.176,6.707,61.869,61.869,75.176,61.869,83.656,24.036,26.3
INST0230_N20_S20_P000,61.869,0.0,61.869,53.679,57.803,55.105,98.41,13.307,61.135,55.105,0.0,80.067,61.869,55.105,126.125,0.0,87.998,80.067,57.803,53.679,87.998,126.125,55.105,53.679,126.125,0.0,80.067,61.135,80.067,53.679,80.067,61.869,13.307,61.135,0.0,0.0,13.307,0.0,87.998,55.105,80.067
INST0230_N20_S20_D000,0.0,61.869,0.0,13.324,118.85,24.036,160.028,75.176,6.707,24.036,61.869,26.3,0.0,24.036,67.566,61.869,83.656,26.3,118.85,13.324,83.656,67.566,24.036,13.324,67.566,61.869,26.3,6.707,26.3,13.324,26.3,0.0,75.176,6.707,61.869,61.869,75.176,61.869,83.656,24.036,26.3
INST0230_N20_S20_P001,13.324,53.679,13.324,0.0,109.068,31.149,150.553,66.815,8.581,31.149,53.679,39.549,13.324,31.149,80.145,53.679,71.877,39.549,109.068,0.0,71.877,80.145,31.149,0.0,80.145,53.679,39.549,8.581,39.549,0.0,39.549,13.324,66.815,8.581,53.679,53.679,66.815,53.679,71.877,31.149,39.549
INST0230_N20_S20_D001,118.85,57.803,118.85,109.068,0.0,112.533,41.594,44.98,117.194,112.533,57.803,137.848,118.85,112.533,183.928,57.803,114.428,137.848,0.0,109.068,114.428,183.928,112.533,109.068,183.928,57.803,137.848,117.194,137.848,109.068,137.848,118.85,44.98,117.194,57.803,57.803,44.98,57.803,114.428,112.533,137.848
INST0230_N20_S20_P002,24.036,55.105,24.036,31.149,112.533,0.0,152.108,67.557,29.68,0.0,55.105,26.348,24.036,0.0,72.268,55.105,102.142,26.348,112.533,31.149,102.142,72.268,0.0,31.149,72.268,55.105,26.348,29.68,26.348,31.149,26.348,24.036,67.557,29.68,55.105,55.105,67.557,55.105,102.142,0.0,26.348
INST0230_N20_S20_D002,160.028,98.41,160.028,150.553,41.594,152.108,0.0,85.211,158.604,152.108,98.41,177.944,160.028,152.108,224.124,98.41,151.155,177.944,41.594,150.553,151.155,224.124,152.108,150.553,224.124,98.41,177.944,158.604,177.944,150.553,177.944,160.028,85.211,158.604,98.41,98.41,85.211,98.41,151.155,152.108,177.944
INST0230_N20_S20_P003,75.176,13.307,75.176,66.815,44.98,67.557,85.211,0.0,74.382,67.557,13.307,92.948,75.176,67.557,139.086,13.307,94.398,92.948,44.98,66.815,94.398,139.086,67.557,66.815,139.086,13.307,92.948,74.382,92.948,66.815,92.948,75.176,0.0,74.382,13.307,13.307,0.0,13.307,94.398,67.557,92.948
INST0230_N20_S20_D003,6.707,61.135,6.707,8.581,117.194,29.68,158.604,74.382,0.0,29.68,61.135,32.455,6.707,29.68,71.658,61.135,77.018,32.455,117.194,8.581,77.018,71.658,29.68,8.581,71.658,61.135,32.455,0.0,32.455,8.581,32.455,6.707,74.382,0.0,61.135,61.135,74.382,61.135,77.018,29.68,32.455
INST0230_N20_S20_P004,24.036,55.105,24.036,31.149,112.533,0.0,152.108,67.557,29.68,0.0,55.105,26.348,24.036,0.0,72.268,55.105,102.142,26.348,112.533,31.149,102.142,72.268,0.0,31.149,72.268,55.105,26.348,29.68,26.348,31.149,26.348,24.036,67.557,29.68,55.105,55.105,67.557,55.105,102.142,0.0,26.348
INST0230_N20_S20_D004,61.869,0.0,61.869,53.679,57.803,55.105,98.41,13.307,61.135,55.105,0.0,80.067,61.869,55.105,126.125,0.0,87.998,80.067,57.803,53.679,87.998,126.125,55.105,53.679,126.125,0.0,80.067,61.135,80.067,53.679,80.067,61.869,13.307,61.135,0.0,0.0,13.307,0.0,87.998,55.105,80.067
INST0230_N20_S20_P005,26.3,80.067,26.3,39.549,137.848,26.348,177.944,92.948,32.455,26.348,80.067,0.0,26.3,26.348,46.181,80.067,108.949,0.0,137.848,39.549,108.949,46.181,26.348,39.549,46.181,80.067,0.0,32.455,0.0,39.549,0.0,26.3,92.948,32.455,80.067,80.067,92.948,80.067,108.949,26.348,0.0
INST0230_N20_S20_D005,0.0,61.869,0.0,13.324,118.85,24.036,160.028,75.176,6.707,24.036,61.869,26.3,0.0,24.036,67.566,61.869,83.656,26.3,118.85,13.324,83.656,67.566,24.036,13.324,67.566,61.869,26.3,6.707,26.3,13.324,26.3,0.0,75.176,6.707,61.869,61.869,75.176,61.869,83.656,24.036,26.3
INST0230_N20_S20_P006,24.036,55.105,24.036,31.149,112.533,0.0,152.108,67.557,29.68,0.0,55.105,26.348,24.036,0.0,72.268,55.105,102.142,26.348,112.533,31.149,102.142,72.268,0.0,31.149,72.268,55.105,26.348,29.68,26.348,31.149,26.348,24.036,67.557,29.68,55.105,55.105,67.557,55.105,102.142,0.0,26.348
INST0230_N20_S20_D006,67.566,126.125,67.566,80.145,183.928,72.268,224.124,139.086,71.658,72.268,126.125,46.181,67.566,72.268,0.0,126.125,138.993,46.181,183.928,80.145,138.993,0.0,72.268,80.145,0.0,126.125,46.181,71.658,46.181,80.145,46.181,67.566,139.086,71.658,126.125,126.125,139.086,126.125,138.993,72.268,46.181
INST0230_N20_S20_P007,61.869,0.0,61.869,53.679,57.803,55.105,98.41,13.307,61.135,55.105,0.0,80.067,61.869,55.105,126.125,0.0,87.998,80.067,57.803,53.679,87.998,126.125,55.105,53.679,126.125,0.0,80.067,61.135,80.067,53.679,80.067,61.869,13.307,61.135,0.0,0.0,13.307,0.0,87.998,55.105,80.067
INST0230_N20_S20_D007,83.656,87.998,83.656,71.877,114.428,102.142,151.155,94.398,77.018,102.142,87.998,108.949,83.656,102.142,138.993,87.998,0.0,108.949,114.428,71.877,0.0,138.993,102.142,71.877,138.993,87.998,108.949,77.018,108.949,71.877,108.949,83.656,94.398,77.018,87.998,87.998,94.398,87.998,0.0,102.142,108.949
INST0230_N20_S20_P008,26.3,80.067,26.3,39.549,137.848,26.348,177.944,92.948,32.455,26.348,80.067,0.0,26.3,26.348,46.181,80.067,108.949,0.0,137.848,39.549,108.949,46.181,26.348,39.549,46.181,80.067,0.0,32.455,0.0,39.549,0.0,26.3,92.948,32.455,80.067,80.067,92.948,80.067,108.949,26.348,0.0
INST0230_N20_S20_D008,118.85,57.803,118.85,109.068,0.0,112.533,41.594,44.98,117.194,112.533,57.803,137.848,118.85,112.533,183.928,57.803,114.428,137.848,0.0,109.068,114.428,183.928,112.533,109.068,183.928,57.803,137.848,117.194,137.848,109.068,137.848,118.85,44.98,117.194,57.803,57.803,44.98,57.803,114.428,112.533,137.848
INST0230_N20_S20_P009,13.324,53.679,13.324,0.0,109.068,31.149,150.553,66.815,8.581,31.149,53.679,39.549,13.324,31.149,80.145,53.679,71.877,39.549,109.068,0.0,71.877,80.145,31.149,0.0,80.145,53.679,39.549,8.581,39.549,0.0,39.549,13.324,66.815,8.581,53.679,53.679,66.815,53.679,71.877,31.149,39.549
INST0230_N20_S20_D009,83.656,87.998,83.656,71.877,114.428,102.142,151.155,94.398,77.018,102.142,87.998,108.949,83.656,102.142,138.993,87.998,0.0,108.949,114.428,71.877,0.0,138.993,102.142,71.877,138.993,87.998,108.949,77.018,108.949,71.877,108.949,83.656,94.398,77.018,87.998,87.998,94.398,87.998,0.0,102.142,108.949
INST0230_N20_S20_P010,67.566,126.125,67.566,80.145,183.928,72.268,224.124,139.086,71.658,72.268,126.125,46.181,67.566,72.268,0.0,126.125,138.993,46.181,183.928,80.145,138.993,0.0,72.268,80.145,0.0,126.125,46.181,71.658,46.181,80.145,46.181,67.566,139.086,71.658,126.125,126.125,139.086,126.125,138.993,72.268,46.181
INST0230_N20_S20_D010,24.036,55.105,24.036,31.149,112.533,0.0,152.108,67.557,29.68,0.0,55.105,26.348,24.036,0.0,72.268,55.105,102.142,26.348,112.533,31.149,102.142,72.268,0.0,31.149,72.268,55.105,26.348,29.68,26.348,31.149,26.348,24.036,67.557,29.68,55.105,55.105,67.557,55.105,102.142,0.0,26.348
INST0230_N20_S20_P011,13.324,53.679,13.324,0.0,109.068,31.149,150.553,66.815,8.581,31.149,53.679,39.549,13.324,31.149,80.145,53.679,71.877,39.549,109.068,0.0,71.877,80.145,31.149,0.0,80.145,53.679,39.549,8.581,39.549,0.0,39.549,13.324,66.815,8.581,53.679,53.679,66.815,53.679,71.877,31.149,39.549
INST0230_N20_S20_D011,67.566,126.125,67.566,80.145,183.928,72.268,224.124,139.086,71.658,72.268,126.125,46.181,67.566,72.268,0.0,126.125,138.993,46.181,183.928,80.145,138.993,0.0,72.268,80.145,0.0,126.125,46.181,71.658,46.181,80.145,46.181,67.566,139.086,71.658,126.125,126.125,139.086,126.125,138.993,72.268,46.181
INST0230_N20_S20_P012,61.869,0.0,61.869,53.679,57.803,55.105,98.41,13.307,61.135,55.105,0.0,80.067,61.869,55.105,126.125,0.0,87.998,80.067,57.803,53.679,87.998,126.125,55.105,53.679,126.125,0.0,80.067,61.135,80.067,53.679,80.067,61.869,13.307,61.135,0.0,0.0,13.307,0.0,87.998,55.105,80.067
INST0230_N20_S20_D012,26.3,80.067,26.3,39.549,137.848,26.348,177.944,92.948,32.455,26.348,80.067,0.0,26.3,26.348,46.181,80.067,108.949,0.0,137.848,39.549,108.949,46.181,26.348,39.549,46.181,80.067,0.0,32.455,0.0,39.549,0.0,26.3,92.948,32.455,80.067,80.067,92.948,80.067,108.949,26.348,0.0
INST0230_N20_S20_P013,6.707,61.135,6.707,8.581,117.194,29.68,158.604,74.382,0.0,29.68,61.135,32.455,6.707,29.68,71.658,61.135,77.018,32.455,117.194,8.581,77.018,71.658,29.68,8.581,71.658,61.135,32.455,0.0,32.455,8.581,32.455,6.707,74.382,0.0,61.135,61.135,74.382,61.135,77.018,29.68,32.455
INST0230_N20_S20_D013,26.3,80.067,26.3,39.549,137.848,26.348,177.944,92.948,32.455,26.348,80.067,0.0,26.3,26.348,46.181,80.067,108.949,0.0,137.848,39.549,108.949,46.181,26.348,39.549,46.181,80.067,0.0,32.455,0.0,39.549,0.0,26.3,92.948,32.455,80.067,80.067,92.948,80.067,108.949,26.348,0.0
INST0230_N20_S20_P014,13.324,53.679,13.324,0.0,109.068,31.149,150.553,66.815,8.581,31.149,53.679,39.549,13.324,31.149,80.145,53.679,71.877,39.549,109.068,0.0,71.877,80.145,31.149,0.0,80.145,53.679,39.549,8.581,39.549,0.0,39.549,13.324,66.815,8.581,53.679,53.679,66.815,53.679,71.877,31.149,39.549
