,depot,INST0060_N8_N00_P000,INST0060_N8_N00_D000,INST0060_N8_N00_P001,INST0060_N8_N00_D001,INST0060_N8_N00_P002,INST0060_N8_N00_D002,INST0060_N8_N00_P003,INST0060_N8_N00_D003,INST0060_N8_N00_P004,INST0060_N8_N00_D004,INST0060_N8_N00_P005,INST0060_N8_N00_D005,INST0060_N8_N00_P006,INST0060_N8_N00_D006,INST0060_N8_N00_P007,INST0060_N8_N00_D007
depot,0.0,61.784,119.262,18.791,21.8,19.671,61.784,13.759,19.671,34.294,61.784,66.32,87.958,61.784,0.0,18.791,7.201
INST0060_N8_N00_P000,61.784,0.0,104.379,47.339,77.99,81.17,0.0,66.572,81.17,81.232,0.0,107.477,85.106,0.0,61.784,47.339,64.45
INST0060_N8_N00_D000,119.262,104.379,0.0,122.278,113.909,132.815,104.379,109.689,132.815,153.371,104.379,95.428,32.884,104.379,119.262,122.278,126.352
INST0060_N8_N00_P001,18.791,47.339,122.278,0.0,40.266,35.534,47.339,30.471,35.534,35.653,47.339,82.833,93.214,47.339,18.791,0.0,18.283
INST0060_N8_N00_D001,21.8,77.99,113.909,40.266,0.0,20.683,77.99,11.436,20.683,48.052,77.99,46.019,81.189,77.99,21.8,40.266,26.126
INST0060_N8_N00_P002,19.671,81.17,132.815,35.534,20.683,0.0,81.17,23.353,0.0,28.616,81.17,64.86,100.436,81.17,19.671,35.534,17.254
INST0060_N8_N00_D002,61.784,0.0,104.379,47.339,77.99,81.17,0.0,66.572,81.17,81.232,0.0,107.477,85.106,0.0,61.784,47.339,64.45
INST0060_N8_N00_P003,13.759,66.572,109.689,30.471,11.436,23.353,66.572,0.0,23.353,46.06,66.572,52.8,77.555,66.572,13.759,30.471,20.176
INST0060_N8_N00_D003,19.671,81.17,132.815,35.534,20.683,0.0,81.17,23.353,0.0,28.616,81.17,64.86,100.436,81.17,19.671,35.534,17.254
INST0060_N8_N00_P004,34.294,81.232,153.371,35.653,48.052,28.616,81.232,46.06,28.616,0.0,81.232,93.371,122.247,81.232,34.294,35.653,27.111
INST0060_N8_N00_D004,61.784,0.0,104.379,47.339,77.99,81.17,0.0,66.572,81.17,81.232,0.0,107.477,85.106,0.0,61.784,47.339,64.45
INST0060_N8_N00_P005,66.32,107.477,95.428,82.833,46.019,64.86,107.477,52.8,64.86,93.371,107.477,0.0,65.084,107.477,66.32,82.833,71.779
INST0060_N8_N00_D005,87.958,85.106,32.884,93.214,81.189,100.436,85.106,77.555,100.436,122.247,85.106,65.084,0.0,85.106,87.958,93.214,95.136
INST0060_N8_N00_P006,61.784,0.0,104.379,47.339,77.99,81.17,0.0,66.572,81.17,81.232,0.0,107.477,85.106,0.0,61.784,47.339,64.45
INST0060_N8_N00_D006,0.0,61.784,119.262,18.791,21.8,19.671,61.784,13.759,19.671,34.294,61.784,66.32,87.958,61.784,0.0,18.791,7.201
INST0060_N8_N00_P007,18.791,47.339,122.278,0.0,40.266,35.534,47.339,30.471,35.534,35.653,47.339,82.833,93.214,47.339,18.791,0.0,18.283
INST0060_N8_N00_D007,7.201,64.45,126.352,18.283,26.126,17.254,64.45,20.176,17.254,27.111,64.45,71.779,95.136,64.45,7.201,18.283,0.0
