,depot,INST0279_N25_N09_P000,INST0279_N25_N09_D000,INST0279_N25_N09_P001,INST0279_N25_N09_D001,INST0279_N25_N09_P002,INST0279_N25_N09_D002,INST0279_N25_N09_P003,INST0279_N25_N09_D003,INST0279_N25_N09_P004,INST0279_N25_N09_D004,INST0279_N25_N09_P005,INST0279_N25_N09_D005,INST0279_N25_N09_P006,INST0279_N25_N09_D006,INST0279_N25_N09_P007,INST0279_N25_N09_D007,INST0279_N25_N09_P008,INST0279_N25_N09_D008,INST0279_N25_N09_P009,INST0279_N25_N09_D009,INST0279_N25_N09_P010,INST0279_N25_N09_D010,INST0279_N25_N09_P011,INST0279_N25_N09_D011,INST0279_N25_N09_P012,INST0279_N25_N09_D012,INST0279_N25_N09_P013,INST0279_N25_N09_D013,INST0279_N25_N09_P014,INST0279_N25_N09_D014,INST0279_N25_N09_P015,INST0279_N25_N09_D015,INST0279_N25_N09_P016,INST0279_N25_N09_D016,INST0279_N25_N09_P017,INST0279_N25_N09_D017,INST0279_N25_N09_P018,INST0279_N25_N09_D018,INST0279_N25_N09_P019,INST0279_N25_N09_D019,INST0279_N25_N09_P020,INST0279_N25_N09_D020,INST0279_N25_N09_P021,INST0279_N25_N09_D021,INST0279_N25_N09_P022,INST0279_N25_N09_D022,INST0279_N25_N09_P023,INST0279_N25_N09_D023,INST0279_N25_N09_P024,INST0279_N25_N09_D024
depot,0.0,58.839,43.657,0.0,54.669,58.839,134.941,0.0,58.839,0.0,114.332,54.669,114.332,33.197,56.4,41.993,58.839,35.041,43.657,0.0,114.332,43.657,41.993,43.657,149.69,54.669,43.657,33.197,134.941,33.197,43.657,56.4,149.69,43.657,99.467,33.197,134.941,35.041,99.467,43.657,41.993,43.657,58.839,35.041,58.839,41.993,149.69,58.839,56.4,56.4,0.0
INST0279_N25_N09_P000,58.839,0.0,49.306,58.839,17.072,0.0,157.017,58.839,0.0,58.839,56.35,17.072,56.35,31.992,14.003,26.694,0.0,25.326,49.306,58.839,56.35,49.306,26.694,49.306,99.415,17.072,49.306,31.992,157.017,31.992,49.306,14.003,99.415,49.306,95.498,31.992,157.017,25.326,95.498,49.306,26.694,49.306,0.0,25.326,0.0,26.694,99.415,0.0,14.003,14.003,58.839
INST0279_N25_N09_D000,43.657,49.306,0.0,43.657,33.929,49.306,175.714,43.657,49.306,43.657,101.428,33.929,101.428,22.387,37.312,23.01,49.306,43.511,0.0,43.657,101.428,0.0,23.01,0.0,114.14,33.929,0.0,22.387,175.714,22.387,0.0,37.312,114.14,0.0,57.966,22.387,175.714,43.511,57.966,0.0,23.01,0.0,49.306,43.511,49.306,23.01,114.14,49.306,37.312,37.312,43.657
INST0279_N25_N09_P001,0.0,58.839,43.657,0.0,54.669,58.839,134.941,0.0,58.839,0.0,114.332,54.669,114.332,33.197,56.4,41.993,58.839,35.041,43.657,0.0,114.332,43.657,41.993,43.657,149.69,54.669,43.657,33.197,134.941,33.197,43.657,56.4,149.69,43.657,99.467,33.197,134.941,35.041,99.467,43.657,41.993,43.657,58.839,35.041,58.839,41.993,149.69,58.839,56.4,56.4,0.0
INST0279_N25_N09_D001,54.669,17.072,33.929,54.669,0.0,17.072,167.44,54.669,17.072,54.669,67.88,0.0,67.88,22.322,3.413,14.053,17.072,28.727,33.929,54.669,67.88,33.929,14.053,33.929,95.867,0.0,33.929,22.322,167.44,22.322,33.929,3.413,95.867,33.929,78.656,22.322,167.44,28.727,78.656,33.929,14.053,33.929,17.072,28.727,17.072,14.053,95.867,17.072,3.413,3.413,54.669
INST0279_N25_N09_P002,58.839,0.0,49.306,58.839,17.072,0.0,157.017,58.839,0.0,58.839,56.35,17.072,56.35,31.992,14.003,26.694,0.0,25.326,49.306,58.839,56.35,49.306,26.694,49.306,99.415,17.072,49.306,31.992,157.017,31.992,49.306,14.003,99.415,49.306,95.498,31.992,157.017,25.326,95.498,49.306,26.694,49.306,0.0,25.326,0.0,26.694,99.415,0.0,14.003,14.003,58.839
INST0279_N25_N09_D002,134.941,157.017,175.714,134.941,167.44,157.017,0.0,134.941,157.017,134.941,182.822,167.44,182.822,156.702,166.496,162.641,157.017,139.347,175.714,134.941,182.822,175.714,162.641,175.714,253.32,167.44,175.714,156.702,0.0,156.702,175.714,166.496,253.32,175.714,233.468,156.702,0.0,139.347,233.468,175.714,162.641,175.714,157.017,139.347,157.017,162.641,253.32,157.017,166.496,166.496,134.941
INST0279_N25_N09_P003,0.0,58.839,43.657,0.0,54.669,58.839,134.941,0.0,58.839,0.0,114.332,54.669,114.332,33.197,56.4,41.993,58.839,35.041,43.657,0.0,114.332,43.657,41.993,43.657,149.69,54.669,43.657,33.197,134.941,33.197,43.657,56.4,149.69,43.657,99.467,33.197,134.941,35.041,99.467,43.657,41.993,43.657,58.839,35.041,58.839,41.993,149.69,58.839,56.4,56.4,0.0
INST0279_N25_N09_D003,58.839,0.0,49.306,58.839,17.072,0.0,157.017,58.839,0.0,58.839,56.35,17.072,56.35,31.992,14.003,26.694,0.0,25.326,49.306,58.839,56.35,49.306,26.694,49.306,99.415,17.072,49.306,31.992,157.017,31.992,49.306,14.003,99.415,49.306,95.498,31.992,157.017,25.326,95.498,49.306,26.694,49.306,0.0,25.326,0.0,26.694,99.415,0.0,14.003,14.003,58.839
INST0279_N25_N09_P004,0.0,58.839,43.657,0.0,54.669,58.839,134.941,0.0,58.839,0.0,114.332,54.669,114.332,33.197,56.4,41.993,58.839,35.041,43.657,0.0,114.332,43.657,41.993,43.657,149.69,54.669,43.657,33.197,134.941,33.197,43.657,56.4,149.69,43.657,99.467,33.197,134.941,35.041,99.467,43.657,41.993,43.657,58.839,35.041,58.839,41.993,149.69,58.839,56.4,56.4,0.0
INST0279_N25_N09_D004,114.332,56.35,101.428,114.332,67.88,56.35,182.822,114.332,56.35,114.332,0.0,67.88,0.0,87.893,64.653,81.208,56.35,79.42,101.428,114.332,0.0,101.428,81.208,101.428,79.694,67.88,101.428,87.893,182.822,87.893,101.428,64.653,79.694,101.428,131.605,87.893,182.822,79.42,131.605,101.428,81.208,101.428,56.35,79.42,56.35,81.208,79.694,56.35,64.653,64.653,114.332
INST0279_N25_N09_P005,54.669,17.072,33.929,54.669,0.0,17.072,167.44,54.669,17.072,54.669,67.88,0.0,67.88,22.322,3.413,14.053,17.072,28.727,33.929,54.669,67.88,33.929,14.053,33.929,95.867,0.0,33.929,22.322,167.44,22.322,33.929,3.413,95.867,33.929,78.656,22.322,167.44,28.727,78.656,33.929,14.053,33.929,17.072,28.727,17.072,14.053,95.867,17.072,3.413,3.413,54.669
