,depot,INST0031_N5_W01_P000,INST0031_N5_W01_D000,INST0031_N5_W01_P001,INST0031_N5_W01_D001,INST0031_N5_W01_P002,INST0031_N5_W01_D002,INST0031_N5_W01_P003,INST0031_N5_W01_D003,INST0031_N5_W01_P004,INST0031_N5_W01_D004
depot,0.0,37.156,25.201,50.317,32.905,0.0,17.238,17.238,43.046,25.201,22.951
INST0031_N5_W01_P000,37.156,0.0,45.89,28.407,20.081,37.156,33.728,33.728,78.578,45.89,14.369
INST0031_N5_W01_D000,25.201,45.89,0.0,43.098,29.878,25.201,12.767,12.767,56.961,0.0,36.098
INST0031_N5_W01_P001,50.317,28.407,43.098,0.0,17.435,50.317,36.679,36.679,92.961,43.098,35.228
INST0031_N5_W01_D001,32.905,20.081,29.878,17.435,0.0,32.905,20.56,20.56,75.699,29.878,20.02
INST0031_N5_W01_P002,0.0,37.156,25.201,50.317,32.905,0.0,17.238,17.238,43.046,25.201,22.951
INST0031_N5_W01_D002,17.238,33.728,12.767,36.679,20.56,17.238,0.0,0.0,57.051,12.767,23.331
INST0031_N5_W01_P003,17.238,33.728,12.767,36.679,20.56,17.238,0.0,0.0,57.051,12.767,23.331
INST0031_N5_W01_D003,43.046,78.578,56.961,92.961,75.699,43.046,57.051,57.051,0.0,56.961,64.294
INST0031_N5_W01_P004,25.201,45.89,0.0,43.098,29.878,25.201,12.767,12.767,56.961,0.0,36.098
INST0031_N5_W01_D004,22.951,14.369,36.098,35.228,20.02,22.951,23.331,23.331,64.294,36.098,0.0
