,depot,INST0220_N20_W10_P000,INST0220_N20_W10_D000,INST0220_N20_W10_P001,INST0220_N20_W10_D001,INST0220_N20_W10_P002,INST0220_N20_W10_D002,INST0220_N20_W10_P003,INST0220_N20_W10_D003,INST0220_N20_W10_P004,INST0220_N20_W10_D004,INST0220_N20_W10_P005,INST0220_N20_W10_D005,INST0220_N20_W10_P006,INST0220_N20_W10_D006,INST0220_N20_W10_P007,INST0220_N20_W10_D007,INST0220_N20_W10_P008,INST0220_N20_W10_D008,INST0220_N20_W10_P009,INST0220_N20_W10_D009,INST0220_N20_W10_P010,INST0220_N20_W10_D010,INST0220_N20_W10_P011,INST0220_N20_W10_D011,INST0220_N20_W10_P012,INST0220_N20_W10_D012,INST0220_N20_W10_P013,INST0220_N20_W10_D013,INST0220_N20_W10_P014,INST0220_N20_W10_D014,INST0220_N20_W10_P015,INST0220_N20_W10_D015,INST0220_N20_W10_P016,INST0220_N20_W10_D016,INST0220_N20_W10_P017,INST0220_N20_W10_D017,INST0220_N20_W10_P018,INST0220_N20_W10_D018,INST0220_N20_W10_P019,INST0220_N20_W10_D019
depot,0.0,22.951,35.228,64.294,150.679,20.02,84.648,22.951,20.02,84.648,20.02,84.648,36.098,14.369,20.02,0.0,36.098,36.098,14.369,23.331,20.02,23.331,133.671,64.294,22.951,36.098,0.0,64.294,22.951,22.951,63.48,20.02,64.294,20.02,36.098,23.331,20.02,84.648,14.369,36.098,84.648
INST0220_N20_W10_P000,22.951,0.0,50.317,43.046,133.769,32.905,67.612,0.0,32.905,67.612,32.905,67.612,25.201,37.156,32.905,22.951,25.201,25.201,37.156,17.238,32.905,17.238,117.595,43.046,0.0,25.201,22.951,43.046,0.0,0.0,50.631,32.905,43.046,32.905,25.201,17.238,32.905,67.612,37.156,25.201,67.612
INST0220_N20_W10_D000,35.228,50.317,0.0,92.961,147.866,17.435,86.82,50.317,17.435,86.82,17.435,86.82,43.098,28.407,17.435,35.228,43.098,43.098,28.407,36.679,17.435,36.679,129.907,92.961,50.317,43.098,35.228,92.961,50.317,50.317,61.972,17.435,92.961,17.435,43.098,36.679,17.435,86.82,28.407,43.098,86.82
INST0220_N20_W10_P001,64.294,43.046,92.961,0.0,128.123,75.699,70.587,43.046,75.699,70.587,75.699,70.587,56.961,78.578,75.699,64.294,56.961,56.961,78.578,57.051,75.699,57.051,115.643,0.0,43.046,56.961,64.294,0.0,43.046,43.046,68.471,75.699,0.0,75.699,56.961,57.051,75.699,70.587,78.578,56.961,70.587
INST0220_N20_W10_D001,150.679,133.769,147.866,128.123,0.0,141.804,66.284,133.769,141.804,66.284,141.804,66.284,114.719,160.194,141.804,150.679,114.719,114.719,160.194,127.423,141.804,127.423,18.026,128.123,133.769,114.719,150.679,128.123,133.769,133.769,88.095,141.804,128.123,141.804,114.719,127.423,141.804,66.284,160.194,114.719,66.284
INST0220_N20_W10_P002,20.02,32.905,17.435,75.699,141.804,0.0,77.687,32.905,0.0,77.687,0.0,77.687,29.878,20.081,0.0,20.02,29.878,29.878,20.081,20.56,0.0,20.56,124.166,75.699,32.905,29.878,20.02,75.699,32.905,32.905,53.818,0.0,75.699,0.0,29.878,20.56,0.0,77.687,20.081,29.878,77.687
INST0220_N20_W10_D002,84.648,67.612,86.82,70.587,66.284,77.687,0.0,67.612,77.687,0.0,77.687,0.0,49.056,94.929,77.687,84.648,49.056,49.056,94.929,61.567,77.687,61.567,50.015,70.587,67.612,49.056,84.648,70.587,67.612,67.612,24.909,77.687,70.587,77.687,49.056,61.567,77.687,0.0,94.929,49.056,0.0
INST0220_N20_W10_P003,22.951,0.0,50.317,43.046,133.769,32.905,67.612,0.0,32.905,67.612,32.905,67.612,25.201,37.156,32.905,22.951,25.201,25.201,37.156,17.238,32.905,17.238,117.595,43.046,0.0,25.201,22.951,43.046,0.0,0.0,50.631,32.905,43.046,32.905,25.201,17.238,32.905,67.612,37.156,25.201,67.612
INST0220_N20_W10_D003,20.02,32.905,17.435,75.699,141.804,0.0,77.687,32.905,0.0,77.687,0.0,77.687,29.878,20.081,0.0,20.02,29.878,29.878,20.081,20.56,0.0,20.56,124.166,75.699,32.905,29.878,20.02,75.699,32.905,32.905,53.818,0.0,75.699,0.0,29.878,20.56,0.0,77.687,20.081,29.878,77.687
INST0220_N20_W10_P004,84.648,67.612,86.82,70.587,66.284,77.687,0.0,67.612,77.687,0.0,77.687,0.0,49.056,94.929,77.687,84.648,49.056,49.056,94.929,61.567,77.687,61.567,50.015,70.587,67.612,49.056,84.648,70.587,67.612,67.612,24.909,77.687,70.587,77.687,49.056,61.567,77.687,0.0,94.929,49.056,0.0
