,depot,INST0265_N22_W25_P000,INST0265_N22_W25_D000,INST0265_N22_W25_P001,INST0265_N22_W25_D001,INST0265_N22_W25_P002,INST0265_N22_W25_D002,INST0265_N22_W25_P003,INST0265_N22_W25_D003,INST0265_N22_W25_P004,INST0265_N22_W25_D004,INST0265_N22_W25_P005,INST0265_N22_W25_D005,INST0265_N22_W25_P006,INST0265_N22_W25_D006,INST0265_N22_W25_P007,INST0265_N22_W25_D007,INST0265_N22_W25_P008,INST0265_N22_W25_D008,INST0265_N22_W25_P009,INST0265_N22_W25_D009,INST0265_N22_W25_P010,INST0265_N22_W25_D010,INST0265_N22_W25_P011,INST0265_N22_W25_D011,INST0265_N22_W25_P012,INST0265_N22_W25_D012,INST0265_N22_W25_P013,INST0265_N22_W25_D013,INST0265_N22_W25_P014,INST0265_N22_W25_D014,INST0265_N22_W25_P015,INST0265_N22_W25_D015,INST0265_N22_W25_P016,INST0265_N22_W25_D016,INST0265_N22_W25_P017,INST0265_N22_W25_D017,INST0265_N22_W25_P018,INST0265_N22_W25_D018,INST0265_N22_W25_P019,INST0265_N22_W25_D019,INST0265_N22_W25_P020,INST0265_N22_W25_D020,INST0265_N22_W25_P021,INST0265_N22_W25_D021
depot,0.0,51.842,18.744,28.769,0.0,0.0,18.744,28.769,123.055,16.35,69.129,28.769,52.507,69.129,52.507,19.054,11.735,52.507,123.055,19.054,51.842,16.35,19.054,28.769,51.842,28.769,109.164,18.744,123.055,28.769,0.0,16.35,137.675,29.48,18.744,29.48,123.055,11.735,69.129,11.735,51.842,18.744,11.735,11.735,18.744
INST0265_N22_W25_P000,51.842,0.0,41.349,50.611,51.842,51.842,41.349,50.611,71.944,43.952,20.342,50.611,55.918,20.342,55.918,32.833,58.923,55.918,71.944,32.833,0.0,43.952,32.833,50.611,0.0,50.611,57.687,41.349,71.944,50.611,51.842,43.952,130.013,22.455,41.349,22.455,71.944,58.923,20.342,58.923,0.0,41.349,58.923,58.923,41.349
INST0265_N22_W25_D000,18.744,41.349,0.0,41.092,18.744,18.744,0.0,41.092,109.245,26.872,55.217,41.092,35.155,55.217,35.155,14.077,30.344,35.155,109.245,14.077,41.349,26.872,14.077,41.092,41.349,41.092,96.036,0.0,109.245,41.092,18.744,26.872,147.26,20.581,0.0,20.581,109.245,30.344,55.217,30.344,41.349,0.0,30.344,30.344,0.0
INST0265_N22_W25_P001,28.769,50.611,41.092,0.0,28.769,28.769,41.092,0.0,120.757,14.239,70.903,0.0,75.918,70.903,75.918,29.954,23.199,75.918,120.757,29.954,50.611,14.239,29.954,0.0,50.611,0.0,106.091,41.092,120.757,0.0,28.769,14.239,108.909,35.196,41.092,35.196,120.757,23.199,70.903,23.199,50.611,41.092,23.199,23.199,41.092
INST0265_N22_W25_D001,0.0,51.842,18.744,28.769,0.0,0.0,18.744,28.769,123.055,16.35,69.129,28.769,52.507,69.129,52.507,19.054,11.735,52.507,123.055,19.054,51.842,16.35,19.054,28.769,51.842,28.769,109.164,18.744,123.055,28.769,0.0,16.35,137.675,29.48,18.744,29.48,123.055,11.735,69.129,11.735,51.842,18.744,11.735,11.735,18.744
INST0265_N22_W25_P002,0.0,51.842,18.744,28.769,0.0,0.0,18.744,28.769,123.055,16.35,69.129,28.769,52.507,69.129,52.507,19.054,11.735,52.507,123.055,19.054,51.842,16.35,19.054,28.769,51.842,28.769,109.164,18.744,123.055,28.769,0.0,16.35,137.675,29.48,18.744,29.48,123.055,11.735,69.129,11.735,51.842,18.744,11.735,11.735,18.744
INST0265_N22_W25_D002,18.744,41.349,0.0,41.092,18.744,18.744,0.0,41.092,109.245,26.872,55.217,41.092,35.155,55.217,35.155,14.077,30.344,35.155,109.245,14.077,41.349,26.872,14.077,41.092,41.349,41.092,96.036,0.0,109.245,41.092,18.744,26.872,147.26,20.581,0.0,20.581,109.245,30.344,55.217,30.344,41.349,0.0,30.344,30.344,0.0
INST0265_N22_W25_P003,28.769,50.611,41.092,0.0,28.769,28.769,41.092,0.0,120.757,14.239,70.903,0.0,75.918,70.903,75.918,29.954,23.199,75.918,120.757,29.954,50.611,14.239,29.954,0.0,50.611,0.0,106.091,41.092,120.757,0.0,28.769,14.239,108.909,35.196,41.092,35.196,120.757,23.199,70.903,23.199,50.611,41.092,23.199,23.199,41.092
INST0265_N22_W25_D003,123.055,71.944,109.245,120.757,123.055,123.055,109.245,120.757,0.0,115.807,54.132,120.757,104.634,54.132,104.634,104.062,130.825,104.634,0.0,104.062,71.944,115.807,104.062,120.757,71.944,120.757,14.722,109.245,0.0,120.757,123.055,115.807,164.396,93.687,109.245,93.687,0.0,130.825,54.132,130.825,71.944,109.245,130.825,130.825,109.245
INST0265_N22_W25_P004,16.35,43.952,26.872,14.239,16.35,16.35,26.872,14.239,115.807,0.0,63.444,14.239,61.821,63.444,61.821,16.791,16.399,61.821,115.807,16.791,43.952,0.0,16.791,14.239,43.952,14.239,101.402,26.872,115.807,14.239,16.35,0.0,122.204,24.4,26.872,24.4,115.807,16.399,63.444,16.399,43.952,26.872,16.399,16.399,26.872
INST0265_N22_W25_D004,69.129,20.342,55.217,70.903,69.129,69.129,55.217,70.903,54.132,63.444,0.0,70.903,57.646,0.0,57.646,50.28,77.525,57.646,54.132,50.28,20.342,63.444,50.28,70.903,20.342,70.903,40.846,55.217,54.132,70.903,69.129,63.444,143.94,40.063,55.217,40.063,54.132,77.525,0.0,77.525,20.342,55.217,77.525,77.525,55.217
INST0265_N22_W25_P005,28.769,50.611,41.092,0.0,28.769,28.769,41.092,0.0,120.757,14.239,70.903,0.0,75.918,70.903,75.918,29.954,23.199,75.918,120.757,29.954,50.611,14.239,29.954,0.0,50.611,0.0,106.091,41.092,120.757,0.0,28.769,14.239,108.909,35.196,41.092,35.196,120.757,23.199,70.903,23.199,50.611,41.092,23.199,23.199,41.092
INST0265_N22_W25_D005,52.507,55.918,35.155,75.918,52.507,52.507,35.155,75.918,104.634,61.821,57.646,75.918,0.0,57.646,0.0,46.592,64.172,0.0,104.634,46.592,55.918,61.821,46.592,75.918,55.918,75.918,94.442,35.155,104.634,75.918,52.507,61.821,178.909,46.518,35.155,46.518,104.634,64.172,57.646,64.172,55.918,35.155,64.172,64.172,35.155
INST0265_N22_W25_P006,69.129,20.342,55.217,70.903,69.129,69.129,55.217,70.903,54.132,63.444,0.0,70.903,57.646,0.0,57.646,50.28,77.525,57.646,54.132,50.28,20.342,63.444,50.28,70.903,20.342,70.903,40.846,55.217,54.132,70.903,69.129,63.444,143.94,40.063,55.217,40.063,54.132,77.525,0.0,77.525,20.342,55.217,77.525,77.525,55.217
INST0265_N22_W25_D006,52.507,55.918,35.155,75.918,52.507,52.507,35.155,75.918,104.634,61.821,57.646,75.918,0.0,57.646,0.0,46.592,64.172,0.0,104.634,46.592,55.918,61.821,46.592,75.918,55.918,75.918,94.442,35.155,104.634,75.918,52.507,61.821,178.909,46.518,35.155,46.518,104.634,64.172,57.646,64.172,55.918,35.155,64.172,64.172,35.155
INST0265_N22_W25_P007,19.054,32.833,14.077,29.954,19.054,19.054,14.077,29.954,104.062,16.791,50.28,29.954,46.592,50.28,46.592,0.0,27.544,46.592,104.062,0.0,32.833,16.791,0.0,29.954,32.833,29.954,90.122,14.077,104.062,29.954,19.054,16.791,133.597,10.426,14.077,10.426,104.062,27.544,50.28,27.544,32.833,14.077,27.544,27.544,14.077
INST0265_N22_W25_D007,11.735,58.923,30.344,23.199,11.735,11.735,30.344,23.199,130.825,16.399,77.525,23.199,64.172,77.525,64.172,27.544,0.0,64.172,130.825,27.544,58.923,16.399,27.544,23.199,58.923,23.199,116.61,30.344,130.825,23.199,11.735,16.399,130.691,37.477,30.344,37.477,130.825,0.0,77.525,0.0,58.923,30.344,0.0,0.0,30.344
INST0265_N22_W25_P008,52.507,55.918,35.155,75.918,52.507,52.507,35.155,75.918,104.634,61.821,57.646,75.918,0.0,57.646,0.0,46.592,64.172,0.0,104.634,46.592,55.918,61.821,46.592,75.918,55.918,75.918,94.442,35.155,104.634,75.918,52.507,61.821,178.909,46.518,35.155,46.518,104.634,64.172,57.646,64.172,55.918,35.155,64.172,64.172,35.155
INST0265_N22_W25_D008,123.055,71.944,109.245,120.757,123.055,123.055,109.245,120.757,0.0,115.807,54.132,120.757,104.634,54.132,104.634,104.062,130.825,104.634,0.0,104.062,71.944,115.807,104.062,120.757,71.944,120.757,14.722,109.245,0.0,120.757,123.055,115.807,164.396,93.687,109.245,93.687,0.0,130.825,54.132,130.825,71.944,109.245,130.825,130.825,109.245
INST0265_N22_W25_P009,19.054,32.833,14.077,29.954,19.054,19.054,14.077,29.954,104.062,16.791,50.28,29.954,46.592,50.28,46.592,0.0,27.544,46.592,104.062,0.0,32.833,16.791,0.0,29.954,32.833,29.954,90.122,14.077,104.062,29.954,19.054,16.791,133.597,10.426,14.077,10.426,104.062,27.544,50.28,27.544,32.833,14.077,27.544,27.544,14.077
INST0265_N22_W25_D009,51.842,0.0,41.349,50.611,51.842,51.842,41.349,50.611,71.944,43.952,20.342,50.611,55.918,20.342,55.918,32.833,58.923,55.918,71.944,32.833,0.0,43.952,32.833,50.611,0.0,50.611,57.687,41.349,71.944,50.611,51.842,43.952,130.013,22.455,41.349,22.455,71.944,58.923,20.342,58.923,0.0,41.349,58.923,58.923,41.349
INST0265_N22_W25_P010,16.35,43.952,26.872,14.239,16.35,16.35,26.872,14.239,115.807,0.0,63.444,14.239,61.821,63.444,61.821,16.791,16.399,61.821,115.807,16.791,43.952,0.0,16.791,14.239,43.952,14.239,101.402,26.872,115.807,14.239,16.35,0.0,122.204,24.4,26.872,24.4,115.807,16.399,63.444,16.399,43.952,26.872,16.399,16.399,26.872
INST0265_N22_W25_D010,19.054,32.833,14.077,29.954,19.054,19.054,14.077,29.954,104.062,16.791,50.28,29.954,46.592,50.28,46.592,0.0,27.544,46.592,104.062,0.0,32.833,16.791,0.0,29.954,32.833,29.954,90.122,14.077,104.062,29.954,19.054,16.791,133.597,10.426,14.077,10.426,104.062,27.544,50.28,27.544,32.833,14.077,27.544,27.544,14.077
INST0265_N22_W25_P011,28.769,50.611,41.092,0.0,28.769,28.769,41.092,0.0,120.757,14.239,70.903,0.0,75.918,70.903,75.918,29.954,23.199,75.918,120.757,29.954,50.611,14.239,29.954,0.0,50.611,0.0,106.091,41.092,120.757,0.0,28.769,14.239,108.909,35.196,41.092,35.196,120.757,23.199,70.903,23.199,50.611,41.092,23.199,23.199,41.092
INST0265_N22_W25_D011,51.842,0.0,41.349,50.611,51.842,51.842,41.349,50.611,71.944,43.952,20.342,50.611,55.918,20.342,55.918,32.833,58.923,55.918,71.944,32.833,0.0,43.952,32.833,50.611,0.0,50.611,57.687,41.349,71.944,50.611,51.842,43.952,130.013,22.455,41.349,22.455,71.944,58.923,20.342,58.923,0.0,41.349,58.923,58.923,41.349
INST0265_N22_W25_P012,28.769,50.611,41.092,0.0,28.769,28.769,41.092,0.0,120.757,14.239,70.903,0.0,75.918,70.903,75.918,29.954,23.199,75.918,120.757,29.954,50.611,14.239,29.954,0.0,50.611,0.0,106.091,41.092,120.757,0.0,28.769,14.239,108.909,35.196,41.092,35.196,120.757,23.199,70.903,23.199,50.611,41.092,23.199,23.199,41.092
INST0265_N22_W25_D012,109.164,57.687,96.036,106.091,109.164,109.164,96.036,106.091,14.722,101.402,40.846,106.091,94.442,40.846,94.442,90.122,116.61,94.442,14.722,90.122,57.687,101.402,90.122,106.091,57.687,106.091,0.0,96.036,14.722,106.091,109.164,101.402,152.865,79.708,96.036,79.708,14.722,116.61,40.846,116.61,57.687,96.036,116.61,116.61,96.036
INST0265_N22_W25_P013,18.744,41.349,0.0,41.092,18.744,18.744,0.0,41.092,109.245,26.872,55.217,41.092,35.155,55.217,35.155,14.077,30.344,35.155,109.245,14.077,41.349,26.872,14.077,41.092,41.349,41.092,96.036,0.0,109.245,41.092,18.744,26.872,147.26,20.581,0.0,20.581,109.245,30.344,55.217,30.344,41.349,0.0,30.344,30.344,0.0
INST0265_N22_W25_D013,123.055,71.944,109.245,120.757,123.055,123.055,109.245,120.757,0.0,115.807,54.132,120.757,104.634,54.132,104.634,104.062,130.825,104.634,0.0,104.062,71.944,115.807,104.062,120.757,71.944,120.757,14.722,109.245,0.0,120.757,123.055,115.807,164.396,93.687,109.245,93.687,0.0,130.825,54.132,130.825,71.944,109.245,130.825,130.825,109.245
INST0265_N22_W25_P014,28.769,50.611,41.092,0.0,28.769,28.769,41.092,0.0,120.757,14.239,70.903,0.0,75.918,70.903,75.918,29.954,23.199,75.918,120.757,29.954,50.611,14.239,29.954,0.0,50.611,0.0,106.091,41.092,120.757,0.0,28.769,14.239,108.909,35.196,41.092,35.196,120.757,23.199,70.903,23.199,50.611,41.092,23.199,23.199,41.092
INST0265_N22_W25_D014,0.0,51.842,18.744,28.769,0.0,0.0,18.744,28.769,123.055,16.35,69.129,28.769,52.507,69.129,52.507,19.054,11.735,52.507,123.055,19.054,51.842,16.35,19.054,28.769,51.842,28.769,109.164,18.744,123.055,28.769,0.0,16.35,137.675,29.48,18.744,29.48,123.055,11.735,69.129,11.735,51.842,18.744,11.735,11.735,18.744
INST0265_N22_W25_P015,16.35,43.952,26.872,14.239,16.35,16.35,26.872,14.239,115.807,0.0,63.444,14.239,61.821,63.444,61.821,16.791,16.399,61.821,115.807,16.791,43.952,0.0,16.791,14.239,43.952,14.239,101.402,26.872,115.807,14.239,16.35,0.0,122.204,24.4,26.872,24.4,115.807,16.399,63.444,16.399,43.952,26.872,16.399,16.399,26.872
INST0265_N22_W25_D015,137.675,130.013,147.26,108.909,137.675,137.675,147.26,108.909,164.396,122.204,143.94,108.909,178.909,143.94,178.909,133.597,130.691,178.909,164.396,133.597,130.013,122.204,133.597,108.909,130.013,108.909,152.865,147.26,164.396,108.909,137.675,122.204,0.0,132.406,147.26,132.406,164.396,130.691,143.94,130.691,130.013,147.26,130.691,130.691,147.26
INST0265_N22_W25_P016,29.48,22.455,20.581,35.196,29.48,29.48,20.581,35.196,93.687,24.4,40.063,35.196,46.518,40.063,46.518,10.426,37.477,46.518,93.687,10.426,22.455,24.4,10.426,35.196,22.455,35.196,79.708,20.581,93.687,35.196,29.48,24.4,132.406,0.0,20.581,0.0,93.687,37.477,40.063,37.477,22.455,20.581,37.477,37.477,20.581
INST0265_N22_W25_D016,18.744,41.349,0.0,41.092,18.744,18.744,0.0,41.092,109.245,26.872,55.217,41.092,35.155,55.217,35.155,14.077,30.344,35.155,109.245,14.077,41.349,26.872,14.077,41.092,41.349,41.092,96.036,0.0,109.245,41.092,18.744,26.872,147.26,20.581,0.0,20.581,109.245,30.344,55.217,30.344,41.349,0.0,30.344,30.344,0.0
INST0265_N22_W25_P017,29.48,22.455,20.581,35.196,29.48,29.48,20.581,35.196,93.687,24.4,40.063,35.196,46.518,40.063,46.518,10.426,37.477,46.518,93.687,10.426,22.455,24.4,10.426,35.196,22.455,35.196,79.708,20.581,93.687,35.196,29.48,24.4,132.406,0.0,20.581,0.0,93.687,37.477,40.063,37.477,22.455,20.581,37.477,37.477,20.581
INST0265_N22_W25_D017,123.055,71.944,109.245,120.757,123.055,123.055,109.245,120.757,0.0,115.807,54.132,120.757,104.634,54.132,104.634,104.062,130.825,104.634,0.0,104.062,71.944,115.807,104.062,120.757,71.944,120.757,14.722,109.245,0.0,120.757,123.055,115.807,164.396,93.687,109.245,93.687,0.0,130.825,54.132,130.825,71.944,109.245,130.825,130.825,109.245
