,depot,INST0174_N15_N24_P000,INST0174_N15_N24_D000,INST0174_N15_N24_P001,INST0174_N15_N24_D001,INST0174_N15_N24_P002,INST0174_N15_N24_D002,INST0174_N15_N24_P003,INST0174_N15_N24_D003,INST0174_N15_N24_P004,INST0174_N15_N24_D004,INST0174_N15_N24_P005,INST0174_N15_N24_D005,INST0174_N15_N24_P006,INST0174_N15_N24_D006,INST0174_N15_N24_P007,INST0174_N15_N24_D007,INST0174_N15_N24_P008,INST0174_N15_N24_D008,INST0174_N15_N24_P009,INST0174_N15_N24_D009,INST0174_N15_N24_P010,INST0174_N15_N24_D010,INST0174_N15_N24_P011,INST0174_N15_N24_D011,INST0174_N15_N24_P012,INST0174_N15_N24_D012,INST0174_N15_N24_P013,INST0174_N15_N24_D013,INST0174_N15_N24_P014,INST0174_N15_N24_D014
depot,0.0,27.111,122.247,34.294,122.247,28.616,44.646,44.646,81.232,0.0,34.294,34.294,93.371,28.616,46.06,34.294,46.06,28.616,48.052,48.052,27.111,27.111,153.371,35.653,46.06,46.06,0.0,27.111,100.108,27.111,81.232
INST0174_N15_N24_P000,27.111,0.0,95.136,7.201,95.136,17.254,18.229,18.229,64.45,27.111,7.201,7.201,71.779,17.254,20.176,7.201,20.176,17.254,26.126,26.126,0.0,0.0,126.352,18.283,20.176,20.176,27.111,0.0,127.166,0.0,64.45
INST0174_N15_N24_D000,122.247,95.136,0.0,87.958,0.0,100.436,78.292,78.292,85.106,122.247,87.958,87.958,65.084,100.436,77.555,87.958,77.555,100.436,81.189,81.189,95.136,95.136,32.884,93.214,77.555,77.555,122.247,95.136,222.229,95.136,85.106
INST0174_N15_N24_P001,34.294,7.201,87.958,0.0,87.958,19.671,11.477,11.477,61.784,34.294,0.0,0.0,66.32,19.671,13.759,0.0,13.759,19.671,21.8,21.8,7.201,7.201,119.262,18.791,13.759,13.759,34.294,7.201,134.365,7.201,61.784
INST0174_N15_N24_D001,122.247,95.136,0.0,87.958,0.0,100.436,78.292,78.292,85.106,122.247,87.958,87.958,65.084,100.436,77.555,87.958,77.555,100.436,81.189,81.189,95.136,95.136,32.884,93.214,77.555,77.555,122.247,95.136,222.229,95.136,85.106
INST0174_N15_N24_P002,28.616,17.254,100.436,19.671,100.436,0.0,23.461,23.461,81.17,28.616,19.671,19.671,64.86,0.0,23.353,19.671,23.353,0.0,20.683,20.683,17.254,17.254,132.815,35.534,23.353,23.353,28.616,17.254,125.319,17.254,81.17
INST0174_N15_N24_D002,44.646,18.229,78.292,11.477,78.292,23.461,0.0,0.0,64.236,44.646,11.477,11.477,55.435,23.461,2.788,11.477,2.788,23.461,13.942,13.942,18.229,18.229,110.207,27.709,2.788,2.788,44.646,18.229,144.673,18.229,64.236
INST0174_N15_N24_P003,44.646,18.229,78.292,11.477,78.292,23.461,0.0,0.0,64.236,44.646,11.477,11.477,55.435,23.461,2.788,11.477,2.788,23.461,13.942,13.942,18.229,18.229,110.207,27.709,2.788,2.788,44.646,18.229,144.673,18.229,64.236
INST0174_N15_N24_D003,81.232,64.45,85.106,61.784,85.106,81.17,64.236,64.236,0.0,81.232,61.784,61.784,107.477,81.17,66.572,61.784,66.572,81.17,77.99,77.99,64.45,64.45,104.379,47.339,66.572,66.572,81.232,64.45,165.945,64.45,0.0
INST0174_N15_N24_P004,0.0,27.111,122.247,34.294,122.247,28.616,44.646,44.646,81.232,0.0,34.294,34.294,93.371,28.616,46.06,34.294,46.06,28.616,48.052,48.052,27.111,27.111,153.371,35.653,46.06,46.06,0.0,27.111,100.108,27.111,81.232
INST0174_N15_N24_D004,34.294,7.201,87.958,0.0,87.958,19.671,11.477,11.477,61.784,34.294,0.0,0.0,66.32,19.671,13.759,0.0,13.759,19.671,21.8,21.8,7.201,7.201,119.262,18.791,13.759,13.759,34.294,7.201,134.365,7.201,61.784
INST0174_N15_N24_P005,34.294,7.201,87.958,0.0,87.958,19.671,11.477,11.477,61.784,34.294,0.0,0.0,66.32,19.671,13.759,0.0,13.759,19.671,21.8,21.8,7.201,7.201,119.262,18.791,13.759,13.759,34.294,7.201,134.365,7.201,61.784
INST0174_N15_N24_D005,93.371,71.779,65.084,66.32,65.084,64.86,55.435,55.435,107.477,93.371,66.32,66.32,0.0,64.86,52.8,66.32,52.8,64.86,46.019,46.019,71.779,71.779,95.428,82.833,52.8,52.8,93.371,71.779,187.822,71.779,107.477
INST0174_N15_N24_P006,28.616,17.254,100.436,19.671,100.436,0.0,23.461,23.461,81.17,28.616,19.671,19.671,64.86,0.0,23.353,19.671,23.353,0.0,20.683,20.683,17.254,17.254,132.815,35.534,23.353,23.353,28.616,17.254,125.319,17.254,81.17
INST0174_N15_N24_D006,46.06,20.176,77.555,13.759,77.555,23.353,2.788,2.788,66.572,46.06,13.759,13.759,52.8,23.353,0.0,13.759,0.0,23.353,11.436,11.436,20.176,20.176,109.689,30.471,0.0,0.0,46.06,20.176,145.919,20.176,66.572
INST0174_N15_N24_P007,34.294,7.201,87.958,0.0,87.958,19.671,11.477,11.477,61.784,34.294,0.0,0.0,66.32,19.671,13.759,0.0,13.759,19.671,21.8,21.8,7.201,7.201,119.262,18.791,13.759,13.759,34.294,7.201,134.365,7.201,61.784
INST0174_N15_N24_D007,46.06,20.176,77.555,13.759,77.555,23.353,2.788,2.788,66.572,46.06,13.759,13.759,52.8,23.353,0.0,13.759,0.0,23.353,11.436,11.436,20.176,20.176,109.689,30.471,0.0,0.0,46.06,20.176,145.919,20.176,66.572
INST0174_N15_N24_P008,28.616,17.254,100.436,19.671,100.436,0.0,23.461,23.461,81.17,28.616,19.671,19.671,64.86,0.0,23.353,19.671,23.353,0.0,20.683,20.683,17.254,17.254,132.815,35.534,23.353,23.353,28.616,17.254,125.319,17.254,81.17
INST0174_N15_N24_D008,48.052,26.126,81.189,21.8,81.189,20.683,13.942,13.942,77.99,48.052,21.8,21.8,46.019,20.683,11.436,21.8,11.436,20.683,0.0,0.0,26.126,26.126,113.909,40.266,11.436,11.436,48.052,26.126,145.998,26.126,77.99
INST0174_N15_N24_P009,48.052,26.126,81.189,21.8,81.189,20.683,13.942,13.942,77.99,48.052,21.8,21.8,46.019,20.683,11.436,21.8,11.436,20.683,0.0,0.0,26.126,26.126,113.909,40.266,11.436,11.436,48.052,26.126,145.998,26.126,77.99
INST0174_N15_N24_D009,27.111,0.0,95.136,7.201,95.136,17.254,18.229,18.229,64.45,27.111,7.201,7.201,71.779,17.254,20.176,7.201,20.176,17.254,26.126,26.126,0.0,0.0,126.352,18.283,20.176,20.176,27.111,0.0,127.166,0.0,64.45
INST0174_N15_N24_P010,27.111,0.0,95.136,7.201,95.136,17.254,18.229,18.229,64.45,27.111,7.201,7.201,71.779,17.254,20.176,7.201,20.176,17.254,26.126,26.126,0.0,0.0,126.352,18.283,20.176,20.176,27.111,0.0,127.166,0.0,64.45
INST0174_N15_N24_D010,153.371,126.352,32.884,119.262,32.884,132.815,110.207,110.207,104.379,153.371,119.262,119.262,95.428,132.815,109.689,119.262,109.689,132.815,113.909,113.909,126.352,126.352,0.0,122.278,109.689,109.689,153.371,126.352,252.84,126.352,104.379
INST0174_N15_N24_P011,35.653,18.283,93.214,18.791,93.214,35.534,27.709,27.709,47.339,35.653,18.791,18.791,82.833,35.534,30.471,18.791,30.471,35.534,40.266,40.266,18.283,18.283,122.278,0.0,30.471,30.471,35.653,18.283,131.141,18.283,47.339
INST0174_N15_N24_D011,46.06,20.176,77.555,13.759,77.555,23.353,2.788,2.788,66.572,46.06,13.759,13.759,52.8,23.353,0.0,13.759,0.0,23.353,11.436,11.436,20.176,20.176,109.689,30.471,0.0,0.0,46.06,20.176,145.919,20.176,66.572
INST0174_N15_N24_P012,46.06,20.176,77.555,13.759,77.555,23.353,2.788,2.788,66.572,46.06,13.759,13.759,52.8,23.353,0.0,13.759,0.0,23.353,11.436,11.436,20.176,20.176,109.689,30.471,0.0,0.0,46.06,20.176,145.919,20.176,66.572
INST0174_N15_N24_D012,0.0,27.111,122.247,34.294,122.247,28.616,44.646,44.646,81.232,0.0,34.294,34.294,93.371,28.616,46.06,34.294,46.06,28.616,48.052,48.052,27.111,27.111,153.371,35.653,46.06,46.06,0.0,27.111,100.108,27.111,81.232
INST0174_N15_N24_P013,27.111,0.0,95.136,7.201,95.136,17.254,18.229,18.229,64.45,27.111,7.201,7.201,71.779,17.254,20.176,7.201,20.176,17.254,26.126,26.126,0.0,0.0,126.352,18.283,20.176,20.176,27.111,0.0,127.166,0.0,64.45
INST0174_N15_N24_D013,100.108,127.166,222.229,134.365,222.229,125.319,144.673,144.673,165.945,100.108,134.365,134.365,187.822,125.319,145.919,134.365,145.919,125.319,145.998,145.998,127.166,127.166,252.84,131.141,145.919,145.919,100.108,127.166,0.0,127.166,165.945
INST0174_N15_N24_P014,27.111,0.0,95.136,7.201,95.136,17.254,18.229,18.229,64.45,27.111,7.201,7.201,71.779,17.254,20.176,7.201,20.176,17.254,26.126,26.126,0.0,0.0,126.352,18.283,20.176,20.176,27.111,0.0,127.166,0.0,64.45
INST0174_N15_N24_D014,81.232,64.45,85.106,61.784,85.106,81.17,64.236,64.236,0.0,81.232,61.784,61.784,107.477,81.17,66.572,61.784,66.572,81.17,77.99,77.99,64.45,64.45,104.379,47.339,66.572,66.572,81.232,64.45,165.945,64.45,0.0
