,depot,INST0120_N12_N00_P000,INST0120_N12_N00_D000,INST0120_N12_N00_P001,INST0120_N12_N00_D001,INST0120_N12_N00_P002,INST0120_N12_N00_D002,INST0120_N12_N00_P003,INST0120_N12_N00_D003,INST0120_N12_N00_P004,INST0120_N12_N00_D004,INST0120_N12_N00_P005,INST0120_N12_N00_D005,INST0120_N12_N00_P006,INST0120_N12_N00_D006,INST0120_N12_N00_P007,INST0120_N12_N00_D007,INST0120_N12_N00_P008,INST0120_N12_N00_D008,INST0120_N12_N00_P009,INST0120_N12_N00_D009,INST0120_N12_N00_P010,INST0120_N12_N00_D010,INST0120_N12_N00_P011,INST0120_N12_N00_D011
depot,0.0,19.671,18.791,7.201,34.294,19.671,132.823,34.294,132.823,11.477,0.0,61.784,19.671,34.294,87.958,0.0,61.784,11.477,66.32,66.32,87.958,66.32,21.8,11.477,21.8
INST0120_N12_N00_P000,19.671,0.0,35.534,17.254,28.616,0.0,113.8,28.616,113.8,23.461,19.671,81.17,0.0,28.616,100.436,19.671,81.17,23.461,64.86,64.86,100.436,64.86,20.683,23.461,20.683
INST0120_N12_N00_D000,18.791,35.534,0.0,18.283,35.653,35.534,143.5,35.653,143.5,27.709,18.791,47.339,35.534,35.653,93.214,18.791,47.339,27.709,82.833,82.833,93.214,82.833,40.266,27.709,40.266
INST0120_N12_N00_P001,7.201,17.254,18.283,0.0,27.111,17.254,127.973,27.111,127.973,18.229,7.201,64.45,17.254,27.111,95.136,7.201,64.45,18.229,71.779,71.779,95.136,71.779,26.126,18.229,26.126
INST0120_N12_N00_D001,34.294,28.616,35.653,27.111,0.0,28.616,110.202,0.0,110.202,44.646,34.294,81.232,28.616,0.0,122.247,34.294,81.232,44.646,93.371,93.371,122.247,93.371,48.052,44.646,48.052
INST0120_N12_N00_P002,19.671,0.0,35.534,17.254,28.616,0.0,113.8,28.616,113.8,23.461,19.671,81.17,0.0,28.616,100.436,19.671,81.17,23.461,64.86,64.86,100.436,64.86,20.683,23.461,20.683
INST0120_N12_N00_D002,132.823,113.8,143.5,127.973,110.202,113.8,0.0,110.202,0.0,136.742,132.823,190.666,113.8,110.202,206.878,132.823,190.666,136.742,149.304,149.304,206.878,149.304,128.231,136.742,128.231
INST0120_N12_N00_P003,34.294,28.616,35.653,27.111,0.0,28.616,110.202,0.0,110.202,44.646,34.294,81.232,28.616,0.0,122.247,34.294,81.232,44.646,93.371,93.371,122.247,93.371,48.052,44.646,48.052
INST0120_N12_N00_D003,132.823,113.8,143.5,127.973,110.202,113.8,0.0,110.202,0.0,136.742,132.823,190.666,113.8,110.202,206.878,132.823,190.666,136.742,149.304,149.304,206.878,149.304,128.231,136.742,128.231
INST0120_N12_N00_P004,11.477,23.461,27.709,18.229,44.646,23.461,136.742,44.646,136.742,0.0,11.477,64.236,23.461,44.646,78.292,11.477,64.236,0.0,55.435,55.435,78.292,55.435,13.942,0.0,13.942
INST0120_N12_N00_D004,0.0,19.671,18.791,7.201,34.294,19.671,132.823,34.294,132.823,11.477,0.0,61.784,19.671,34.294,87.958,0.0,61.784,11.477,66.32,66.32,87.958,66.32,21.8,11.477,21.8
INST0120_N12_N00_P005,61.784,81.17,47.339,64.45,81.232,81.17,190.666,81.232,190.666,64.236,61.784,0.0,81.17,81.232,85.106,61.784,0.0,64.236,107.477,107.477,85.106,107.477,77.99,64.236,77.99
INST0120_N12_N00_D005,19.671,0.0,35.534,17.254,28.616,0.0,113.8,28.616,113.8,23.461,19.671,81.17,0.0,28.616,100.436,19.671,81.17,23.461,64.86,64.86,100.436,64.86,20.683,23.461,20.683
INST0120_N12_N00_P006,34.294,28.616,35.653,27.111,0.0,28.616,110.202,0.0,110.202,44.646,34.294,81.232,28.616,0.0,122.247,34.294,81.232,44.646,93.371,93.371,122.247,93.371,48.052,44.646,48.052
INST0120_N12_N00_D006,87.958,100.436,93.214,95.136,122.247,100.436,206.878,122.247,206.878,78.292,87.958,85.106,100.436,122.247,0.0,87.958,85.106,78.292,65.084,65.084,0.0,65.084,81.189,78.292,81.189
INST0120_N12_N00_P007,0.0,19.671,18.791,7.201,34.294,19.671,132.823,34.294,132.823,11.477,0.0,61.784,19.671,34.294,87.958,0.0,61.784,11.477,66.32,66.32,87.958,66.32,21.8,11.477,21.8
INST0120_N12_N00_D007,61.784,81.17,47.339,64.45,81.232,81.17,190.666,81.232,190.666,64.236,61.784,0.0,81.17,81.232,85.106,61.784,0.0,64.236,107.477,107.477,85.106,107.477,77.99,64.236,77.99
INST0120_N12_N00_P008,11.477,23.461,27.709,18.229,44.646,23.461,136.742,44.646,136.742,0.0,11.477,64.236,23.461,44.646,78.292,11.477,64.236,0.0,55.435,55.435,78.292,55.435,13.942,0.0,13.942
INST0120_N12_N00_D008,66.32,64.86,82.833,71.779,93.371,64.86,149.304,93.371,149.304,55.435,66.32,107.477,64.86,93.371,65.084,66.32,107.477,55.435,0.0,0.0,65.084,0.0,46.019,55.435,46.019
INST0120_N12_N00_P009,66.32,64.86,82.833,71.779,93.371,64.86,149.304,93.371,149.304,55.435,66.32,107.477,64.86,93.371,65.084,66.32,107.477,55.435,0.0,0.0,65.084,0.0,46.019,55.435,46.019
INST0120_N12_N00_D009,87.958,100.436,93.214,95.136,122.247,100.436,206.878,122.247,206.878,78.292,87.958,85.106,100.436,122.247,0.0,87.958,85.106,78.292,65.084,65.084,0.0,65.084,81.189,78.292,81.189
INST0120_N12_N00_P010,66.32,64.86,82.833,71.779,93.371,64.86,149.304,93.371,149.304,55.435,66.32,107.477,64.86,93.371,65.084,66.32,107.477,55.435,0.0,0.0,65.084,0.0,46.019,55.435,46.019
INST0120_N12_N00_D010,21.8,20.683,40.266,26.126,48.052,20.683,128.231,48.052,128.231,13.942,21.8,77.99,20.683,48.052,81.189,21.8,77.99,13.942,46.019,46.019,81.189,46.019,0.0,13.942,0.0
INST0120_N12_N00_P011,11.477,23.461,27.709,18.229,44.646,23.461,136.742,44.646,136.742,0.0,11.477,64.236,23.461,44.646,78.292,11.477,64.236,0.0,55.435,55.435,78.292,55.435,13.942,0.0,13.942
INST0120_N12_N00_D011,21.8,20.683,40.266,26.126,48.052,20.683,128.231,48.052,128.231,13.942,21.8,77.99,20.683,48.052,81.189,21.8,77.99,13.942,46.019,46.019,81.189,46.019,0.0,13.942,0.0
