,depot,INST0072_N8_N12_P000,INST0072_N8_N12_D000,INST0072_N8_N12_P001,INST0072_N8_N12_D001,INST0072_N8_N12_P002,INST0072_N8_N12_D002,INST0072_N8_N12_P003,INST0072_N8_N12_D003,INST0072_N8_N12_P004,INST0072_N8_N12_D004,INST0072_N8_N12_P005,INST0072_N8_N12_D005,INST0072_N8_N12_P006,INST0072_N8_N12_D006,INST0072_N8_N12_P007,INST0072_N8_N12_D007
depot,0.0,40.266,18.283,27.709,35.653,27.709,122.278,0.0,40.266,47.339,18.791,27.709,40.266,30.471,35.534,47.339,30.471
INST0072_N8_N12_P000,40.266,0.0,26.126,13.942,48.052,13.942,113.909,40.266,0.0,77.99,21.8,13.942,0.0,11.436,20.683,77.99,11.436
INST0072_N8_N12_D000,18.283,26.126,0.0,18.229,27.111,18.229,126.352,18.283,26.126,64.45,7.201,18.229,26.126,20.176,17.254,64.45,20.176
INST0072_N8_N12_P001,27.709,13.942,18.229,0.0,44.646,0.0,110.207,27.709,13.942,64.236,11.477,0.0,13.942,2.788,23.461,64.236,2.788
INST0072_N8_N12_D001,35.653,48.052,27.111,44.646,0.0,44.646,153.371,35.653,48.052,81.232,34.294,44.646,48.052,46.06,28.616,81.232,46.06
INST0072_N8_N12_P002,27.709,13.942,18.229,0.0,44.646,0.0,110.207,27.709,13.942,64.236,11.477,0.0,13.942,2.788,23.461,64.236,2.788
INST0072_N8_N12_D002,122.278,113.909,126.352,110.207,153.371,110.207,0.0,122.278,113.909,104.379,119.262,110.207,113.909,109.689,132.815,104.379,109.689
INST0072_N8_N12_P003,0.0,40.266,18.283,27.709,35.653,27.709,122.278,0.0,40.266,47.339,18.791,27.709,40.266,30.471,35.534,47.339,30.471
INST0072_N8_N12_D003,40.266,0.0,26.126,13.942,48.052,13.942,113.909,40.266,0.0,77.99,21.8,13.942,0.0,11.436,20.683,77.99,11.436
INST0072_N8_N12_P004,47.339,77.99,64.45,64.236,81.232,64.236,104.379,47.339,77.99,0.0,61.784,64.236,77.99,66.572,81.17,0.0,66.572
INST0072_N8_N12_D004,18.791,21.8,7.201,11.477,34.294,11.477,119.262,18.791,21.8,61.784,0.0,11.477,21.8,13.759,19.671,61.784,13.759
INST0072_N8_N12_P005,27.709,13.942,18.229,0.0,44.646,0.0,110.207,27.709,13.942,64.236,11.477,0.0,13.942,2.788,23.461,64.236,2.788
INST0072_N8_N12_D005,40.266,0.0,26.126,13.942,48.052,13.942,113.909,40.266,0.0,77.99,21.8,13.942,0.0,11.436,20.683,77.99,11.436
INST0072_N8_N12_P006,30.471,11.436,20.176,2.788,46.06,2.788,109.689,30.471,11.436,66.572,13.759,2.788,11.436,0.0,23.353,66.572,0.0
INST0072_N8_N12_D006,35.534,20.683,17.254,23.461,28.616,23.461,132.815,35.534,20.683,81.17,19.671,23.461,20.683,23.353,0.0,81.17,23.353
INST0072_N8_N12_P007,47.339,77.99,64.45,64.236,81.232,64.236,104.379,47.339,77.99,0.0,61.784,64.236,77.99,66.572,81.17,0.0,66.572
INST0072_N8_N12_D007,30.471,11.436,20.176,2.788,46.06,2.788,109.689,30.471,11.436,66.572,13.759,2.788,11.436,0.0,23.353,66.572,0.0
