,depot,INST0109_N10_W19_P000,INST0109_N10_W19_D000,INST0109_N10_W19_P001,INST0109_N10_W19_D001,INST0109_N10_W19_P002,INST0109_N10_W19_D002,INST0109_N10_W19_P003,INST0109_N10_W19_D003,INST0109_N10_W19_P004,INST0109_N10_W19_D004,INST0109_N10_W19_P005,INST0109_N10_W19_D005,INST0109_N10_W19_P006,INST0109_N10_W19_D006,INST0109_N10_W19_P007,INST0109_N10_W19_D007,INST0109_N10_W19_P008,INST0109_N10_W19_D008,INST0109_N10_W19_P009,INST0109_N10_W19_D009
depot,0.0,71.944,104.062,71.944,123.055,0.0,54.132,14.722,0.0,71.944,54.132,71.944,54.132,14.722,130.825,71.944,0.0,0.0,54.132,54.132,104.634
INST0109_N10_W19_P000,71.944,0.0,32.833,0.0,51.842,71.944,20.342,57.687,71.944,0.0,20.342,0.0,20.342,57.687,58.923,0.0,71.944,71.944,20.342,20.342,55.918
INST0109_N10_W19_D000,104.062,32.833,0.0,32.833,19.054,104.062,50.28,90.122,104.062,32.833,50.28,32.833,50.28,90.122,27.544,32.833,104.062,104.062,50.28,50.28,46.592
INST0109_N10_W19_P001,71.944,0.0,32.833,0.0,51.842,71.944,20.342,57.687,71.944,0.0,20.342,0.0,20.342,57.687,58.923,0.0,71.944,71.944,20.342,20.342,55.918
INST0109_N10_W19_D001,123.055,51.842,19.054,51.842,0.0,123.055,69.129,109.164,123.055,51.842,69.129,51.842,69.129,109.164,11.735,51.842,123.055,123.055,69.129,69.129,52.507
INST0109_N10_W19_P002,0.0,71.944,104.062,71.944,123.055,0.0,54.132,14.722,0.0,71.944,54.132,71.944,54.132,14.722,130.825,71.944,0.0,0.0,54.132,54.132,104.634
INST0109_N10_W19_D002,54.132,20.342,50.28,20.342,69.129,54.132,0.0,40.846,54.132,20.342,0.0,20.342,0.0,40.846,77.525,20.342,54.132,54.132,0.0,0.0,57.646
INST0109_N10_W19_P003,14.722,57.687,90.122,57.687,109.164,14.722,40.846,0.0,14.722,57.687,40.846,57.687,40.846,0.0,116.61,57.687,14.722,14.722,40.846,40.846,94.442
INST0109_N10_W19_D003,0.0,71.944,104.062,71.944,123.055,0.0,54.132,14.722,0.0,71.944,54.132,71.944,54.132,14.722,130.825,71.944,0.0,0.0,54.132,54.132,104.634
INST0109_N10_W19_P004,71.944,0.0,32.833,0.0,51.842,71.944,20.342,57.687,71.944,0.0,20.342,0.0,20.342,57.687,58.923,0.0,71.944,71.944,20.342,20.342,55.918
INST0109_N10_W19_D004,54.132,20.342,50.28,20.342,69.129,54.132,0.0,40.846,54.132,20.342,0.0,20.342,0.0,40.846,77.525,20.342,54.132,54.132,0.0,0.0,57.646
INST0109_N10_W19_P005,71.944,0.0,32.833,0.0,51.842,71.944,20.342,57.687,71.944,0.0,20.342,0.0,20.342,57.687,58.923,0.0,71.944,71.944,20.342,20.342,55.918
INST0109_N10_W19_D005,54.132,20.342,50.28,20.342,69.129,54.132,0.0,40.846,54.132,20.342,0.0,20.342,0.0,40.846,77.525,20.342,54.132,54.132,0.0,0.0,57.646
INST0109_N10_W19_P006,14.722,57.687,90.122,57.687,109.164,14.722,40.846,0.0,14.722,57.687,40.846,57.687,40.846,0.0,116.61,57.687,14.722,14.722,40.846,40.846,94.442
INST0109_N10_W19_D006,130.825,58.923,27.544,58.923,11.735,130.825,77.525,116.61,130.825,58.923,77.525,58.923,77.525,116.61,0.0,58.923,130.825,130.825,77.525,77.525,64.172
INST0109_N10_W19_P007,71.944,0.0,32.833,0.0,51.842,71.944,20.342,57.687,71.944,0.0,20.342,0.0,20.342,57.687,58.923,0.0,71.944,71.944,20.342,20.342,55.918
INST0109_N10_W19_D007,0.0,71.944,104.062,71.944,123.055,0.0,54.132,14.722,0.0,71.944,54.132,71.944,54.132,14.722,130.825,71.944,0.0,0.0,54.132,54.132,104.634
INST0109_N10_W19_P008,0.0,71.944,104.062,71.944,123.055,0.0,54.132,14.722,0.0,71.944,54.132,71.944,54.132,14.722,130.825,71.944,0.0,0.0,54.132,54.132,104.634
INST0109_N10_W19_D008,54.132,20.342,50.28,20.342,69.129,54.132,0.0,40.846,54.132,20.342,0.0,20.342,0.0,40.846,77.525,20.342,54.132,54.132,0.0,0.0,57.646
INST0109_N10_W19_P009,54.132,20.342,50.28,20.342,69.129,54.132,0.0,40.846,54.132,20.342,0.0,20.342,0.0,40.846,77.525,20.342,54.132,54.132,0.0,0.0,57.646
INST0109_N10_W19_D009,104.634,55.918,46.592,55.918,52.507,104.634,57.646,94.442,104.634,55.918,57.646,55.918,57.646,94.442,64.172,55.918,104.634,104.634,57.646,57.646,0.0
