,depot,INST0229_N20_W19_P000,INST0229_N20_W19_D000,INST0229_N20_W19_P001,INST0229_N20_W19_D001,INST0229_N20_W19_P002,INST0229_N20_W19_D002,INST0229_N20_W19_P003,INST0229_N20_W19_D003,INST0229_N20_W19_P004,INST0229_N20_W19_D004,INST0229_N20_W19_P005,INST0229_N20_W19_D005,INST0229_N20_W19_P006,INST0229_N20_W19_D006,INST0229_N20_W19_P007,INST0229_N20_W19_D007,INST0229_N20_W19_P008,INST0229_N20_W19_D008,INST0229_N20_W19_P009,INST0229_N20_W19_D009,INST0229_N20_W19_P010,INST0229_N20_W19_D010,INST0229_N20_W19_P011,INST0229_N20_W19_D011,INST0229_N20_W19_P012,INST0229_N20_W19_D012,INST0229_N20_W19_P013,INST0229_N20_W19_D013,INST0229_N20_W19_P014,INST0229_N20_W19_D014,INST0229_N20_W19_P015,INST0229_N20_W19_D015,INST0229_N20_W19_P016,INST0229_N20_W19_D016,INST0229_N20_W19_P017,INST0229_N20_W19_D017,INST0229_N20_W19_P018,INST0229_N20_W19_D018,INST0229_N20_W19_P019,INST0229_N20_W19_D019
depot,0.0,66.284,128.123,18.026,66.284,66.284,133.769,88.095,128.123,88.095,0.0,0.0,133.769,18.026,114.719,88.095,114.719,18.026,160.194,66.284,0.0,88.095,0.0,66.284,88.095,0.0,88.095,88.095,66.284,18.026,160.194,18.026,0.0,18.026,128.123,88.095,0.0,18.026,0.0,18.026,147.866
INST0229_N20_W19_P000,66.284,0.0,70.587,50.015,0.0,0.0,67.612,24.909,70.587,24.909,66.284,66.284,67.612,50.015,49.056,24.909,49.056,50.015,94.929,0.0,66.284,24.909,66.284,0.0,24.909,66.284,24.909,24.909,0.0,50.015,94.929,50.015,66.284,50.015,70.587,24.909,66.284,50.015,66.284,50.015,86.82
INST0229_N20_W19_D000,128.123,70.587,0.0,115.643,70.587,70.587,43.046,68.471,0.0,68.471,128.123,128.123,43.046,115.643,56.961,68.471,56.961,115.643,78.578,70.587,128.123,68.471,128.123,70.587,68.471,128.123,68.471,68.471,70.587,115.643,78.578,115.643,128.123,115.643,0.0,68.471,128.123,115.643,128.123,115.643,92.961
INST0229_N20_W19_P001,18.026,50.015,115.643,0.0,50.015,50.015,117.595,70.637,115.643,70.637,18.026,18.026,117.595,0.0,97.602,70.637,97.602,0.0,142.787,50.015,18.026,70.637,18.026,50.015,70.637,18.026,70.637,70.637,50.015,0.0,142.787,0.0,18.026,0.0,115.643,70.637,18.026,0.0,18.026,0.0,129.907
INST0229_N20_W19_D001,66.284,0.0,70.587,50.015,0.0,0.0,67.612,24.909,70.587,24.909,66.284,66.284,67.612,50.015,49.056,24.909,49.056,50.015,94.929,0.0,66.284,24.909,66.284,0.0,24.909,66.284,24.909,24.909,0.0,50.015,94.929,50.015,66.284,50.015,70.587,24.909,66.284,50.015,66.284,50.015,86.82
INST0229_N20_W19_P002,66.284,0.0,70.587,50.015,0.0,0.0,67.612,24.909,70.587,24.909,66.284,66.284,67.612,50.015,49.056,24.909,49.056,50.015,94.929,0.0,66.284,24.909,66.284,0.0,24.909,66.284,24.909,24.909,0.0,50.015,94.929,50.015,66.284,50.015,70.587,24.909,66.284,50.015,66.284,50.015,86.82
INST0229_N20_W19_D002,133.769,67.612,43.046,117.595,67.612,67.612,0.0,50.631,43.046,50.631,133.769,133.769,0.0,117.595,25.201,50.631,25.201,117.595,37.156,67.612,133.769,50.631,133.769,67.612,50.631,133.769,50.631,50.631,67.612,117.595,37.156,117.595,133.769,117.595,43.046,50.631,133.769,117.595,133.769,117.595,50.317
INST0229_N20_W19_P003,88.095,24.909,68.471,70.637,24.909,24.909,50.631,0.0,68.471,0.0,88.095,88.095,50.631,70.637,27.496,0.0,27.496,70.637,72.151,24.909,88.095,0.0,88.095,24.909,0.0,88.095,0.0,0.0,24.909,70.637,72.151,70.637,88.095,70.637,68.471,0.0,88.095,70.637,88.095,70.637,61.972
INST0229_N20_W19_D003,128.123,70.587,0.0,115.643,70.587,70.587,43.046,68.471,0.0,68.471,128.123,128.123,43.046,115.643,56.961,68.471,56.961,115.643,78.578,70.587,128.123,68.471,128.123,70.587,68.471,128.123,68.471,68.471,70.587,115.643,78.578,115.643,128.123,115.643,0.0,68.471,128.123,115.643,128.123,115.643,92.961
INST0229_N20_W19_P004,88.095,24.909,68.471,70.637,24.909,24.909,50.631,0.0,68.471,0.0,88.095,88.095,50.631,70.637,27.496,0.0,27.496,70.637,72.151,24.909,88.095,0.0,88.095,24.909,0.0,88.095,0.0,0.0,24.909,70.637,72.151,70.637,88.095,70.637,68.471,0.0,88.095,70.637,88.095,70.637,61.972
