,depot,INST0193_N18_W13_P000,INST0193_N18_W13_D000,INST0193_N18_W13_P001,INST0193_N18_W13_D001,INST0193_N18_W13_P002,INST0193_N18_W13_D002,INST0193_N18_W13_P003,INST0193_N18_W13_D003,INST0193_N18_W13_P004,INST0193_N18_W13_D004,INST0193_N18_W13_P005,INST0193_N18_W13_D005,INST0193_N18_W13_P006,INST0193_N18_W13_D006,INST0193_N18_W13_P007,INST0193_N18_W13_D007,INST0193_N18_W13_P008,INST0193_N18_W13_D008,INST0193_N18_W13_P009,INST0193_N18_W13_D009,INST0193_N18_W13_P010,INST0193_N18_W13_D010,INST0193_N18_W13_P011,INST0193_N18_W13_D011,INST0193_N18_W13_P012,INST0193_N18_W13_D012,INST0193_N18_W13_P013,INST0193_N18_W13_D013,INST0193_N18_W13_P014,INST0193_N18_W13_D014,INST0193_N18_W13_P015,INST0193_N18_W13_D015,INST0193_N18_W13_P016,INST0193_N18_W13_D016,INST0193_N18_W13_P017,INST0193_N18_W13_D017
depot,0.0,79.708,116.61,0.0,96.036,57.687,116.61,14.722,94.442,57.687,94.442,40.846,79.708,40.846,0.0,14.722,101.402,14.722,106.091,0.0,57.687,40.846,79.708,57.687,14.722,79.708,0.0,14.722,101.402,79.708,109.164,14.722,79.708,79.708,109.164,40.846,109.164
INST0193_N18_W13_P000,79.708,0.0,37.477,79.708,20.581,22.455,37.477,93.687,46.518,22.455,46.518,40.063,0.0,40.063,79.708,93.687,24.4,93.687,35.196,79.708,22.455,40.063,0.0,22.455,93.687,0.0,79.708,93.687,24.4,0.0,29.48,93.687,0.0,0.0,29.48,40.063,29.48
INST0193_N18_W13_D000,116.61,37.477,0.0,116.61,30.344,58.923,0.0,130.825,64.172,58.923,64.172,77.525,37.477,77.525,116.61,130.825,16.399,130.825,23.199,116.61,58.923,77.525,37.477,58.923,130.825,37.477,116.61,130.825,16.399,37.477,11.735,130.825,37.477,37.477,11.735,77.525,11.735
INST0193_N18_W13_P001,0.0,79.708,116.61,0.0,96.036,57.687,116.61,14.722,94.442,57.687,94.442,40.846,79.708,40.846,0.0,14.722,101.402,14.722,106.091,0.0,57.687,40.846,79.708,57.687,14.722,79.708,0.0,14.722,101.402,79.708,109.164,14.722,79.708,79.708,109.164,40.846,109.164
INST0193_N18_W13_D001,96.036,20.581,30.344,96.036,0.0,41.349,30.344,109.245,35.155,41.349,35.155,55.217,20.581,55.217,96.036,109.245,26.872,109.245,41.092,96.036,41.349,55.217,20.581,41.349,109.245,20.581,96.036,109.245,26.872,20.581,18.744,109.245,20.581,20.581,18.744,55.217,18.744
INST0193_N18_W13_P002,57.687,22.455,58.923,57.687,41.349,0.0,58.923,71.944,55.918,0.0,55.918,20.342,22.455,20.342,57.687,71.944,43.952,71.944,50.611,57.687,0.0,20.342,22.455,0.0,71.944,22.455,57.687,71.944,43.952,22.455,51.842,71.944,22.455,22.455,51.842,20.342,51.842
INST0193_N18_W13_D002,116.61,37.477,0.0,116.61,30.344,58.923,0.0,130.825,64.172,58.923,64.172,77.525,37.477,77.525,116.61,130.825,16.399,130.825,23.199,116.61,58.923,77.525,37.477,58.923,130.825,37.477,116.61,130.825,16.399,37.477,11.735,130.825,37.477,37.477,11.735,77.525,11.735
INST0193_N18_W13_P003,14.722,93.687,130.825,14.722,109.245,71.944,130.825,0.0,104.634,71.944,104.634,54.132,93.687,54.132,14.722,0.0,115.807,0.0,120.757,14.722,71.944,54.132,93.687,71.944,0.0,93.687,14.722,0.0,115.807,93.687,123.055,0.0,93.687,93.687,123.055,54.132,123.055
INST0193_N18_W13_D003,94.442,46.518,64.172,94.442,35.155,55.918,64.172,104.634,0.0,55.918,0.0,57.646,46.518,57.646,94.442,104.634,61.821,104.634,75.918,94.442,55.918,57.646,46.518,55.918,104.634,46.518,94.442,104.634,61.821,46.518,52.507,104.634,46.518,46.518,52.507,57.646,52.507
INST0193_N18_W13_P004,57.687,22.455,58.923,57.687,41.349,0.0,58.923,71.944,55.918,0.0,55.918,20.342,22.455,20.342,57.687,71.944,43.952,71.944,50.611,57.687,0.0,20.342,22.455,0.0,71.944,22.455,57.687,71.944,43.952,22.455,51.842,71.944,22.455,22.455,51.842,20.342,51.842
