,depot,INST0125_N12_S05_P000,INST0125_N12_S05_D000,INST0125_N12_S05_P001,INST0125_N12_S05_D001,INST0125_N12_S05_P002,INST0125_N12_S05_D002,INST0125_N12_S05_P003,INST0125_N12_S05_D003,INST0125_N12_S05_P004,INST0125_N12_S05_D004,INST0125_N12_S05_P005,INST0125_N12_S05_D005,INST0125_N12_S05_P006,INST0125_N12_S05_D006,INST0125_N12_S05_P007,INST0125_N12_S05_D007,INST0125_N12_S05_P008,INST0125_N12_S05_D008,INST0125_N12_S05_P009,INST0125_N12_S05_D009,INST0125_N12_S05_P010,INST0125_N12_S05_D010,INST0125_N12_S05_P011,INST0125_N12_S05_D011
depot,0.0,21.478,5.477,0.0,21.478,68.319,61.394,50.526,130.689,21.478,0.0,5.477,50.526,55.179,10.881,19.629,130.689,21.478,5.477,19.629,10.881,5.477,68.319,0.0,55.179
INST0125_N12_S05_P000,21.478,0.0,26.505,21.478,0.0,88.975,75.908,65.388,145.321,0.0,21.478,26.505,65.388,37.715,32.298,21.517,145.321,0.0,26.505,21.517,32.298,26.505,88.975,21.478,37.715
INST0125_N12_S05_D000,5.477,26.505,0.0,5.477,26.505,62.898,60.745,49.927,129.526,26.505,5.477,0.0,49.927,58.521,7.008,24.239,129.526,26.505,0.0,24.239,7.008,0.0,62.898,5.477,58.521
INST0125_N12_S05_P001,0.0,21.478,5.477,0.0,21.478,68.319,61.394,50.526,130.689,21.478,0.0,5.477,50.526,55.179,10.881,19.629,130.689,21.478,5.477,19.629,10.881,5.477,68.319,0.0,55.179
INST0125_N12_S05_D001,21.478,0.0,26.505,21.478,0.0,88.975,75.908,65.388,145.321,0.0,21.478,26.505,65.388,37.715,32.298,21.517,145.321,0.0,26.505,21.517,32.298,26.505,88.975,21.478,37.715
INST0125_N12_S05_P002,68.319,88.975,62.898,68.319,88.975,0.0,77.092,71.865,123.443,88.975,68.319,62.898,71.865,113.511,58.699,83.416,123.443,88.975,62.898,83.416,58.699,62.898,0.0,68.319,113.511
INST0125_N12_S05_D002,61.394,75.908,60.745,61.394,75.908,77.092,0.0,10.867,69.589,75.908,61.394,60.745,10.867,113.587,54.565,55.171,69.589,75.908,60.745,55.171,54.565,60.745,77.092,61.394,113.587
INST0125_N12_S05_P003,50.526,65.388,49.927,50.526,65.388,71.865,10.867,0.0,80.368,65.388,50.526,49.927,0.0,103.002,43.838,45.002,80.368,65.388,49.927,45.002,43.838,49.927,71.865,50.526,103.002
INST0125_N12_S05_D003,130.689,145.321,129.526,130.689,145.321,123.443,69.589,80.368,0.0,145.321,130.689,129.526,80.368,183.035,122.952,124.222,0.0,145.321,129.526,124.222,122.952,129.526,123.443,130.689,183.035
INST0125_N12_S05_P004,21.478,0.0,26.505,21.478,0.0,88.975,75.908,65.388,145.321,0.0,21.478,26.505,65.388,37.715,32.298,21.517,145.321,0.0,26.505,21.517,32.298,26.505,88.975,21.478,37.715
INST0125_N12_S05_D004,0.0,21.478,5.477,0.0,21.478,68.319,61.394,50.526,130.689,21.478,0.0,5.477,50.526,55.179,10.881,19.629,130.689,21.478,5.477,19.629,10.881,5.477,68.319,0.0,55.179
INST0125_N12_S05_P005,5.477,26.505,0.0,5.477,26.505,62.898,60.745,49.927,129.526,26.505,5.477,0.0,49.927,58.521,7.008,24.239,129.526,26.505,0.0,24.239,7.008,0.0,62.898,5.477,58.521
INST0125_N12_S05_D005,50.526,65.388,49.927,50.526,65.388,71.865,10.867,0.0,80.368,65.388,50.526,49.927,0.0,103.002,43.838,45.002,80.368,65.388,49.927,45.002,43.838,49.927,71.865,50.526,103.002
INST0125_N12_S05_P006,55.179,37.715,58.521,55.179,37.715,113.511,113.587,103.002,183.035,37.715,55.179,58.521,103.002,0.0,65.452,59.019,183.035,37.715,58.521,59.019,65.452,58.521,113.511,55.179,0.0
