,depot,INST0290_N25_S20_P000,INST0290_N25_S20_D000,INST0290_N25_S20_P001,INST0290_N25_S20_D001,INST0290_N25_S20_P002,INST0290_N25_S20_D002,INST0290_N25_S20_P003,INST0290_N25_S20_D003,INST0290_N25_S20_P004,INST0290_N25_S20_D004,INST0290_N25_S20_P005,INST0290_N25_S20_D005,INST0290_N25_S20_P006,INST0290_N25_S20_D006,INST0290_N25_S20_P007,INST0290_N25_S20_D007,INST0290_N25_S20_P008,INST0290_N25_S20_D008,INST0290_N25_S20_P009,INST0290_N25_S20_D009,INST0290_N25_S20_P010,INST0290_N25_S20_D010,INST0290_N25_S20_P011,INST0290_N25_S20_D011,INST0290_N25_S20_P012,INST0290_N25_S20_D012,INST0290_N25_S20_P013,INST0290_N25_S20_D013,INST0290_N25_S20_P014,INST0290_N25_S20_D014,INST0290_N25_S20_P015,INST0290_N25_S20_D015,INST0290_N25_S20_P016,INST0290_N25_S20_D016,INST0290_N25_S20_P017,INST0290_N25_S20_D017,INST0290_N25_S20_P018,INST0290_N25_S20_D018,INST0290_N25_S20_P019,INST0290_N25_S20_D019,INST0290_N25_S20_P020,INST0290_N25_S20_D020,INST0290_N25_S20_P021,INST0290_N25_S20_D021,INST0290_N25_S20_P022,INST0290_N25_S20_D022,INST0290_N25_S20_P023,INST0290_N25_S20_D023,INST0290_N25_S20_P024,INST0290_N25_S20_D024
depot,0.0,44.645,75.176,0.0,61.869,0.0,26.3,61.869,75.176,13.324,44.645,61.869,75.176,0.0,61.869,61.869,83.656,83.656,26.3,0.0,61.869,6.707,26.3,83.656,13.324,6.707,83.656,6.707,75.176,6.707,44.645,44.645,118.85,0.0,83.656,6.707,118.85,61.869,6.707,67.566,83.656,61.869,67.566,44.645,67.566,6.707,26.3,13.324,61.869,13.324,160.028
INST0290_N25_S20_P000,44.645,0.0,83.129,44.645,72.248,44.645,30.556,72.248,83.129,54.293,0.0,72.248,83.129,44.645,72.248,72.248,125.848,125.848,30.556,44.645,72.248,51.136,30.556,125.848,54.293,51.136,125.848,51.136,83.129,51.136,0.0,0.0,127.137,44.645,125.848,51.136,127.137,72.248,51.136,67.228,125.848,72.248,67.228,0.0,67.228,51.136,30.556,54.293,72.248,54.293,164.482
INST0290_N25_S20_D000,75.176,83.129,0.0,75.176,13.307,75.176,92.948,13.307,0.0,66.815,83.129,13.307,0.0,75.176,13.307,13.307,94.398,94.398,92.948,75.176,13.307,74.382,92.948,94.398,66.815,74.382,94.398,74.382,0.0,74.382,83.129,83.129,44.98,75.176,94.398,74.382,44.98,13.307,74.382,139.086,94.398,13.307,139.086,83.129,139.086,74.382,92.948,66.815,13.307,66.815,85.211
INST0290_N25_S20_P001,0.0,44.645,75.176,0.0,61.869,0.0,26.3,61.869,75.176,13.324,44.645,61.869,75.176,0.0,61.869,61.869,83.656,83.656,26.3,0.0,61.869,6.707,26.3,83.656,13.324,6.707,83.656,6.707,75.176,6.707,44.645,44.645,118.85,0.0,83.656,6.707,118.85,61.869,6.707,67.566,83.656,61.869,67.566,44.645,67.566,6.707,26.3,13.324,61.869,13.324,160.028
INST0290_N25_S20_D001,61.869,72.248,13.307,61.869,0.0,61.869,80.067,0.0,13.307,53.679,72.248,0.0,13.307,61.869,0.0,0.0,87.998,87.998,80.067,61.869,0.0,61.135,80.067,87.998,53.679,61.135,87.998,61.135,13.307,61.135,72.248,72.248,57.803,61.869,87.998,61.135,57.803,0.0,61.135,126.125,87.998,0.0,126.125,72.248,126.125,61.135,80.067,53.679,0.0,53.679,98.41
INST0290_N25_S20_P002,0.0,44.645,75.176,0.0,61.869,0.0,26.3,61.869,75.176,13.324,44.645,61.869,75.176,0.0,61.869,61.869,83.656,83.656,26.3,0.0,61.869,6.707,26.3,83.656,13.324,6.707,83.656,6.707,75.176,6.707,44.645,44.645,118.85,0.0,83.656,6.707,118.85,61.869,6.707,67.566,83.656,61.869,67.566,44.645,67.566,6.707,26.3,13.324,61.869,13.324,160.028
INST0290_N25_S20_D002,26.3,30.556,92.948,26.3,80.067,26.3,0.0,80.067,92.948,39.549,30.556,80.067,92.948,26.3,80.067,80.067,108.949,108.949,0.0,26.3,80.067,32.455,0.0,108.949,39.549,32.455,108.949,32.455,92.948,32.455,30.556,30.556,137.848,26.3,108.949,32.455,137.848,80.067,32.455,46.181,108.949,80.067,46.181,30.556,46.181,32.455,0.0,39.549,80.067,39.549,177.944
INST0290_N25_S20_P003,61.869,72.248,13.307,61.869,0.0,61.869,80.067,0.0,13.307,53.679,72.248,0.0,13.307,61.869,0.0,0.0,87.998,87.998,80.067,61.869,0.0,61.135,80.067,87.998,53.679,61.135,87.998,61.135,13.307,61.135,72.248,72.248,57.803,61.869,87.998,61.135,57.803,0.0,61.135,126.125,87.998,0.0,126.125,72.248,126.125,61.135,80.067,53.679,0.0,53.679,98.41
INST0290_N25_S20_D003,75.176,83.129,0.0,75.176,13.307,75.176,92.948,13.307,0.0,66.815,83.129,13.307,0.0,75.176,13.307,13.307,94.398,94.398,92.948,75.176,13.307,74.382,92.948,94.398,66.815,74.382,94.398,74.382,0.0,74.382,83.129,83.129,44.98,75.176,94.398,74.382,44.98,13.307,74.382,139.086,94.398,13.307,139.086,83.129,139.086,74.382,92.948,66.815,13.307,66.815,85.211
INST0290_N25_S20_P004,13.324,54.293,66.815,13.324,53.679,13.324,39.549,53.679,66.815,0.0,54.293,53.679,66.815,13.324,53.679,53.679,71.877,71.877,39.549,13.324,53.679,8.581,39.549,71.877,0.0,8.581,71.877,8.581,66.815,8.581,54.293,54.293,109.068,13.324,71.877,8.581,109.068,53.679,8.581,80.145,71.877,53.679,80.145,54.293,80.145,8.581,39.549,0.0,53.679,0.0,150.553
