,depot,INST0098_N10_S08_P000,INST0098_N10_S08_D000,INST0098_N10_S08_P001,INST0098_N10_S08_D001,INST0098_N10_S08_P002,INST0098_N10_S08_D002,INST0098_N10_S08_P003,INST0098_N10_S08_D003,INST0098_N10_S08_P004,INST0098_N10_S08_D004,INST0098_N10_S08_P005,INST0098_N10_S08_D005,INST0098_N10_S08_P006,INST0098_N10_S08_D006,INST0098_N10_S08_P007,INST0098_N10_S08_D007,INST0098_N10_S08_P008,INST0098_N10_S08_D008,INST0098_N10_S08_P009,INST0098_N10_S08_D009
depot,0.0,26.505,60.745,26.505,62.898,7.008,41.761,7.008,5.477,49.927,24.239,60.745,0.0,24.239,95.708,41.761,62.898,60.745,95.708,49.927,41.761
INST0098_N10_S08_P000,26.505,0.0,75.908,0.0,88.975,32.298,24.954,32.298,21.478,65.388,21.517,75.908,26.505,21.517,112.576,24.954,88.975,75.908,112.576,65.388,24.954
INST0098_N10_S08_D000,60.745,75.908,0.0,75.908,77.092,54.565,67.889,54.565,61.394,10.867,55.171,0.0,60.745,55.171,36.733,67.889,77.092,0.0,36.733,10.867,67.889
INST0098_N10_S08_P001,26.505,0.0,75.908,0.0,88.975,32.298,24.954,32.298,21.478,65.388,21.517,75.908,26.505,21.517,112.576,24.954,88.975,75.908,112.576,65.388,24.954
INST0098_N10_S08_D001,62.898,88.975,77.092,88.975,0.0,58.699,102.776,58.699,68.319,71.865,83.416,77.092,62.898,83.416,93.449,102.776,0.0,77.092,93.449,71.865,102.776
INST0098_N10_S08_P002,7.008,32.298,54.565,32.298,58.699,0.0,44.339,0.0,10.881,43.838,25.439,54.565,7.008,25.439,89.072,44.339,58.699,54.565,89.072,43.838,44.339
INST0098_N10_S08_D002,41.761,24.954,67.889,24.954,102.776,44.339,0.0,44.339,36.46,59.003,19.488,67.889,41.761,19.488,103.829,0.0,102.776,67.889,103.829,59.003,0.0
INST0098_N10_S08_P003,7.008,32.298,54.565,32.298,58.699,0.0,44.339,0.0,10.881,43.838,25.439,54.565,7.008,25.439,89.072,44.339,58.699,54.565,89.072,43.838,44.339
INST0098_N10_S08_D003,5.477,21.478,61.394,21.478,68.319,10.881,36.46,10.881,0.0,50.526,19.629,61.394,5.477,19.629,97.061,36.46,68.319,61.394,97.061,50.526,36.46
INST0098_N10_S08_P004,49.927,65.388,10.867,65.388,71.865,43.838,59.003,43.838,50.526,0.0,45.002,10.867,49.927,45.002,47.206,59.003,71.865,10.867,47.206,0.0,59.003
INST0098_N10_S08_D004,24.239,21.517,55.171,21.517,83.416,25.439,19.488,25.439,19.629,45.002,0.0,55.171,24.239,0.0,91.902,19.488,83.416,55.171,91.902,45.002,19.488
INST0098_N10_S08_P005,60.745,75.908,0.0,75.908,77.092,54.565,67.889,54.565,61.394,10.867,55.171,0.0,60.745,55.171,36.733,67.889,77.092,0.0,36.733,10.867,67.889
INST0098_N10_S08_D005,0.0,26.505,60.745,26.505,62.898,7.008,41.761,7.008,5.477,49.927,24.239,60.745,0.0,24.239,95.708,41.761,62.898,60.745,95.708,49.927,41.761
INST0098_N10_S08_P006,24.239,21.517,55.171,21.517,83.416,25.439,19.488,25.439,19.629,45.002,0.0,55.171,24.239,0.0,91.902,19.488,83.416,55.171,91.902,45.002,19.488
INST0098_N10_S08_D006,95.708,112.576,36.733,112.576,93.449,89.072,103.829,89.072,97.061,47.206,91.902,36.733,95.708,91.902,0.0,103.829,93.449,36.733,0.0,47.206,103.829
INST0098_N10_S08_P007,41.761,24.954,67.889,24.954,102.776,44.339,0.0,44.339,36.46,59.003,19.488,67.889,41.761,19.488,103.829,0.0,102.776,67.889,103.829,59.003,0.0
INST0098_N10_S08_D007,62.898,88.975,77.092,88.975,0.0,58.699,102.776,58.699,68.319,71.865,83.416,77.092,62.898,83.416,93.449,102.776,0.0,77.092,93.449,71.865,102.776
INST0098_N10_S08_P008,60.745,75.908,0.0,75.908,77.092,54.565,67.889,54.565,61.394,10.867,55.171,0.0,60.745,55.171,36.733,67.889,77.092,0.0,36.733,10.867,67.889
INST0098_N10_S08_D008,95.708,112.576,36.733,112.576,93.449,89.072,103.829,89.072,97.061,47.206,91.902,36.733,95.708,91.902,0.0,103.829,93.449,36.733,0.0,47.206,103.829
INST0098_N10_S08_P009,49.927,65.388,10.867,65.388,71.865,43.838,59.003,43.838,50.526,0.0,45.002,10.867,49.927,45.002,47.206,59.003,71.865,10.867,47.206,0.0,59.003
INST0098_N10_S08_D009,41.761,24.954,67.889,24.954,102.776,44.339,0.0,44.339,36.46,59.003,19.488,67.889,41.761,19.488,103.829,0.0,102.776,67.889,103.829,59.003,0.0
