,depot,INST0299_N25_S29_P000,INST0299_N25_S29_D000,INST0299_N25_S29_P001,INST0299_N25_S29_D001,INST0299_N25_S29_P002,INST0299_N25_S29_D002,INST0299_N25_S29_P003,INST0299_N25_S29_D003,INST0299_N25_S29_P004,INST0299_N25_S29_D004,INST0299_N25_S29_P005,INST0299_N25_S29_D005,INST0299_N25_S29_P006,INST0299_N25_S29_D006,INST0299_N25_S29_P007,INST0299_N25_S29_D007,INST0299_N25_S29_P008,INST0299_N25_S29_D008,INST0299_N25_S29_P009,INST0299_N25_S29_D009,INST0299_N25_S29_P010,INST0299_N25_S29_D010,INST0299_N25_S29_P011,INST0299_N25_S29_D011,INST0299_N25_S29_P012,INST0299_N25_S29_D012,INST0299_N25_S29_P013,INST0299_N25_S29_D013,INST0299_N25_S29_P014,INST0299_N25_S29_D014,INST0299_N25_S29_P015,INST0299_N25_S29_D015,INST0299_N25_S29_P016,INST0299_N25_S29_D016,INST0299_N25_S29_P017,INST0299_N25_S29_D017,INST0299_N25_S29_P018,INST0299_N25_S29_D018,INST0299_N25_S29_P019,INST0299_N25_S29_D019,INST0299_N25_S29_P020,INST0299_N25_S29_D020,INST0299_N25_S29_P021,INST0299_N25_S29_D021,INST0299_N25_S29_P022,INST0299_N25_S29_D022,INST0299_N25_S29_P023,INST0299_N25_S29_D023,INST0299_N25_S29_P024,INST0299_N25_S29_D024
depot,0.0,80.145,0.0,53.679,54.293,80.145,8.581,53.679,8.581,13.324,39.549,54.293,109.068,54.293,53.679,54.293,53.679,66.815,54.293,80.145,13.324,13.324,80.145,39.549,80.145,31.149,80.145,13.324,109.068,80.145,39.549,31.149,39.549,80.145,54.293,71.877,53.679,0.0,109.068,39.549,109.068,39.549,66.815,66.815,71.877,66.815,71.877,0.0,109.068,80.145,0.0
INST0299_N25_S29_P000,80.145,0.0,80.145,126.125,67.228,0.0,71.658,126.125,71.658,67.566,46.181,67.228,183.928,67.228,126.125,67.228,126.125,139.086,67.228,0.0,67.566,67.566,0.0,46.181,0.0,72.268,0.0,67.566,183.928,0.0,46.181,72.268,46.181,0.0,67.228,138.993,126.125,80.145,183.928,46.181,183.928,46.181,139.086,139.086,138.993,139.086,138.993,80.145,183.928,0.0,80.145
INST0299_N25_S29_D000,0.0,80.145,0.0,53.679,54.293,80.145,8.581,53.679,8.581,13.324,39.549,54.293,109.068,54.293,53.679,54.293,53.679,66.815,54.293,80.145,13.324,13.324,80.145,39.549,80.145,31.149,80.145,13.324,109.068,80.145,39.549,31.149,39.549,80.145,54.293,71.877,53.679,0.0,109.068,39.549,109.068,39.549,66.815,66.815,71.877,66.815,71.877,0.0,109.068,80.145,0.0
INST0299_N25_S29_P001,53.679,126.125,53.679,0.0,72.248,126.125,61.135,0.0,61.135,61.869,80.067,72.248,57.803,72.248,0.0,72.248,0.0,13.307,72.248,126.125,61.869,61.869,126.125,80.067,126.125,55.105,126.125,61.869,57.803,126.125,80.067,55.105,80.067,126.125,72.248,87.998,0.0,53.679,57.803,80.067,57.803,80.067,13.307,13.307,87.998,13.307,87.998,53.679,57.803,126.125,53.679
INST0299_N25_S29_D001,54.293,67.228,54.293,72.248,0.0,67.228,51.136,72.248,51.136,44.645,30.556,0.0,127.137,0.0,72.248,0.0,72.248,83.129,0.0,67.228,44.645,44.645,67.228,30.556,67.228,23.863,67.228,44.645,127.137,67.228,30.556,23.863,30.556,67.228,0.0,125.848,72.248,54.293,127.137,30.556,127.137,30.556,83.129,83.129,125.848,83.129,125.848,54.293,127.137,67.228,54.293
INST0299_N25_S29_P002,80.145,0.0,80.145,126.125,67.228,0.0,71.658,126.125,71.658,67.566,46.181,67.228,183.928,67.228,126.125,67.228,126.125,139.086,67.228,0.0,67.566,67.566,0.0,46.181,0.0,72.268,0.0,67.566,183.928,0.0,46.181,72.268,46.181,0.0,67.228,138.993,126.125,80.145,183.928,46.181,183.928,46.181,139.086,139.086,138.993,139.086,138.993,80.145,183.928,0.0,80.145
INST0299_N25_S29_D002,8.581,71.658,8.581,61.135,51.136,71.658,0.0,61.135,0.0,6.707,32.455,51.136,117.194,51.136,61.135,51.136,61.135,74.382,51.136,71.658,6.707,6.707,71.658,32.455,71.658,29.68,71.658,6.707,117.194,71.658,32.455,29.68,32.455,71.658,51.136,77.018,61.135,8.581,117.194,32.455,117.194,32.455,74.382,74.382,77.018,74.382,77.018,8.581,117.194,71.658,8.581
INST0299_N25_S29_P003,53.679,126.125,53.679,0.0,72.248,126.125,61.135,0.0,61.135,61.869,80.067,72.248,57.803,72.248,0.0,72.248,0.0,13.307,72.248,126.125,61.869,61.869,126.125,80.067,126.125,55.105,126.125,61.869,57.803,126.125,80.067,55.105,80.067,126.125,72.248,87.998,0.0,53.679,57.803,80.067,57.803,80.067,13.307,13.307,87.998,13.307,87.998,53.679,57.803,126.125,53.679
INST0299_N25_S29_D003,8.581,71.658,8.581,61.135,51.136,71.658,0.0,61.135,0.0,6.707,32.455,51.136,117.194,51.136,61.135,51.136,61.135,74.382,51.136,71.658,6.707,6.707,71.658,32.455,71.658,29.68,71.658,6.707,117.194,71.658,32.455,29.68,32.455,71.658,51.136,77.018,61.135,8.581,117.194,32.455,117.194,32.455,74.382,74.382,77.018,74.382,77.018,8.581,117.194,71.658,8.581
INST0299_N25_S29_P004,13.324,67.566,13.324,61.869,44.645,67.566,6.707,61.869,6.707,0.0,26.3,44.645,118.85,44.645,61.869,44.645,61.869,75.176,44.645,67.566,0.0,0.0,67.566,26.3,67.566,24.036,67.566,0.0,118.85,67.566,26.3,24.036,26.3,67.566,44.645,83.656,61.869,13.324,118.85,26.3,118.85,26.3,75.176,75.176,83.656,75.176,83.656,13.324,118.85,67.566,13.324
