,depot,INST0099_N10_N09_P000,INST0099_N10_N09_D000,INST0099_N10_N09_P001,INST0099_N10_N09_D001,INST0099_N10_N09_P002,INST0099_N10_N09_D002,INST0099_N10_N09_P003,INST0099_N10_N09_D003,INST0099_N10_N09_P004,INST0099_N10_N09_D004,INST0099_N10_N09_P005,INST0099_N10_N09_D005,INST0099_N10_N09_P006,INST0099_N10_N09_D006,INST0099_N10_N09_P007,INST0099_N10_N09_D007,INST0099_N10_N09_P008,INST0099_N10_N09_D008,INST0099_N10_N09_P009,INST0099_N10_N09_D009
depot,0.0,27.111,0.0,48.052,46.06,46.06,35.653,0.0,93.371,34.294,28.616,46.06,34.294,35.653,27.111,48.052,122.247,0.0,46.06,0.0,27.111
INST0099_N10_N09_P000,27.111,0.0,27.111,26.126,20.176,20.176,18.283,27.111,71.779,7.201,17.254,20.176,7.201,18.283,0.0,26.126,95.136,27.111,20.176,27.111,0.0
INST0099_N10_N09_D000,0.0,27.111,0.0,48.052,46.06,46.06,35.653,0.0,93.371,34.294,28.616,46.06,34.294,35.653,27.111,48.052,122.247,0.0,46.06,0.0,27.111
INST0099_N10_N09_P001,48.052,26.126,48.052,0.0,11.436,11.436,40.266,48.052,46.019,21.8,20.683,11.436,21.8,40.266,26.126,0.0,81.189,48.052,11.436,48.052,26.126
INST0099_N10_N09_D001,46.06,20.176,46.06,11.436,0.0,0.0,30.471,46.06,52.8,13.759,23.353,0.0,13.759,30.471,20.176,11.436,77.555,46.06,0.0,46.06,20.176
INST0099_N10_N09_P002,46.06,20.176,46.06,11.436,0.0,0.0,30.471,46.06,52.8,13.759,23.353,0.0,13.759,30.471,20.176,11.436,77.555,46.06,0.0,46.06,20.176
INST0099_N10_N09_D002,35.653,18.283,35.653,40.266,30.471,30.471,0.0,35.653,82.833,18.791,35.534,30.471,18.791,0.0,18.283,40.266,93.214,35.653,30.471,35.653,18.283
INST0099_N10_N09_P003,0.0,27.111,0.0,48.052,46.06,46.06,35.653,0.0,93.371,34.294,28.616,46.06,34.294,35.653,27.111,48.052,122.247,0.0,46.06,0.0,27.111
INST0099_N10_N09_D003,93.371,71.779,93.371,46.019,52.8,52.8,82.833,93.371,0.0,66.32,64.86,52.8,66.32,82.833,71.779,46.019,65.084,93.371,52.8,93.371,71.779
INST0099_N10_N09_P004,34.294,7.201,34.294,21.8,13.759,13.759,18.791,34.294,66.32,0.0,19.671,13.759,0.0,18.791,7.201,21.8,87.958,34.294,13.759,34.294,7.201
INST0099_N10_N09_D004,28.616,17.254,28.616,20.683,23.353,23.353,35.534,28.616,64.86,19.671,0.0,23.353,19.671,35.534,17.254,20.683,100.436,28.616,23.353,28.616,17.254
INST0099_N10_N09_P005,46.06,20.176,46.06,11.436,0.0,0.0,30.471,46.06,52.8,13.759,23.353,0.0,13.759,30.471,20.176,11.436,77.555,46.06,0.0,46.06,20.176
INST0099_N10_N09_D005,34.294,7.201,34.294,21.8,13.759,13.759,18.791,34.294,66.32,0.0,19.671,13.759,0.0,18.791,7.201,21.8,87.958,34.294,13.759,34.294,7.201
INST0099_N10_N09_P006,35.653,18.283,35.653,40.266,30.471,30.471,0.0,35.653,82.833,18.791,35.534,30.471,18.791,0.0,18.283,40.266,93.214,35.653,30.471,35.653,18.283
INST0099_N10_N09_D006,27.111,0.0,27.111,26.126,20.176,20.176,18.283,27.111,71.779,7.201,17.254,20.176,7.201,18.283,0.0,26.126,95.136,27.111,20.176,27.111,0.0
INST0099_N10_N09_P007,48.052,26.126,48.052,0.0,11.436,11.436,40.266,48.052,46.019,21.8,20.683,11.436,21.8,40.266,26.126,0.0,81.189,48.052,11.436,48.052,26.126
INST0099_N10_N09_D007,122.247,95.136,122.247,81.189,77.555,77.555,93.214,122.247,65.084,87.958,100.436,77.555,87.958,93.214,95.136,81.189,0.0,122.247,77.555,122.247,95.136
INST0099_N10_N09_P008,0.0,27.111,0.0,48.052,46.06,46.06,35.653,0.0,93.371,34.294,28.616,46.06,34.294,35.653,27.111,48.052,122.247,0.0,46.06,0.0,27.111
INST0099_N10_N09_D008,46.06,20.176,46.06,11.436,0.0,0.0,30.471,46.06,52.8,13.759,23.353,0.0,13.759,30.471,20.176,11.436,77.555,46.06,0.0,46.06,20.176
INST0099_N10_N09_P009,0.0,27.111,0.0,48.052,46.06,46.06,35.653,0.0,93.371,34.294,28.616,46.06,34.294,35.653,27.111,48.052,122.247,0.0,46.06,0.0,27.111
INST0099_N10_N09_D009,27.111,0.0,27.111,26.126,20.176,20.176,18.283,27.111,71.779,7.201,17.254,20.176,7.201,18.283,0.0,26.126,95.136,27.111,20.176,27.111,0.0
