,depot,INST0128_N12_S08_P000,INST0128_N12_S08_D000,INST0128_N12_S08_P001,INST0128_N12_S08_D001,INST0128_N12_S08_P002,INST0128_N12_S08_D002,INST0128_N12_S08_P003,INST0128_N12_S08_D003,INST0128_N12_S08_P004,INST0128_N12_S08_D004,INST0128_N12_S08_P005,INST0128_N12_S08_D005,INST0128_N12_S08_P006,INST0128_N12_S08_D006,INST0128_N12_S08_P007,INST0128_N12_S08_D007,INST0128_N12_S08_P008,INST0128_N12_S08_D008,INST0128_N12_S08_P009,INST0128_N12_S08_D009,INST0128_N12_S08_P010,INST0128_N12_S08_D010,INST0128_N12_S08_P011,INST0128_N12_S08_D011
depot,0.0,77.018,8.581,6.707,61.135,8.581,158.604,6.707,117.194,74.382,117.194,74.382,8.581,32.455,0.0,6.707,29.68,74.382,29.68,29.68,51.136,77.018,117.194,71.658,77.018
INST0128_N12_S08_P000,77.018,0.0,71.877,83.656,87.998,71.877,151.155,83.656,114.428,94.398,114.428,94.398,71.877,108.949,77.018,83.656,102.142,94.398,102.142,102.142,125.848,0.0,114.428,138.993,0.0
INST0128_N12_S08_D000,8.581,71.877,0.0,13.324,53.679,0.0,150.553,13.324,109.068,66.815,109.068,66.815,0.0,39.549,8.581,13.324,31.149,66.815,31.149,31.149,54.293,71.877,109.068,80.145,71.877
INST0128_N12_S08_P001,6.707,83.656,13.324,0.0,61.869,13.324,160.028,0.0,118.85,75.176,118.85,75.176,13.324,26.3,6.707,0.0,24.036,75.176,24.036,24.036,44.645,83.656,118.85,67.566,83.656
INST0128_N12_S08_D001,61.135,87.998,53.679,61.869,0.0,53.679,98.41,61.869,57.803,13.307,57.803,13.307,53.679,80.067,61.135,61.869,55.105,13.307,55.105,55.105,72.248,87.998,57.803,126.125,87.998
INST0128_N12_S08_P002,8.581,71.877,0.0,13.324,53.679,0.0,150.553,13.324,109.068,66.815,109.068,66.815,0.0,39.549,8.581,13.324,31.149,66.815,31.149,31.149,54.293,71.877,109.068,80.145,71.877
INST0128_N12_S08_D002,158.604,151.155,150.553,160.028,98.41,150.553,0.0,160.028,41.594,85.211,41.594,85.211,150.553,177.944,158.604,160.028,152.108,85.211,152.108,152.108,164.482,151.155,41.594,224.124,151.155
INST0128_N12_S08_P003,6.707,83.656,13.324,0.0,61.869,13.324,160.028,0.0,118.85,75.176,118.85,75.176,13.324,26.3,6.707,0.0,24.036,75.176,24.036,24.036,44.645,83.656,118.85,67.566,83.656
INST0128_N12_S08_D003,117.194,114.428,109.068,118.85,57.803,109.068,41.594,118.85,0.0,44.98,0.0,44.98,109.068,137.848,117.194,118.85,112.533,44.98,112.533,112.533,127.137,114.428,0.0,183.928,114.428
INST0128_N12_S08_P004,74.382,94.398,66.815,75.176,13.307,66.815,85.211,75.176,44.98,0.0,44.98,0.0,66.815,92.948,74.382,75.176,67.557,0.0,67.557,67.557,83.129,94.398,44.98,139.086,94.398
INST0128_N12_S08_D004,117.194,114.428,109.068,118.85,57.803,109.068,41.594,118.85,0.0,44.98,0.0,44.98,109.068,137.848,117.194,118.85,112.533,44.98,112.533,112.533,127.137,114.428,0.0,183.928,114.428
INST0128_N12_S08_P005,74.382,94.398,66.815,75.176,13.307,66.815,85.211,75.176,44.98,0.0,44.98,0.0,66.815,92.948,74.382,75.176,67.557,0.0,67.557,67.557,83.129,94.398,44.98,139.086,94.398
INST0128_N12_S08_D005,8.581,71.877,0.0,13.324,53.679,0.0,150.553,13.324,109.068,66.815,109.068,66.815,0.0,39.549,8.581,13.324,31.149,66.815,31.149,31.149,54.293,71.877,109.068,80.145,71.877
INST0128_N12_S08_P006,32.455,108.949,39.549,26.3,80.067,39.549,177.944,26.3,137.848,92.948,137.848,92.948,39.549,0.0,32.455,26.3,26.348,92.948,26.348,26.348,30.556,108.949,137.848,46.181,108.949
INST0128_N12_S08_D006,0.0,77.018,8.581,6.707,61.135,8.581,158.604,6.707,117.194,74.382,117.194,74.382,8.581,32.455,0.0,6.707,29.68,74.382,29.68,29.68,51.136,77.018,117.194,71.658,77.018
INST0128_N12_S08_P007,6.707,83.656,13.324,0.0,61.869,13.324,160.028,0.0,118.85,75.176,118.85,75.176,13.324,26.3,6.707,0.0,24.036,75.176,24.036,24.036,44.645,83.656,118.85,67.566,83.656
INST0128_N12_S08_D007,29.68,102.142,31.149,24.036,55.105,31.149,152.108,24.036,112.533,67.557,112.533,67.557,31.149,26.348,29.68,24.036,0.0,67.557,0.0,0.0,23.863,102.142,112.533,72.268,102.142
INST0128_N12_S08_P008,74.382,94.398,66.815,75.176,13.307,66.815,85.211,75.176,44.98,0.0,44.98,0.0,66.815,92.948,74.382,75.176,67.557,0.0,67.557,67.557,83.129,94.398,44.98,139.086,94.398
INST0128_N12_S08_D008,29.68,102.142,31.149,24.036,55.105,31.149,152.108,24.036,112.533,67.557,112.533,67.557,31.149,26.348,29.68,24.036,0.0,67.557,0.0,0.0,23.863,102.142,112.533,72.268,102.142
INST0128_N12_S08_P009,29.68,102.142,31.149,24.036,55.105,31.149,152.108,24.036,112.533,67.557,112.533,67.557,31.149,26.348,29.68,24.036,0.0,67.557,0.0,0.0,23.863,102.142,112.533,72.268,102.142
INST0128_N12_S08_D009,51.136,125.848,54.293,44.645,72.248,54.293,164.482,44.645,127.137,83.129,127.137,83.129,54.293,30.556,51.136,44.645,23.863,83.129,23.863,23.863,0.0,125.848,127.137,67.228,125.848
INST0128_N12_S08_P010,77.018,0.0,71.877,83.656,87.998,71.877,151.155,83.656,114.428,94.398,114.428,94.398,71.877,108.949,77.018,83.656,102.142,94.398,102.142,102.142,125.848,0.0,114.428,138.993,0.0
INST0128_N12_S08_D010,117.194,114.428,109.068,118.85,57.803,109.068,41.594,118.85,0.0,44.98,0.0,44.98,109.068,137.848,117.194,118.85,112.533,44.98,112.533,112.533,127.137,114.428,0.0,183.928,114.428
INST0128_N12_S08_P011,71.658,138.993,80.145,67.566,126.125,80.145,224.124,67.566,183.928,139.086,183.928,139.086,80.145,46.181,71.658,67.566,72.268,139.086,72.268,72.268,67.228,138.993,183.928,0.0,138.993
INST0128_N12_S08_D011,77.018,0.0,71.877,83.656,87.998,71.877,151.155,83.656,114.428,94.398,114.428,94.398,71.877,108.949,77.018,83.656,102.142,94.398,102.142,102.142,125.848,0.0,114.428,138.993,0.0
