,depot,INST0040_N5_W10_P000,INST0040_N5_W10_D000,INST0040_N5_W10_P001,INST0040_N5_W10_D001,INST0040_N5_W10_P002,INST0040_N5_W10_D002,INST0040_N5_W10_P003,INST0040_N5_W10_D003,INST0040_N5_W10_P004,INST0040_N5_W10_D004
depot,0.0,19.054,109.164,0.0,19.054,52.507,16.35,11.735,28.769,0.0,52.507
INST0040_N5_W10_P000,19.054,0.0,90.122,19.054,0.0,46.592,16.791,27.544,29.954,19.054,46.592
INST0040_N5_W10_D000,109.164,90.122,0.0,109.164,90.122,94.442,101.402,116.61,106.091,109.164,94.442
INST0040_N5_W10_P001,0.0,19.054,109.164,0.0,19.054,52.507,16.35,11.735,28.769,0.0,52.507
INST0040_N5_W10_D001,19.054,0.0,90.122,19.054,0.0,46.592,16.791,27.544,29.954,19.054,46.592
INST0040_N5_W10_P002,52.507,46.592,94.442,52.507,46.592,0.0,61.821,64.172,75.918,52.507,0.0
INST0040_N5_W10_D002,16.35,16.791,101.402,16.35,16.791,61.821,0.0,16.399,14.239,16.35,61.821
INST0040_N5_W10_P003,11.735,27.544,116.61,11.735,27.544,64.172,16.399,0.0,23.199,11.735,64.172
INST0040_N5_W10_D003,28.769,29.954,106.091,28.769,29.954,75.918,14.239,23.199,0.0,28.769,75.918
INST0040_N5_W10_P004,0.0,19.054,109.164,0.0,19.054,52.507,16.35,11.735,28.769,0.0,52.507
INST0040_N5_W10_D004,52.507,46.592,94.442,52.507,46.592,0.0,61.821,64.172,75.918,52.507,0.0
