,depot,INST0096_N10_N06_P000,INST0096_N10_N06_D000,INST0096_N10_N06_P001,INST0096_N10_N06_D001,INST0096_N10_N06_P002,INST0096_N10_N06_D002,INST0096_N10_N06_P003,INST0096_N10_N06_D003,INST0096_N10_N06_P004,INST0096_N10_N06_D004,INST0096_N10_N06_P005,INST0096_N10_N06_D005,INST0096_N10_N06_P006,INST0096_N10_N06_D006,INST0096_N10_N06_P007,INST0096_N10_N06_D007,INST0096_N10_N06_P008,INST0096_N10_N06_D008,INST0096_N10_N06_P009,INST0096_N10_N06_D009
depot,0.0,28.616,64.86,0.0,23.461,28.616,17.254,17.254,23.461,17.254,113.8,0.0,81.17,35.534,20.683,23.461,17.254,35.534,81.17,20.683,64.86
INST0096_N10_N06_P000,28.616,0.0,93.371,28.616,44.646,0.0,27.111,27.111,44.646,27.111,110.202,28.616,81.232,35.653,48.052,44.646,27.111,35.653,81.232,48.052,93.371
INST0096_N10_N06_D000,64.86,93.371,0.0,64.86,55.435,93.371,71.779,71.779,55.435,71.779,149.304,64.86,107.477,82.833,46.019,55.435,71.779,82.833,107.477,46.019,0.0
INST0096_N10_N06_P001,0.0,28.616,64.86,0.0,23.461,28.616,17.254,17.254,23.461,17.254,113.8,0.0,81.17,35.534,20.683,23.461,17.254,35.534,81.17,20.683,64.86
INST0096_N10_N06_D001,23.461,44.646,55.435,23.461,0.0,44.646,18.229,18.229,0.0,18.229,136.742,23.461,64.236,27.709,13.942,0.0,18.229,27.709,64.236,13.942,55.435
INST0096_N10_N06_P002,28.616,0.0,93.371,28.616,44.646,0.0,27.111,27.111,44.646,27.111,110.202,28.616,81.232,35.653,48.052,44.646,27.111,35.653,81.232,48.052,93.371
INST0096_N10_N06_D002,17.254,27.111,71.779,17.254,18.229,27.111,0.0,0.0,18.229,0.0,127.973,17.254,64.45,18.283,26.126,18.229,0.0,18.283,64.45,26.126,71.779
INST0096_N10_N06_P003,17.254,27.111,71.779,17.254,18.229,27.111,0.0,0.0,18.229,0.0,127.973,17.254,64.45,18.283,26.126,18.229,0.0,18.283,64.45,26.126,71.779
INST0096_N10_N06_D003,23.461,44.646,55.435,23.461,0.0,44.646,18.229,18.229,0.0,18.229,136.742,23.461,64.236,27.709,13.942,0.0,18.229,27.709,64.236,13.942,55.435
INST0096_N10_N06_P004,17.254,27.111,71.779,17.254,18.229,27.111,0.0,0.0,18.229,0.0,127.973,17.254,64.45,18.283,26.126,18.229,0.0,18.283,64.45,26.126,71.779
INST0096_N10_N06_D004,113.8,110.202,149.304,113.8,136.742,110.202,127.973,127.973,136.742,127.973,0.0,113.8,190.666,143.5,128.231,136.742,127.973,143.5,190.666,128.231,149.304
INST0096_N10_N06_P005,0.0,28.616,64.86,0.0,23.461,28.616,17.254,17.254,23.461,17.254,113.8,0.0,81.17,35.534,20.683,23.461,17.254,35.534,81.17,20.683,64.86
INST0096_N10_N06_D005,81.17,81.232,107.477,81.17,64.236,81.232,64.45,64.45,64.236,64.45,190.666,81.17,0.0,47.339,77.99,64.236,64.45,47.339,0.0,77.99,107.477
INST0096_N10_N06_P006,35.534,35.653,82.833,35.534,27.709,35.653,18.283,18.283,27.709,18.283,143.5,35.534,47.339,0.0,40.266,27.709,18.283,0.0,47.339,40.266,82.833
INST0096_N10_N06_D006,20.683,48.052,46.019,20.683,13.942,48.052,26.126,26.126,13.942,26.126,128.231,20.683,77.99,40.266,0.0,13.942,26.126,40.266,77.99,0.0,46.019
INST0096_N10_N06_P007,23.461,44.646,55.435,23.461,0.0,44.646,18.229,18.229,0.0,18.229,136.742,23.461,64.236,27.709,13.942,0.0,18.229,27.709,64.236,13.942,55.435
INST0096_N10_N06_D007,17.254,27.111,71.779,17.254,18.229,27.111,0.0,0.0,18.229,0.0,127.973,17.254,64.45,18.283,26.126,18.229,0.0,18.283,64.45,26.126,71.779
INST0096_N10_N06_P008,35.534,35.653,82.833,35.534,27.709,35.653,18.283,18.283,27.709,18.283,143.5,35.534,47.339,0.0,40.266,27.709,18.283,0.0,47.339,40.266,82.833
INST0096_N10_N06_D008,81.17,81.232,107.477,81.17,64.236,81.232,64.45,64.45,64.236,64.45,190.666,81.17,0.0,47.339,77.99,64.236,64.45,47.339,0.0,77.99,107.477
INST0096_N10_N06_P009,20.683,48.052,46.019,20.683,13.942,48.052,26.126,26.126,13.942,26.126,128.231,20.683,77.99,40.266,0.0,13.942,26.126,40.266,77.99,0.0,46.019
INST0096_N10_N06_D009,64.86,93.371,0.0,64.86,55.435,93.371,71.779,71.779,55.435,71.779,149.304,64.86,107.477,82.833,46.019,55.435,71.779,82.833,107.477,46.019,0.0
