,depot,INST0181_N18_W01_P000,INST0181_N18_W01_D000,INST0181_N18_W01_P001,INST0181_N18_W01_D001,INST0181_N18_W01_P002,INST0181_N18_W01_D002,INST0181_N18_W01_P003,INST0181_N18_W01_D003,INST0181_N18_W01_P004,INST0181_N18_W01_D004,INST0181_N18_W01_P005,INST0181_N18_W01_D005,INST0181_N18_W01_P006,INST0181_N18_W01_D006,INST0181_N18_W01_P007,INST0181_N18_W01_D007,INST0181_N18_W01_P008,INST0181_N18_W01_D008,INST0181_N18_W01_P009,INST0181_N18_W01_D009,INST0181_N18_W01_P010,INST0181_N18_W01_D010,INST0181_N18_W01_P011,INST0181_N18_W01_D011,INST0181_N18_W01_P012,INST0181_N18_W01_D012,INST0181_N18_W01_P013,INST0181_N18_W01_D013,INST0181_N18_W01_P014,INST0181_N18_W01_D014,INST0181_N18_W01_P015,INST0181_N18_W01_D015,INST0181_N18_W01_P016,INST0181_N18_W01_D016,INST0181_N18_W01_P017,INST0181_N18_W01_D017
depot,0.0,32.905,180.319,25.201,43.046,50.317,37.156,37.156,117.595,50.317,50.631,32.905,133.769,22.951,25.201,17.238,32.905,25.201,50.317,43.046,50.317,50.317,50.631,50.317,133.769,25.201,37.156,25.201,43.046,50.631,67.612,32.905,37.156,22.951,37.156,22.951,43.046
INST0181_N18_W01_P000,32.905,0.0,149.638,29.878,75.699,17.435,20.081,20.081,124.166,17.435,53.818,0.0,141.804,20.02,29.878,20.56,0.0,29.878,17.435,75.699,17.435,17.435,53.818,17.435,141.804,29.878,20.081,29.878,75.699,53.818,77.687,0.0,20.081,20.02,20.081,20.02,75.699
INST0181_N18_W01_D000,180.319,149.638,0.0,162.13,219.073,133.358,160.03,160.03,187.182,133.358,159.2,149.638,201.301,168.582,162.13,163.588,149.638,162.13,133.358,219.073,133.358,133.358,159.2,133.358,201.301,162.13,160.03,162.13,219.073,159.2,176.253,149.638,160.03,168.582,160.03,168.582,219.073
INST0181_N18_W01_P001,25.201,29.878,162.13,0.0,56.961,43.098,45.89,45.89,97.602,43.098,27.496,29.878,114.719,36.098,0.0,12.767,29.878,0.0,43.098,56.961,43.098,43.098,27.496,43.098,114.719,0.0,45.89,0.0,56.961,27.496,49.056,29.878,45.89,36.098,45.89,36.098,56.961
INST0181_N18_W01_D001,43.046,75.699,219.073,56.961,0.0,92.961,78.578,78.578,115.643,92.961,68.471,75.699,128.123,64.294,56.961,57.051,75.699,56.961,92.961,0.0,92.961,92.961,68.471,92.961,128.123,56.961,78.578,56.961,0.0,68.471,70.587,75.699,78.578,64.294,78.578,64.294,0.0
INST0181_N18_W01_P002,50.317,17.435,133.358,43.098,92.961,0.0,28.407,28.407,129.907,0.0,61.972,17.435,147.866,35.228,43.098,36.679,17.435,43.098,0.0,92.961,0.0,0.0,61.972,0.0,147.866,43.098,28.407,43.098,92.961,61.972,86.82,17.435,28.407,35.228,28.407,35.228,92.961
INST0181_N18_W01_D002,37.156,20.081,160.03,45.89,78.578,28.407,0.0,0.0,142.787,28.407,72.151,20.081,160.194,14.369,45.89,33.728,20.081,45.89,28.407,78.578,28.407,28.407,72.151,28.407,160.194,45.89,0.0,45.89,78.578,72.151,94.929,20.081,0.0,14.369,0.0,14.369,78.578
INST0181_N18_W01_P003,37.156,20.081,160.03,45.89,78.578,28.407,0.0,0.0,142.787,28.407,72.151,20.081,160.194,14.369,45.89,33.728,20.081,45.89,28.407,78.578,28.407,28.407,72.151,28.407,160.194,45.89,0.0,45.89,78.578,72.151,94.929,20.081,0.0,14.369,0.0,14.369,78.578
INST0181_N18_W01_D003,117.595,124.166,187.182,97.602,115.643,129.907,142.787,142.787,0.0,129.907,70.637,124.166,18.026,133.671,97.602,110.354,124.166,97.602,129.907,115.643,129.907,129.907,70.637,129.907,18.026,97.602,142.787,97.602,115.643,70.637,50.015,124.166,142.787,133.671,142.787,133.671,115.643
INST0181_N18_W01_P004,50.317,17.435,133.358,43.098,92.961,0.0,28.407,28.407,129.907,0.0,61.972,17.435,147.866,35.228,43.098,36.679,17.435,43.098,0.0,92.961,0.0,0.0,61.972,0.0,147.866,43.098,28.407,43.098,92.961,61.972,86.82,17.435,28.407,35.228,28.407,35.228,92.961
