,depot,INST0105_N10_N15_P000,INST0105_N10_N15_D000,INST0105_N10_N15_P001,INST0105_N10_N15_D001,INST0105_N10_N15_P002,INST0105_N10_N15_D002,INST0105_N10_N15_P003,INST0105_N10_N15_D003,INST0105_N10_N15_P004,INST0105_N10_N15_D004,INST0105_N10_N15_P005,INST0105_N10_N15_D005,INST0105_N10_N15_P006,INST0105_N10_N15_D006,INST0105_N10_N15_P007,INST0105_N10_N15_D007,INST0105_N10_N15_P008,INST0105_N10_N15_D008,INST0105_N10_N15_P009,INST0105_N10_N15_D009
depot,0.0,0.0,87.958,61.784,87.958,19.671,134.365,13.759,19.671,0.0,19.671,34.294,13.759,66.32,0.0,34.294,13.759,19.671,13.759,18.791,13.759
INST0105_N10_N15_P000,0.0,0.0,87.958,61.784,87.958,19.671,134.365,13.759,19.671,0.0,19.671,34.294,13.759,66.32,0.0,34.294,13.759,19.671,13.759,18.791,13.759
INST0105_N10_N15_D000,87.958,87.958,0.0,85.106,0.0,100.436,222.229,77.555,100.436,87.958,100.436,122.247,77.555,65.084,87.958,122.247,77.555,100.436,77.555,93.214,77.555
INST0105_N10_N15_P001,61.784,61.784,85.106,0.0,85.106,81.17,165.945,66.572,81.17,61.784,81.17,81.232,66.572,107.477,61.784,81.232,66.572,81.17,66.572,47.339,66.572
INST0105_N10_N15_D001,87.958,87.958,0.0,85.106,0.0,100.436,222.229,77.555,100.436,87.958,100.436,122.247,77.555,65.084,87.958,122.247,77.555,100.436,77.555,93.214,77.555
INST0105_N10_N15_P002,19.671,19.671,100.436,81.17,100.436,0.0,125.319,23.353,0.0,19.671,0.0,28.616,23.353,64.86,19.671,28.616,23.353,0.0,23.353,35.534,23.353
INST0105_N10_N15_D002,134.365,134.365,222.229,165.945,222.229,125.319,0.0,145.919,125.319,134.365,125.319,100.108,145.919,187.822,134.365,100.108,145.919,125.319,145.919,131.141,145.919
INST0105_N10_N15_P003,13.759,13.759,77.555,66.572,77.555,23.353,145.919,0.0,23.353,13.759,23.353,46.06,0.0,52.8,13.759,46.06,0.0,23.353,0.0,30.471,0.0
INST0105_N10_N15_D003,19.671,19.671,100.436,81.17,100.436,0.0,125.319,23.353,0.0,19.671,0.0,28.616,23.353,64.86,19.671,28.616,23.353,0.0,23.353,35.534,23.353
INST0105_N10_N15_P004,0.0,0.0,87.958,61.784,87.958,19.671,134.365,13.759,19.671,0.0,19.671,34.294,13.759,66.32,0.0,34.294,13.759,19.671,13.759,18.791,13.759
INST0105_N10_N15_D004,19.671,19.671,100.436,81.17,100.436,0.0,125.319,23.353,0.0,19.671,0.0,28.616,23.353,64.86,19.671,28.616,23.353,0.0,23.353,35.534,23.353
INST0105_N10_N15_P005,34.294,34.294,122.247,81.232,122.247,28.616,100.108,46.06,28.616,34.294,28.616,0.0,46.06,93.371,34.294,0.0,46.06,28.616,46.06,35.653,46.06
INST0105_N10_N15_D005,13.759,13.759,77.555,66.572,77.555,23.353,145.919,0.0,23.353,13.759,23.353,46.06,0.0,52.8,13.759,46.06,0.0,23.353,0.0,30.471,0.0
INST0105_N10_N15_P006,66.32,66.32,65.084,107.477,65.084,64.86,187.822,52.8,64.86,66.32,64.86,93.371,52.8,0.0,66.32,93.371,52.8,64.86,52.8,82.833,52.8
INST0105_N10_N15_D006,0.0,0.0,87.958,61.784,87.958,19.671,134.365,13.759,19.671,0.0,19.671,34.294,13.759,66.32,0.0,34.294,13.759,19.671,13.759,18.791,13.759
INST0105_N10_N15_P007,34.294,34.294,122.247,81.232,122.247,28.616,100.108,46.06,28.616,34.294,28.616,0.0,46.06,93.371,34.294,0.0,46.06,28.616,46.06,35.653,46.06
INST0105_N10_N15_D007,13.759,13.759,77.555,66.572,77.555,23.353,145.919,0.0,23.353,13.759,23.353,46.06,0.0,52.8,13.759,46.06,0.0,23.353,0.0,30.471,0.0
INST0105_N10_N15_P008,19.671,19.671,100.436,81.17,100.436,0.0,125.319,23.353,0.0,19.671,0.0,28.616,23.353,64.86,19.671,28.616,23.353,0.0,23.353,35.534,23.353
INST0105_N10_N15_D008,13.759,13.759,77.555,66.572,77.555,23.353,145.919,0.0,23.353,13.759,23.353,46.06,0.0,52.8,13.759,46.06,0.0,23.353,0.0,30.471,0.0
INST0105_N10_N15_P009,18.791,18.791,93.214,47.339,93.214,35.534,131.141,30.471,35.534,18.791,35.534,35.653,30.471,82.833,18.791,35.653,30.471,35.534,30.471,0.0,30.471
INST0105_N10_N15_D009,13.759,13.759,77.555,66.572,77.555,23.353,145.919,0.0,23.353,13.759,23.353,46.06,0.0,52.8,13.759,46.06,0.0,23.353,0.0,30.471,0.0
