,depot,INST0078_N8_N18_P000,INST0078_N8_N18_D000,INST0078_N8_N18_P001,INST0078_N8_N18_D001,INST0078_N8_N18_P002,INST0078_N8_N18_D002,INST0078_N8_N18_P003,INST0078_N8_N18_D003,INST0078_N8_N18_P004,INST0078_N8_N18_D004,INST0078_N8_N18_P005,INST0078_N8_N18_D005,INST0078_N8_N18_P006,INST0078_N8_N18_D006,INST0078_N8_N18_P007,INST0078_N8_N18_D007
depot,0.0,3.413,81.517,28.595,14.003,14.003,3.413,64.653,0.0,56.4,0.0,0.0,134.313,14.003,28.595,14.003,16.848
INST0078_N8_N18_P000,3.413,0.0,78.656,28.727,17.072,17.072,0.0,67.88,3.413,54.669,3.413,3.413,134.948,17.072,28.727,17.072,14.053
INST0078_N8_N18_D000,81.517,78.656,0.0,99.392,95.498,95.498,78.656,131.605,81.517,99.467,81.517,81.517,127.812,95.498,99.392,95.498,75.654
INST0078_N8_N18_P001,28.595,28.727,99.392,0.0,25.326,25.326,28.727,79.42,28.595,35.041,28.595,28.595,162.63,25.326,0.0,25.326,24.088
INST0078_N8_N18_D001,14.003,17.072,95.498,25.326,0.0,0.0,17.072,56.35,14.003,58.839,14.003,14.003,139.481,0.0,25.326,0.0,26.694
INST0078_N8_N18_P002,14.003,17.072,95.498,25.326,0.0,0.0,17.072,56.35,14.003,58.839,14.003,14.003,139.481,0.0,25.326,0.0,26.694
INST0078_N8_N18_D002,3.413,0.0,78.656,28.727,17.072,17.072,0.0,67.88,3.413,54.669,3.413,3.413,134.948,17.072,28.727,17.072,14.053
INST0078_N8_N18_P003,64.653,67.88,131.605,79.42,56.35,56.35,67.88,0.0,64.653,114.332,64.653,64.653,116.851,56.35,79.42,56.35,81.208
INST0078_N8_N18_D003,0.0,3.413,81.517,28.595,14.003,14.003,3.413,64.653,0.0,56.4,0.0,0.0,134.313,14.003,28.595,14.003,16.848
INST0078_N8_N18_P004,56.4,54.669,99.467,35.041,58.839,58.839,54.669,114.332,56.4,0.0,56.4,56.4,187.802,58.839,35.041,58.839,41.993
INST0078_N8_N18_D004,0.0,3.413,81.517,28.595,14.003,14.003,3.413,64.653,0.0,56.4,0.0,0.0,134.313,14.003,28.595,14.003,16.848
INST0078_N8_N18_P005,0.0,3.413,81.517,28.595,14.003,14.003,3.413,64.653,0.0,56.4,0.0,0.0,134.313,14.003,28.595,14.003,16.848
INST0078_N8_N18_D005,134.313,134.948,127.812,162.63,139.481,139.481,134.948,116.851,134.313,187.802,134.313,134.313,0.0,139.481,162.63,139.481,146.035
INST0078_N8_N18_P006,14.003,17.072,95.498,25.326,0.0,0.0,17.072,56.35,14.003,58.839,14.003,14.003,139.481,0.0,25.326,0.0,26.694
INST0078_N8_N18_D006,28.595,28.727,99.392,0.0,25.326,25.326,28.727,79.42,28.595,35.041,28.595,28.595,162.63,25.326,0.0,25.326,24.088
INST0078_N8_N18_P007,14.003,17.072,95.498,25.326,0.0,0.0,17.072,56.35,14.003,58.839,14.003,14.003,139.481,0.0,25.326,0.0,26.694
INST0078_N8_N18_D007,16.848,14.053,75.654,24.088,26.694,26.694,14.053,81.208,16.848,41.993,16.848,16.848,146.035,26.694,24.088,26.694,0.0
