,depot,INST0142_N12_W22_P000,INST0142_N12_W22_D000,INST0142_N12_W22_P001,INST0142_N12_W22_D001,INST0142_N12_W22_P002,INST0142_N12_W22_D002,INST0142_N12_W22_P003,INST0142_N12_W22_D003,INST0142_N12_W22_P004,INST0142_N12_W22_D004,INST0142_N12_W22_P005,INST0142_N12_W22_D005,INST0142_N12_W22_P006,INST0142_N12_W22_D006,INST0142_N12_W22_P007,INST0142_N12_W22_D007,INST0142_N12_W22_P008,INST0142_N12_W22_D008,INST0142_N12_W22_P009,INST0142_N12_W22_D009,INST0142_N12_W22_P010,INST0142_N12_W22_D010,INST0142_N12_W22_P011,INST0142_N12_W22_D011
depot,0.0,75.699,29.878,20.02,141.804,32.905,17.435,53.818,20.56,17.435,149.638,29.878,75.699,53.818,77.687,20.56,17.435,75.699,32.905,77.687,53.818,75.699,20.56,20.02,29.878
INST0142_N12_W22_P000,75.699,0.0,56.961,64.294,128.123,43.046,92.961,68.471,57.051,92.961,219.073,56.961,0.0,68.471,70.587,57.051,92.961,0.0,43.046,70.587,68.471,0.0,57.051,64.294,56.961
INST0142_N12_W22_D000,29.878,56.961,0.0,36.098,114.719,25.201,43.098,27.496,12.767,43.098,162.13,0.0,56.961,27.496,49.056,12.767,43.098,56.961,25.201,49.056,27.496,56.961,12.767,36.098,0.0
INST0142_N12_W22_P001,20.02,64.294,36.098,0.0,150.679,22.951,35.228,63.48,23.331,35.228,168.582,36.098,64.294,63.48,84.648,23.331,35.228,64.294,22.951,84.648,63.48,64.294,23.331,0.0,36.098
INST0142_N12_W22_D001,141.804,128.123,114.719,150.679,0.0,133.769,147.866,88.095,127.423,147.866,201.301,114.719,128.123,88.095,66.284,127.423,147.866,128.123,133.769,66.284,88.095,128.123,127.423,150.679,114.719
INST0142_N12_W22_P002,32.905,43.046,25.201,22.951,133.769,0.0,50.317,50.631,17.238,50.317,180.319,25.201,43.046,50.631,67.612,17.238,50.317,43.046,0.0,67.612,50.631,43.046,17.238,22.951,25.201
INST0142_N12_W22_D002,17.435,92.961,43.098,35.228,147.866,50.317,0.0,61.972,36.679,0.0,133.358,43.098,92.961,61.972,86.82,36.679,0.0,92.961,50.317,86.82,61.972,92.961,36.679,35.228,43.098
INST0142_N12_W22_P003,53.818,68.471,27.496,63.48,88.095,50.631,61.972,0.0,40.204,61.972,159.2,27.496,68.471,0.0,24.909,40.204,61.972,68.471,50.631,24.909,0.0,68.471,40.204,63.48,27.496
INST0142_N12_W22_D003,20.56,57.051,12.767,23.331,127.423,17.238,36.679,40.204,0.0,36.679,163.588,12.767,57.051,40.204,61.567,0.0,36.679,57.051,17.238,61.567,40.204,57.051,0.0,23.331,12.767
INST0142_N12_W22_P004,17.435,92.961,43.098,35.228,147.866,50.317,0.0,61.972,36.679,0.0,133.358,43.098,92.961,61.972,86.82,36.679,0.0,92.961,50.317,86.82,61.972,92.961,36.679,35.228,43.098
INST0142_N12_W22_D004,149.638,219.073,162.13,168.582,201.301,180.319,133.358,159.2,163.588,133.358,0.0,162.13,219.073,159.2,176.253,163.588,133.358,219.073,180.319,176.253,159.2,219.073,163.588,168.582,162.13
INST0142_N12_W22_P005,29.878,56.961,0.0,36.098,114.719,25.201,43.098,27.496,12.767,43.098,162.13,0.0,56.961,27.496,49.056,12.767,43.098,56.961,25.201,49.056,27.496,56.961,12.767,36.098,0.0
INST0142_N12_W22_D005,75.699,0.0,56.961,64.294,128.123,43.046,92.961,68.471,57.051,92.961,219.073,56.961,0.0,68.471,70.587,57.051,92.961,0.0,43.046,70.587,68.471,0.0,57.051,64.294,56.961
INST0142_N12_W22_P006,53.818,68.471,27.496,63.48,88.095,50.631,61.972,0.0,40.204,61.972,159.2,27.496,68.471,0.0,24.909,40.204,61.972,68.471,50.631,24.909,0.0,68.471,40.204,63.48,27.496
INST0142_N12_W22_D006,77.687,70.587,49.056,84.648,66.284,67.612,86.82,24.909,61.567,86.82,176.253,49.056,70.587,24.909,0.0,61.567,86.82,70.587,67.612,0.0,24.909,70.587,61.567,84.648,49.056
INST0142_N12_W22_P007,20.56,57.051,12.767,23.331,127.423,17.238,36.679,40.204,0.0,36.679,163.588,12.767,57.051,40.204,61.567,0.0,36.679,57.051,17.238,61.567,40.204,57.051,0.0,23.331,12.767
INST0142_N12_W22_D007,17.435,92.961,43.098,35.228,147.866,50.317,0.0,61.972,36.679,0.0,133.358,43.098,92.961,61.972,86.82,36.679,0.0,92.961,50.317,86.82,61.972,92.961,36.679,35.228,43.098
INST0142_N12_W22_P008,75.699,0.0,56.961,64.294,128.123,43.046,92.961,68.471,57.051,92.961,219.073,56.961,0.0,68.471,70.587,57.051,92.961,0.0,43.046,70.587,68.471,0.0,57.051,64.294,56.961
INST0142_N12_W22_D008,32.905,43.046,25.201,22.951,133.769,0.0,50.317,50.631,17.238,50.317,180.319,25.201,43.046,50.631,67.612,17.238,50.317,43.046,0.0,67.612,50.631,43.046,17.238,22.951,25.201
INST0142_N12_W22_P009,77.687,70.587,49.056,84.648,66.284,67.612,86.82,24.909,61.567,86.82,176.253,49.056,70.587,24.909,0.0,61.567,86.82,70.587,67.612,0.0,24.909,70.587,61.567,84.648,49.056
INST0142_N12_W22_D009,53.818,68.471,27.496,63.48,88.095,50.631,61.972,0.0,40.204,61.972,159.2,27.496,68.471,0.0,24.909,40.204,61.972,68.471,50.631,24.909,0.0,68.471,40.204,63.48,27.496
INST0142_N12_W22_P010,75.699,0.0,56.961,64.294,128.123,43.046,92.961,68.471,57.051,92.961,219.073,56.961,0.0,68.471,70.587,57.051,92.961,0.0,43.046,70.587,68.471,0.0,57.051,64.294,56.961
INST0142_N12_W22_D010,20.56,57.051,12.767,23.331,127.423,17.238,36.679,40.204,0.0,36.679,163.588,12.767,57.051,40.204,61.567,0.0,36.679,57.051,17.238,61.567,40.204,57.051,0.0,23.331,12.767
INST0142_N12_W22_P011,20.02,64.294,36.098,0.0,150.679,22.951,35.228,63.48,23.331,35.228,168.582,36.098,64.294,63.48,84.648,23.331,35.228,64.294,22.951,84.648,63.48,64.294,23.331,0.0,36.098
INST0142_N12_W22_D011,29.878,56.961,0.0,36.098,114.719,25.201,43.098,27.496,12.767,43.098,162.13,0.0,56.961,27.496,49.056,12.767,43.098,56.961,25.201,49.056,27.496,56.961,12.767,36.098,0.0
