,depot,INST0276_N25_N06_P000,INST0276_N25_N06_D000,INST0276_N25_N06_P001,INST0276_N25_N06_D001,INST0276_N25_N06_P002,INST0276_N25_N06_D002,INST0276_N25_N06_P003,INST0276_N25_N06_D003,INST0276_N25_N06_P004,INST0276_N25_N06_D004,INST0276_N25_N06_P005,INST0276_N25_N06_D005,INST0276_N25_N06_P006,INST0276_N25_N06_D006,INST0276_N25_N06_P007,INST0276_N25_N06_D007,INST0276_N25_N06_P008,INST0276_N25_N06_D008,INST0276_N25_N06_P009,INST0276_N25_N06_D009,INST0276_N25_N06_P010,INST0276_N25_N06_D010,INST0276_N25_N06_P011,INST0276_N25_N06_D011,INST0276_N25_N06_P012,INST0276_N25_N06_D012,INST0276_N25_N06_P013,INST0276_N25_N06_D013,INST0276_N25_N06_P014,INST0276_N25_N06_D014,INST0276_N25_N06_P015,INST0276_N25_N06_D015,INST0276_N25_N06_P016,INST0276_N25_N06_D016,INST0276_N25_N06_P017,INST0276_N25_N06_D017,INST0276_N25_N06_P018,INST0276_N25_N06_D018,INST0276_N25_N06_P019,INST0276_N25_N06_D019,INST0276_N25_N06_P020,INST0276_N25_N06_D020,INST0276_N25_N06_P021,INST0276_N25_N06_D021,INST0276_N25_N06_P022,INST0276_N25_N06_D022,INST0276_N25_N06_P023,INST0276_N25_N06_D023,INST0276_N25_N06_P024,INST0276_N25_N06_D024
depot,0.0,17.254,125.319,23.353,100.436,23.353,17.254,0.0,19.671,17.254,28.616,35.534,17.254,28.616,125.319,19.671,23.461,20.683,113.8,23.353,0.0,23.461,81.17,35.534,0.0,19.671,64.86,28.616,17.254,64.86,0.0,19.671,23.461,35.534,132.815,23.353,100.436,17.254,28.616,64.86,0.0,64.86,23.461,28.616,19.671,23.353,100.436,64.86,81.17,35.534,100.436
INST0276_N25_N06_P000,17.254,0.0,127.166,20.176,95.136,20.176,0.0,17.254,7.201,0.0,27.111,18.283,0.0,27.111,127.166,7.201,18.229,26.126,127.973,20.176,17.254,18.229,64.45,18.283,17.254,7.201,71.779,27.111,0.0,71.779,17.254,7.201,18.229,18.283,126.352,20.176,95.136,0.0,27.111,71.779,17.254,71.779,18.229,27.111,7.201,20.176,95.136,71.779,64.45,18.283,95.136
INST0276_N25_N06_D000,125.319,127.166,0.0,145.919,222.229,145.919,127.166,125.319,134.365,127.166,100.108,131.141,127.166,100.108,0.0,134.365,144.673,145.998,102.687,145.919,125.319,144.673,165.945,131.141,125.319,134.365,187.822,100.108,127.166,187.822,125.319,134.365,144.673,131.141,252.84,145.919,222.229,127.166,100.108,187.822,125.319,187.822,144.673,100.108,134.365,145.919,222.229,187.822,165.945,131.141,222.229
INST0276_N25_N06_P001,23.353,20.176,145.919,0.0,77.555,0.0,20.176,23.353,13.759,20.176,46.06,30.471,20.176,46.06,145.919,13.759,2.788,11.436,135.971,0.0,23.353,2.788,66.572,30.471,23.353,13.759,52.8,46.06,20.176,52.8,23.353,13.759,2.788,30.471,109.689,0.0,77.555,20.176,46.06,52.8,23.353,52.8,2.788,46.06,13.759,0.0,77.555,52.8,66.572,30.471,77.555
INST0276_N25_N06_D001,100.436,95.136,222.229,77.555,0.0,77.555,95.136,100.436,87.958,95.136,122.247,93.214,95.136,122.247,222.229,87.958,78.292,81.189,206.878,77.555,100.436,78.292,85.106,93.214,100.436,87.958,65.084,122.247,95.136,65.084,100.436,87.958,78.292,93.214,32.884,77.555,0.0,95.136,122.247,65.084,100.436,65.084,78.292,122.247,87.958,77.555,0.0,65.084,85.106,93.214,0.0
INST0276_N25_N06_P002,23.353,20.176,145.919,0.0,77.555,0.0,20.176,23.353,13.759,20.176,46.06,30.471,20.176,46.06,145.919,13.759,2.788,11.436,135.971,0.0,23.353,2.788,66.572,30.471,23.353,13.759,52.8,46.06,20.176,52.8,23.353,13.759,2.788,30.471,109.689,0.0,77.555,20.176,46.06,52.8,23.353,52.8,2.788,46.06,13.759,0.0,77.555,52.8,66.572,30.471,77.555
INST0276_N25_N06_D002,17.254,0.0,127.166,20.176,95.136,20.176,0.0,17.254,7.201,0.0,27.111,18.283,0.0,27.111,127.166,7.201,18.229,26.126,127.973,20.176,17.254,18.229,64.45,18.283,17.254,7.201,71.779,27.111,0.0,71.779,17.254,7.201,18.229,18.283,126.352,20.176,95.136,0.0,27.111,71.779,17.254,71.779,18.229,27.111,7.201,20.176,95.136,71.779,64.45,18.283,95.136
INST0276_N25_N06_P003,0.0,17.254,125.319,23.353,100.436,23.353,17.254,0.0,19.671,17.254,28.616,35.534,17.254,28.616,125.319,19.671,23.461,20.683,113.8,23.353,0.0,23.461,81.17,35.534,0.0,19.671,64.86,28.616,17.254,64.86,0.0,19.671,23.461,35.534,132.815,23.353,100.436,17.254,28.616,64.86,0.0,64.86,23.461,28.616,19.671,23.353,100.436,64.86,81.17,35.534,100.436
INST0276_N25_N06_D003,19.671,7.201,134.365,13.759,87.958,13.759,7.201,19.671,0.0,7.201,34.294,18.791,7.201,34.294,134.365,0.0,11.477,21.8,132.823,13.759,19.671,11.477,61.784,18.791,19.671,0.0,66.32,34.294,7.201,66.32,19.671,0.0,11.477,18.791,119.262,13.759,87.958,7.201,34.294,66.32,19.671,66.32,11.477,34.294,0.0,13.759,87.958,66.32,61.784,18.791,87.958
INST0276_N25_N06_P004,17.254,0.0,127.166,20.176,95.136,20.176,0.0,17.254,7.201,0.0,27.111,18.283,0.0,27.111,127.166,7.201,18.229,26.126,127.973,20.176,17.254,18.229,64.45,18.283,17.254,7.201,71.779,27.111,0.0,71.779,17.254,7.201,18.229,18.283,126.352,20.176,95.136,0.0,27.111,71.779,17.254,71.779,18.229,27.111,7.201,20.176,95.136,71.779,64.45,18.283,95.136
