,depot,INST0121_N12_W01_P000,INST0121_N12_W01_D000,INST0121_N12_W01_P001,INST0121_N12_W01_D001,INST0121_N12_W01_P002,INST0121_N12_W01_D002,INST0121_N12_W01_P003,INST0121_N12_W01_D003,INST0121_N12_W01_P004,INST0121_N12_W01_D004,INST0121_N12_W01_P005,INST0121_N12_W01_D005,INST0121_N12_W01_P006,INST0121_N12_W01_D006,INST0121_N12_W01_P007,INST0121_N12_W01_D007,INST0121_N12_W01_P008,INST0121_N12_W01_D008,INST0121_N12_W01_P009,INST0121_N12_W01_D009,INST0121_N12_W01_P010,INST0121_N12_W01_D010,INST0121_N12_W01_P011,INST0121_N12_W01_D011
depot,0.0,67.612,117.595,32.905,37.156,25.201,133.769,17.238,50.317,43.046,50.631,25.201,0.0,25.201,117.595,50.317,50.631,37.156,50.317,43.046,32.905,37.156,22.951,22.951,133.769
INST0121_N12_W01_P000,67.612,0.0,50.015,77.687,94.929,49.056,66.284,61.567,86.82,70.587,24.909,49.056,67.612,49.056,50.015,86.82,24.909,94.929,86.82,70.587,77.687,94.929,84.648,84.648,66.284
INST0121_N12_W01_D000,117.595,50.015,0.0,124.166,142.787,97.602,18.026,110.354,129.907,115.643,70.637,97.602,117.595,97.602,0.0,129.907,70.637,142.787,129.907,115.643,124.166,142.787,133.671,133.671,18.026
INST0121_N12_W01_P001,32.905,77.687,124.166,0.0,20.081,29.878,141.804,20.56,17.435,75.699,53.818,29.878,32.905,29.878,124.166,17.435,53.818,20.081,17.435,75.699,0.0,20.081,20.02,20.02,141.804
INST0121_N12_W01_D001,37.156,94.929,142.787,20.081,0.0,45.89,160.194,33.728,28.407,78.578,72.151,45.89,37.156,45.89,142.787,28.407,72.151,0.0,28.407,78.578,20.081,0.0,14.369,14.369,160.194
INST0121_N12_W01_P002,25.201,49.056,97.602,29.878,45.89,0.0,114.719,12.767,43.098,56.961,27.496,0.0,25.201,0.0,97.602,43.098,27.496,45.89,43.098,56.961,29.878,45.89,36.098,36.098,114.719
INST0121_N12_W01_D002,133.769,66.284,18.026,141.804,160.194,114.719,0.0,127.423,147.866,128.123,88.095,114.719,133.769,114.719,18.026,147.866,88.095,160.194,147.866,128.123,141.804,160.194,150.679,150.679,0.0
INST0121_N12_W01_P003,17.238,61.567,110.354,20.56,33.728,12.767,127.423,0.0,36.679,57.051,40.204,12.767,17.238,12.767,110.354,36.679,40.204,33.728,36.679,57.051,20.56,33.728,23.331,23.331,127.423
INST0121_N12_W01_D003,50.317,86.82,129.907,17.435,28.407,43.098,147.866,36.679,0.0,92.961,61.972,43.098,50.317,43.098,129.907,0.0,61.972,28.407,0.0,92.961,17.435,28.407,35.228,35.228,147.866
INST0121_N12_W01_P004,43.046,70.587,115.643,75.699,78.578,56.961,128.123,57.051,92.961,0.0,68.471,56.961,43.046,56.961,115.643,92.961,68.471,78.578,92.961,0.0,75.699,78.578,64.294,64.294,128.123
INST0121_N12_W01_D004,50.631,24.909,70.637,53.818,72.151,27.496,88.095,40.204,61.972,68.471,0.0,27.496,50.631,27.496,70.637,61.972,0.0,72.151,61.972,68.471,53.818,72.151,63.48,63.48,88.095
INST0121_N12_W01_P005,25.201,49.056,97.602,29.878,45.89,0.0,114.719,12.767,43.098,56.961,27.496,0.0,25.201,0.0,97.602,43.098,27.496,45.89,43.098,56.961,29.878,45.89,36.098,36.098,114.719
INST0121_N12_W01_D005,0.0,67.612,117.595,32.905,37.156,25.201,133.769,17.238,50.317,43.046,50.631,25.201,0.0,25.201,117.595,50.317,50.631,37.156,50.317,43.046,32.905,37.156,22.951,22.951,133.769
INST0121_N12_W01_P006,25.201,49.056,97.602,29.878,45.89,0.0,114.719,12.767,43.098,56.961,27.496,0.0,25.201,0.0,97.602,43.098,27.496,45.89,43.098,56.961,29.878,45.89,36.098,36.098,114.719
INST0121_N12_W01_D006,117.595,50.015,0.0,124.166,142.787,97.602,18.026,110.354,129.907,115.643,70.637,97.602,117.595,97.602,0.0,129.907,70.637,142.787,129.907,115.643,124.166,142.787,133.671,133.671,18.026
INST0121_N12_W01_P007,50.317,86.82,129.907,17.435,28.407,43.098,147.866,36.679,0.0,92.961,61.972,43.098,50.317,43.098,129.907,0.0,61.972,28.407,0.0,92.961,17.435,28.407,35.228,35.228,147.866
INST0121_N12_W01_D007,50.631,24.909,70.637,53.818,72.151,27.496,88.095,40.204,61.972,68.471,0.0,27.496,50.631,27.496,70.637,61.972,0.0,72.151,61.972,68.471,53.818,72.151,63.48,63.48,88.095
INST0121_N12_W01_P008,37.156,94.929,142.787,20.081,0.0,45.89,160.194,33.728,28.407,78.578,72.151,45.89,37.156,45.89,142.787,28.407,72.151,0.0,28.407,78.578,20.081,0.0,14.369,14.369,160.194
INST0121_N12_W01_D008,50.317,86.82,129.907,17.435,28.407,43.098,147.866,36.679,0.0,92.961,61.972,43.098,50.317,43.098,129.907,0.0,61.972,28.407,0.0,92.961,17.435,28.407,35.228,35.228,147.866
INST0121_N12_W01_P009,43.046,70.587,115.643,75.699,78.578,56.961,128.123,57.051,92.961,0.0,68.471,56.961,43.046,56.961,115.643,92.961,68.471,78.578,92.961,0.0,75.699,78.578,64.294,64.294,128.123
INST0121_N12_W01_D009,32.905,77.687,124.166,0.0,20.081,29.878,141.804,20.56,17.435,75.699,53.818,29.878,32.905,29.878,124.166,17.435,53.818,20.081,17.435,75.699,0.0,20.081,20.02,20.02,141.804
INST0121_N12_W01_P010,37.156,94.929,142.787,20.081,0.0,45.89,160.194,33.728,28.407,78.578,72.151,45.89,37.156,45.89,142.787,28.407,72.151,0.0,28.407,78.578,20.081,0.0,14.369,14.369,160.194
INST0121_N12_W01_D010,22.951,84.648,133.671,20.02,14.369,36.098,150.679,23.331,35.228,64.294,63.48,36.098,22.951,36.098,133.671,35.228,63.48,14.369,35.228,64.294,20.02,14.369,0.0,0.0,150.679
INST0121_N12_W01_P011,22.951,84.648,133.671,20.02,14.369,36.098,150.679,23.331,35.228,64.294,63.48,36.098,22.951,36.098,133.671,35.228,63.48,14.369,35.228,64.294,20.02,14.369,0.0,0.0,150.679
INST0121_N12_W01_D011,133.769,66.284,18.026,141.804,160.194,114.719,0.0,127.423,147.866,128.123,88.095,114.719,133.769,114.719,18.026,147.866,88.095,160.194,147.866,128.123,141.804,160.194,150.679,150.679,0.0
