,depot,INST0160_N15_W10_P000,INST0160_N15_W10_D000,INST0160_N15_W10_P001,INST0160_N15_W10_D001,INST0160_N15_W10_P002,INST0160_N15_W10_D002,INST0160_N15_W10_P003,INST0160_N15_W10_D003,INST0160_N15_W10_P004,INST0160_N15_W10_D004,INST0160_N15_W10_P005,INST0160_N15_W10_D005,INST0160_N15_W10_P006,INST0160_N15_W10_D006,INST0160_N15_W10_P007,INST0160_N15_W10_D007,INST0160_N15_W10_P008,INST0160_N15_W10_D008,INST0160_N15_W10_P009,INST0160_N15_W10_D009,INST0160_N15_W10_P010,INST0160_N15_W10_D010,INST0160_N15_W10_P011,INST0160_N15_W10_D011,INST0160_N15_W10_P012,INST0160_N15_W10_D012,INST0160_N15_W10_P013,INST0160_N15_W10_D013,INST0160_N15_W10_P014,INST0160_N15_W10_D014
depot,0.0,23.331,14.369,23.331,0.0,23.331,133.671,63.48,23.331,22.951,23.331,84.648,0.0,22.951,14.369,14.369,20.02,14.369,35.228,64.294,133.671,0.0,133.671,14.369,36.098,64.294,0.0,64.294,150.679,35.228,133.671
INST0160_N15_W10_P000,23.331,0.0,33.728,0.0,23.331,0.0,110.354,40.204,0.0,17.238,0.0,61.567,23.331,17.238,33.728,33.728,20.56,33.728,36.679,57.051,110.354,23.331,110.354,33.728,12.767,57.051,23.331,57.051,127.423,36.679,110.354
INST0160_N15_W10_D000,14.369,33.728,0.0,33.728,14.369,33.728,142.787,72.151,33.728,37.156,33.728,94.929,14.369,37.156,0.0,0.0,20.081,0.0,28.407,78.578,142.787,14.369,142.787,0.0,45.89,78.578,14.369,78.578,160.194,28.407,142.787
INST0160_N15_W10_P001,23.331,0.0,33.728,0.0,23.331,0.0,110.354,40.204,0.0,17.238,0.0,61.567,23.331,17.238,33.728,33.728,20.56,33.728,36.679,57.051,110.354,23.331,110.354,33.728,12.767,57.051,23.331,57.051,127.423,36.679,110.354
INST0160_N15_W10_D001,0.0,23.331,14.369,23.331,0.0,23.331,133.671,63.48,23.331,22.951,23.331,84.648,0.0,22.951,14.369,14.369,20.02,14.369,35.228,64.294,133.671,0.0,133.671,14.369,36.098,64.294,0.0,64.294,150.679,35.228,133.671
INST0160_N15_W10_P002,23.331,0.0,33.728,0.0,23.331,0.0,110.354,40.204,0.0,17.238,0.0,61.567,23.331,17.238,33.728,33.728,20.56,33.728,36.679,57.051,110.354,23.331,110.354,33.728,12.767,57.051,23.331,57.051,127.423,36.679,110.354
INST0160_N15_W10_D002,133.671,110.354,142.787,110.354,133.671,110.354,0.0,70.637,110.354,117.595,110.354,50.015,133.671,117.595,142.787,142.787,124.166,142.787,129.907,115.643,0.0,133.671,0.0,142.787,97.602,115.643,133.671,115.643,18.026,129.907,0.0
INST0160_N15_W10_P003,63.48,40.204,72.151,40.204,63.48,40.204,70.637,0.0,40.204,50.631,40.204,24.909,63.48,50.631,72.151,72.151,53.818,72.151,61.972,68.471,70.637,63.48,70.637,72.151,27.496,68.471,63.48,68.471,88.095,61.972,70.637
INST0160_N15_W10_D003,23.331,0.0,33.728,0.0,23.331,0.0,110.354,40.204,0.0,17.238,0.0,61.567,23.331,17.238,33.728,33.728,20.56,33.728,36.679,57.051,110.354,23.331,110.354,33.728,12.767,57.051,23.331,57.051,127.423,36.679,110.354
INST0160_N15_W10_P004,22.951,17.238,37.156,17.238,22.951,17.238,117.595,50.631,17.238,0.0,17.238,67.612,22.951,0.0,37.156,37.156,32.905,37.156,50.317,43.046,117.595,22.951,117.595,37.156,25.201,43.046,22.951,43.046,133.769,50.317,117.595
