,depot,INST0044_N5_S14_P000,INST0044_N5_S14_D000,INST0044_N5_S14_P001,INST0044_N5_S14_D001,INST0044_N5_S14_P002,INST0044_N5_S14_D002,INST0044_N5_S14_P003,INST0044_N5_S14_D003,INST0044_N5_S14_P004,INST0044_N5_S14_D004
depot,0.0,44.339,58.699,7.008,58.699,58.699,89.072,65.452,58.699,7.008,122.952
INST0044_N5_S14_P000,44.339,0.0,102.776,41.761,102.776,102.776,103.829,54.903,102.776,41.761,134.327
INST0044_N5_S14_D000,58.699,102.776,0.0,62.898,0.0,0.0,93.449,113.511,0.0,62.898,123.443
INST0044_N5_S14_P001,7.008,41.761,62.898,0.0,62.898,62.898,95.708,58.521,62.898,0.0,129.526
INST0044_N5_S14_D001,58.699,102.776,0.0,62.898,0.0,0.0,93.449,113.511,0.0,62.898,123.443
INST0044_N5_S14_P002,58.699,102.776,0.0,62.898,0.0,0.0,93.449,113.511,0.0,62.898,123.443
INST0044_N5_S14_D002,89.072,103.829,93.449,95.708,93.449,93.449,0.0,150.208,93.449,95.708,33.969
INST0044_N5_S14_P003,65.452,54.903,113.511,58.521,113.511,113.511,150.208,0.0,113.511,58.521,183.035
INST0044_N5_S14_D003,58.699,102.776,0.0,62.898,0.0,0.0,93.449,113.511,0.0,62.898,123.443
INST0044_N5_S14_P004,7.008,41.761,62.898,0.0,62.898,62.898,95.708,58.521,62.898,0.0,129.526
INST0044_N5_S14_D004,122.952,134.327,123.443,129.526,123.443,123.443,33.969,183.035,123.443,129.526,0.0
