,depot,INST0201_N18_N21_P000,INST0201_N18_N21_D000,INST0201_N18_N21_P001,INST0201_N18_N21_D001,INST0201_N18_N21_P002,INST0201_N18_N21_D002,INST0201_N18_N21_P003,INST0201_N18_N21_D003,INST0201_N18_N21_P004,INST0201_N18_N21_D004,INST0201_N18_N21_P005,INST0201_N18_N21_D005,INST0201_N18_N21_P006,INST0201_N18_N21_D006,INST0201_N18_N21_P007,INST0201_N18_N21_D007,INST0201_N18_N21_P008,INST0201_N18_N21_D008,INST0201_N18_N21_P009,INST0201_N18_N21_D009,INST0201_N18_N21_P010,INST0201_N18_N21_D010,INST0201_N18_N21_P011,INST0201_N18_N21_D011,INST0201_N18_N21_P012,INST0201_N18_N21_D012,INST0201_N18_N21_P013,INST0201_N18_N21_D013,INST0201_N18_N21_P014,INST0201_N18_N21_D014,INST0201_N18_N21_P015,INST0201_N18_N21_D015,INST0201_N18_N21_P016,INST0201_N18_N21_D016,INST0201_N18_N21_P017,INST0201_N18_N21_D017
depot,0.0,35.534,100.436,23.461,28.616,17.254,113.8,23.353,100.436,64.86,0.0,64.86,0.0,0.0,35.534,28.616,81.17,35.534,19.671,23.353,19.671,20.683,19.671,17.254,28.616,23.461,132.815,0.0,125.319,17.254,81.17,19.671,132.815,17.254,113.8,17.254,23.461
INST0201_N18_N21_P000,35.534,0.0,93.214,27.709,35.653,18.283,143.5,30.471,93.214,82.833,35.534,82.833,35.534,35.534,0.0,35.653,47.339,0.0,18.791,30.471,18.791,40.266,18.791,18.283,35.653,27.709,122.278,35.534,131.141,18.283,47.339,18.791,122.278,18.283,143.5,18.283,27.709
INST0201_N18_N21_D000,100.436,93.214,0.0,78.292,122.247,95.136,206.878,77.555,0.0,65.084,100.436,65.084,100.436,100.436,93.214,122.247,85.106,93.214,87.958,77.555,87.958,81.189,87.958,95.136,122.247,78.292,32.884,100.436,222.229,95.136,85.106,87.958,32.884,95.136,206.878,95.136,78.292
INST0201_N18_N21_P001,23.461,27.709,78.292,0.0,44.646,18.229,136.742,2.788,78.292,55.435,23.461,55.435,23.461,23.461,27.709,44.646,64.236,27.709,11.477,2.788,11.477,13.942,11.477,18.229,44.646,0.0,110.207,23.461,144.673,18.229,64.236,11.477,110.207,18.229,136.742,18.229,0.0
INST0201_N18_N21_D001,28.616,35.653,122.247,44.646,0.0,27.111,110.202,46.06,122.247,93.371,28.616,93.371,28.616,28.616,35.653,0.0,81.232,35.653,34.294,46.06,34.294,48.052,34.294,27.111,0.0,44.646,153.371,28.616,100.108,27.111,81.232,34.294,153.371,27.111,110.202,27.111,44.646
INST0201_N18_N21_P002,17.254,18.283,95.136,18.229,27.111,0.0,127.973,20.176,95.136,71.779,17.254,71.779,17.254,17.254,18.283,27.111,64.45,18.283,7.201,20.176,7.201,26.126,7.201,0.0,27.111,18.229,126.352,17.254,127.166,0.0,64.45,7.201,126.352,0.0,127.973,0.0,18.229
INST0201_N18_N21_D002,113.8,143.5,206.878,136.742,110.202,127.973,0.0,135.971,206.878,149.304,113.8,149.304,113.8,113.8,143.5,110.202,190.666,143.5,132.823,135.971,132.823,128.231,132.823,127.973,110.202,136.742,239.676,113.8,102.687,127.973,190.666,132.823,239.676,127.973,0.0,127.973,136.742
INST0201_N18_N21_P003,23.353,30.471,77.555,2.788,46.06,20.176,135.971,0.0,77.555,52.8,23.353,52.8,23.353,23.353,30.471,46.06,66.572,30.471,13.759,0.0,13.759,11.436,13.759,20.176,46.06,2.788,109.689,23.353,145.919,20.176,66.572,13.759,109.689,20.176,135.971,20.176,2.788
INST0201_N18_N21_D003,100.436,93.214,0.0,78.292,122.247,95.136,206.878,77.555,0.0,65.084,100.436,65.084,100.436,100.436,93.214,122.247,85.106,93.214,87.958,77.555,87.958,81.189,87.958,95.136,122.247,78.292,32.884,100.436,222.229,95.136,85.106,87.958,32.884,95.136,206.878,95.136,78.292
INST0201_N18_N21_P004,64.86,82.833,65.084,55.435,93.371,71.779,149.304,52.8,65.084,0.0,64.86,0.0,64.86,64.86,82.833,93.371,107.477,82.833,66.32,52.8,66.32,46.019,66.32,71.779,93.371,55.435,95.428,64.86,187.822,71.779,107.477,66.32,95.428,71.779,149.304,71.779,55.435
