,depot,INST0101_N10_S11_P000,INST0101_N10_S11_D000,INST0101_N10_S11_P001,INST0101_N10_S11_D001,INST0101_N10_S11_P002,INST0101_N10_S11_D002,INST0101_N10_S11_P003,INST0101_N10_S11_D003,INST0101_N10_S11_P004,INST0101_N10_S11_D004,INST0101_N10_S11_P005,INST0101_N10_S11_D005,INST0101_N10_S11_P006,INST0101_N10_S11_D006,INST0101_N10_S11_P007,INST0101_N10_S11_D007,INST0101_N10_S11_P008,INST0101_N10_S11_D008,INST0101_N10_S11_P009,INST0101_N10_S11_D009
depot,0.0,24.954,32.298,32.298,24.954,65.388,145.321,37.715,24.954,21.517,32.298,65.388,37.715,21.517,145.321,65.388,0.0,21.517,65.388,65.388,21.478
INST0101_N10_S11_P000,24.954,0.0,44.339,44.339,0.0,59.003,134.327,54.903,0.0,19.488,44.339,59.003,54.903,19.488,134.327,59.003,24.954,19.488,59.003,59.003,36.46
INST0101_N10_S11_D000,32.298,44.339,0.0,0.0,44.339,43.838,122.952,65.452,44.339,25.439,0.0,43.838,65.452,25.439,122.952,43.838,32.298,25.439,43.838,43.838,10.881
INST0101_N10_S11_P001,32.298,44.339,0.0,0.0,44.339,43.838,122.952,65.452,44.339,25.439,0.0,43.838,65.452,25.439,122.952,43.838,32.298,25.439,43.838,43.838,10.881
INST0101_N10_S11_D001,24.954,0.0,44.339,44.339,0.0,59.003,134.327,54.903,0.0,19.488,44.339,59.003,54.903,19.488,134.327,59.003,24.954,19.488,59.003,59.003,36.46
INST0101_N10_S11_P002,65.388,59.003,43.838,43.838,59.003,0.0,80.368,103.002,59.003,45.002,43.838,0.0,103.002,45.002,80.368,0.0,65.388,45.002,0.0,0.0,50.526
INST0101_N10_S11_D002,145.321,134.327,122.952,122.952,134.327,80.368,0.0,183.035,134.327,124.222,122.952,80.368,183.035,124.222,0.0,80.368,145.321,124.222,80.368,80.368,130.689
INST0101_N10_S11_P003,37.715,54.903,65.452,65.452,54.903,103.002,183.035,0.0,54.903,59.019,65.452,103.002,0.0,59.019,183.035,103.002,37.715,59.019,103.002,103.002,55.179
INST0101_N10_S11_D003,24.954,0.0,44.339,44.339,0.0,59.003,134.327,54.903,0.0,19.488,44.339,59.003,54.903,19.488,134.327,59.003,24.954,19.488,59.003,59.003,36.46
INST0101_N10_S11_P004,21.517,19.488,25.439,25.439,19.488,45.002,124.222,59.019,19.488,0.0,25.439,45.002,59.019,0.0,124.222,45.002,21.517,0.0,45.002,45.002,19.629
INST0101_N10_S11_D004,32.298,44.339,0.0,0.0,44.339,43.838,122.952,65.452,44.339,25.439,0.0,43.838,65.452,25.439,122.952,43.838,32.298,25.439,43.838,43.838,10.881
INST0101_N10_S11_P005,65.388,59.003,43.838,43.838,59.003,0.0,80.368,103.002,59.003,45.002,43.838,0.0,103.002,45.002,80.368,0.0,65.388,45.002,0.0,0.0,50.526
INST0101_N10_S11_D005,37.715,54.903,65.452,65.452,54.903,103.002,183.035,0.0,54.903,59.019,65.452,103.002,0.0,59.019,183.035,103.002,37.715,59.019,103.002,103.002,55.179
INST0101_N10_S11_P006,21.517,19.488,25.439,25.439,19.488,45.002,124.222,59.019,19.488,0.0,25.439,45.002,59.019,0.0,124.222,45.002,21.517,0.0,45.002,45.002,19.629
INST0101_N10_S11_D006,145.321,134.327,122.952,122.952,134.327,80.368,0.0,183.035,134.327,124.222,122.952,80.368,183.035,124.222,0.0,80.368,145.321,124.222,80.368,80.368,130.689
INST0101_N10_S11_P007,65.388,59.003,43.838,43.838,59.003,0.0,80.368,103.002,59.003,45.002,43.838,0.0,103.002,45.002,80.368,0.0,65.388,45.002,0.0,0.0,50.526
INST0101_N10_S11_D007,0.0,24.954,32.298,32.298,24.954,65.388,145.321,37.715,24.954,21.517,32.298,65.388,37.715,21.517,145.321,65.388,0.0,21.517,65.388,65.388,21.478
INST0101_N10_S11_P008,21.517,19.488,25.439,25.439,19.488,45.002,124.222,59.019,19.488,0.0,25.439,45.002,59.019,0.0,124.222,45.002,21.517,0.0,45.002,45.002,19.629
INST0101_N10_S11_D008,65.388,59.003,43.838,43.838,59.003,0.0,80.368,103.002,59.003,45.002,43.838,0.0,103.002,45.002,80.368,0.0,65.388,45.002,0.0,0.0,50.526
INST0101_N10_S11_P009,65.388,59.003,43.838,43.838,59.003,0.0,80.368,103.002,59.003,45.002,43.838,0.0,103.002,45.002,80.368,0.0,65.388,45.002,0.0,0.0,50.526
INST0101_N10_S11_D009,21.478,36.46,10.881,10.881,36.46,50.526,130.689,55.179,36.46,19.629,10.881,50.526,55.179,19.629,130.689,50.526,21.478,19.629,50.526,50.526,0.0
