,depot,INST0073_N8_W13_P000,INST0073_N8_W13_D000,INST0073_N8_W13_P001,INST0073_N8_W13_D001,INST0073_N8_W13_P002,INST0073_N8_W13_D002,INST0073_N8_W13_P003,INST0073_N8_W13_D003,INST0073_N8_W13_P004,INST0073_N8_W13_D004,INST0073_N8_W13_P005,INST0073_N8_W13_D005,INST0073_N8_W13_P006,INST0073_N8_W13_D006,INST0073_N8_W13_P007,INST0073_N8_W13_D007
depot,0.0,97.602,70.637,97.602,142.787,70.637,133.671,0.0,97.602,97.602,0.0,18.026,110.354,97.602,18.026,70.637,50.015
INST0073_N8_W13_P000,97.602,0.0,27.496,0.0,45.89,27.496,36.098,97.602,0.0,0.0,97.602,114.719,12.767,0.0,114.719,27.496,49.056
INST0073_N8_W13_D000,70.637,27.496,0.0,27.496,72.151,0.0,63.48,70.637,27.496,27.496,70.637,88.095,40.204,27.496,88.095,0.0,24.909
INST0073_N8_W13_P001,97.602,0.0,27.496,0.0,45.89,27.496,36.098,97.602,0.0,0.0,97.602,114.719,12.767,0.0,114.719,27.496,49.056
INST0073_N8_W13_D001,142.787,45.89,72.151,45.89,0.0,72.151,14.369,142.787,45.89,45.89,142.787,160.194,33.728,45.89,160.194,72.151,94.929
INST0073_N8_W13_P002,70.637,27.496,0.0,27.496,72.151,0.0,63.48,70.637,27.496,27.496,70.637,88.095,40.204,27.496,88.095,0.0,24.909
INST0073_N8_W13_D002,133.671,36.098,63.48,36.098,14.369,63.48,0.0,133.671,36.098,36.098,133.671,150.679,23.331,36.098,150.679,63.48,84.648
INST0073_N8_W13_P003,0.0,97.602,70.637,97.602,142.787,70.637,133.671,0.0,97.602,97.602,0.0,18.026,110.354,97.602,18.026,70.637,50.015
INST0073_N8_W13_D003,97.602,0.0,27.496,0.0,45.89,27.496,36.098,97.602,0.0,0.0,97.602,114.719,12.767,0.0,114.719,27.496,49.056
INST0073_N8_W13_P004,97.602,0.0,27.496,0.0,45.89,27.496,36.098,97.602,0.0,0.0,97.602,114.719,12.767,0.0,114.719,27.496,49.056
INST0073_N8_W13_D004,0.0,97.602,70.637,97.602,142.787,70.637,133.671,0.0,97.602,97.602,0.0,18.026,110.354,97.602,18.026,70.637,50.015
INST0073_N8_W13_P005,18.026,114.719,88.095,114.719,160.194,88.095,150.679,18.026,114.719,114.719,18.026,0.0,127.423,114.719,0.0,88.095,66.284
INST0073_N8_W13_D005,110.354,12.767,40.204,12.767,33.728,40.204,23.331,110.354,12.767,12.767,110.354,127.423,0.0,12.767,127.423,40.204,61.567
INST0073_N8_W13_P006,97.602,0.0,27.496,0.0,45.89,27.496,36.098,97.602,0.0,0.0,97.602,114.719,12.767,0.0,114.719,27.496,49.056
INST0073_N8_W13_D006,18.026,114.719,88.095,114.719,160.194,88.095,150.679,18.026,114.719,114.719,18.026,0.0,127.423,114.719,0.0,88.095,66.284
INST0073_N8_W13_P007,70.637,27.496,0.0,27.496,72.151,0.0,63.48,70.637,27.496,27.496,70.637,88.095,40.204,27.496,88.095,0.0,24.909
INST0073_N8_W13_D007,50.015,49.056,24.909,49.056,94.929,24.909,84.648,50.015,49.056,49.056,50.015,66.284,61.567,49.056,66.284,24.909,0.0
