,depot,INST0172_N15_W22_P000,INST0172_N15_W22_D000,INST0172_N15_W22_P001,INST0172_N15_W22_D001,INST0172_N15_W22_P002,INST0172_N15_W22_D002,INST0172_N15_W22_P003,INST0172_N15_W22_D003,INST0172_N15_W22_P004,INST0172_N15_W22_D004,INST0172_N15_W22_P005,INST0172_N15_W22_D005,INST0172_N15_W22_P006,INST0172_N15_W22_D006,INST0172_N15_W22_P007,INST0172_N15_W22_D007,INST0172_N15_W22_P008,INST0172_N15_W22_D008,INST0172_N15_W22_P009,INST0172_N15_W22_D009,INST0172_N15_W22_P010,INST0172_N15_W22_D010,INST0172_N15_W22_P011,INST0172_N15_W22_D011,INST0172_N15_W22_P012,INST0172_N15_W22_D012,INST0172_N15_W22_P013,INST0172_N15_W22_D013,INST0172_N15_W22_P014,INST0172_N15_W22_D014
depot,0.0,77.687,32.905,20.02,75.699,17.435,124.166,32.905,53.818,0.0,77.687,32.905,17.435,32.905,141.804,29.878,75.699,0.0,32.905,20.02,32.905,17.435,0.0,53.818,77.687,17.435,53.818,29.878,0.0,20.56,124.166
INST0172_N15_W22_P000,77.687,0.0,67.612,84.648,70.587,86.82,50.015,67.612,24.909,77.687,0.0,67.612,86.82,67.612,66.284,49.056,70.587,77.687,67.612,84.648,67.612,86.82,77.687,24.909,0.0,86.82,24.909,49.056,77.687,61.567,50.015
INST0172_N15_W22_D000,32.905,67.612,0.0,22.951,43.046,50.317,117.595,0.0,50.631,32.905,67.612,0.0,50.317,0.0,133.769,25.201,43.046,32.905,0.0,22.951,0.0,50.317,32.905,50.631,67.612,50.317,50.631,25.201,32.905,17.238,117.595
INST0172_N15_W22_P001,20.02,84.648,22.951,0.0,64.294,35.228,133.671,22.951,63.48,20.02,84.648,22.951,35.228,22.951,150.679,36.098,64.294,20.02,22.951,0.0,22.951,35.228,20.02,63.48,84.648,35.228,63.48,36.098,20.02,23.331,133.671
INST0172_N15_W22_D001,75.699,70.587,43.046,64.294,0.0,92.961,115.643,43.046,68.471,75.699,70.587,43.046,92.961,43.046,128.123,56.961,0.0,75.699,43.046,64.294,43.046,92.961,75.699,68.471,70.587,92.961,68.471,56.961,75.699,57.051,115.643
INST0172_N15_W22_P002,17.435,86.82,50.317,35.228,92.961,0.0,129.907,50.317,61.972,17.435,86.82,50.317,0.0,50.317,147.866,43.098,92.961,17.435,50.317,35.228,50.317,0.0,17.435,61.972,86.82,0.0,61.972,43.098,17.435,36.679,129.907
INST0172_N15_W22_D002,124.166,50.015,117.595,133.671,115.643,129.907,0.0,117.595,70.637,124.166,50.015,117.595,129.907,117.595,18.026,97.602,115.643,124.166,117.595,133.671,117.595,129.907,124.166,70.637,50.015,129.907,70.637,97.602,124.166,110.354,0.0
INST0172_N15_W22_P003,32.905,67.612,0.0,22.951,43.046,50.317,117.595,0.0,50.631,32.905,67.612,0.0,50.317,0.0,133.769,25.201,43.046,32.905,0.0,22.951,0.0,50.317,32.905,50.631,67.612,50.317,50.631,25.201,32.905,17.238,117.595
INST0172_N15_W22_D003,53.818,24.909,50.631,63.48,68.471,61.972,70.637,50.631,0.0,53.818,24.909,50.631,61.972,50.631,88.095,27.496,68.471,53.818,50.631,63.48,50.631,61.972,53.818,0.0,24.909,61.972,0.0,27.496,53.818,40.204,70.637
INST0172_N15_W22_P004,0.0,77.687,32.905,20.02,75.699,17.435,124.166,32.905,53.818,0.0,77.687,32.905,17.435,32.905,141.804,29.878,75.699,0.0,32.905,20.02,32.905,17.435,0.0,53.818,77.687,17.435,53.818,29.878,0.0,20.56,124.166
INST0172_N15_W22_D004,77.687,0.0,67.612,84.648,70.587,86.82,50.015,67.612,24.909,77.687,0.0,67.612,86.82,67.612,66.284,49.056,70.587,77.687,67.612,84.648,67.612,86.82,77.687,24.909,0.0,86.82,24.909,49.056,77.687,61.567,50.015
INST0172_N15_W22_P005,32.905,67.612,0.0,22.951,43.046,50.317,117.595,0.0,50.631,32.905,67.612,0.0,50.317,0.0,133.769,25.201,43.046,32.905,0.0,22.951,0.0,50.317,32.905,50.631,67.612,50.317,50.631,25.201,32.905,17.238,117.595
INST0172_N15_W22_D005,17.435,86.82,50.317,35.228,92.961,0.0,129.907,50.317,61.972,17.435,86.82,50.317,0.0,50.317,147.866,43.098,92.961,17.435,50.317,35.228,50.317,0.0,17.435,61.972,86.82,0.0,61.972,43.098,17.435,36.679,129.907
INST0172_N15_W22_P006,32.905,67.612,0.0,22.951,43.046,50.317,117.595,0.0,50.631,32.905,67.612,0.0,50.317,0.0,133.769,25.201,43.046,32.905,0.0,22.951,0.0,50.317,32.905,50.631,67.612,50.317,50.631,25.201,32.905,17.238,117.595
INST0172_N15_W22_D006,141.804,66.284,133.769,150.679,128.123,147.866,18.026,133.769,88.095,141.804,66.284,133.769,147.866,133.769,0.0,114.719,128.123,141.804,133.769,150.679,133.769,147.866,141.804,88.095,66.284,147.866,88.095,114.719,141.804,127.423,18.026
INST0172_N15_W22_P007,29.878,49.056,25.201,36.098,56.961,43.098,97.602,25.201,27.496,29.878,49.056,25.201,43.098,25.201,114.719,0.0,56.961,29.878,25.201,36.098,25.201,43.098,29.878,27.496,49.056,43.098,27.496,0.0,29.878,12.767,97.602
