,depot,INST0237_N20_N27_P000,INST0237_N20_N27_D000,INST0237_N20_N27_P001,INST0237_N20_N27_D001,INST0237_N20_N27_P002,INST0237_N20_N27_D002,INST0237_N20_N27_P003,INST0237_N20_N27_D003,INST0237_N20_N27_P004,INST0237_N20_N27_D004,INST0237_N20_N27_P005,INST0237_N20_N27_D005,INST0237_N20_N27_P006,INST0237_N20_N27_D006,INST0237_N20_N27_P007,INST0237_N20_N27_D007,INST0237_N20_N27_P008,INST0237_N20_N27_D008,INST0237_N20_N27_P009,INST0237_N20_N27_D009,INST0237_N20_N27_P010,INST0237_N20_N27_D010,INST0237_N20_N27_P011,INST0237_N20_N27_D011,INST0237_N20_N27_P012,INST0237_N20_N27_D012,INST0237_N20_N27_P013,INST0237_N20_N27_D013,INST0237_N20_N27_P014,INST0237_N20_N27_D014,INST0237_N20_N27_P015,INST0237_N20_N27_D015,INST0237_N20_N27_P016,INST0237_N20_N27_D016,INST0237_N20_N27_P017,INST0237_N20_N27_D017,INST0237_N20_N27_P018,INST0237_N20_N27_D018,INST0237_N20_N27_P019,INST0237_N20_N27_D019
depot,0.0,27.709,47.339,27.709,0.0,0.0,82.833,35.653,35.534,18.283,131.141,0.0,30.471,18.791,93.214,40.266,143.5,30.471,35.534,35.534,18.283,18.283,35.534,0.0,40.266,47.339,40.266,35.653,40.266,18.791,30.471,47.339,82.833,40.266,18.791,40.266,18.791,18.283,27.709,35.534,18.791
INST0237_N20_N27_P000,27.709,0.0,64.236,0.0,27.709,27.709,55.435,44.646,23.461,18.229,144.673,27.709,2.788,11.477,78.292,13.942,136.742,2.788,23.461,23.461,18.229,18.229,23.461,27.709,13.942,64.236,13.942,44.646,13.942,11.477,2.788,64.236,55.435,13.942,11.477,13.942,11.477,18.229,0.0,23.461,11.477
INST0237_N20_N27_D000,47.339,64.236,0.0,64.236,47.339,47.339,107.477,81.232,81.17,64.45,165.945,47.339,66.572,61.784,85.106,77.99,190.666,66.572,81.17,81.17,64.45,64.45,81.17,47.339,77.99,0.0,77.99,81.232,77.99,61.784,66.572,0.0,107.477,77.99,61.784,77.99,61.784,64.45,64.236,81.17,61.784
INST0237_N20_N27_P001,27.709,0.0,64.236,0.0,27.709,27.709,55.435,44.646,23.461,18.229,144.673,27.709,2.788,11.477,78.292,13.942,136.742,2.788,23.461,23.461,18.229,18.229,23.461,27.709,13.942,64.236,13.942,44.646,13.942,11.477,2.788,64.236,55.435,13.942,11.477,13.942,11.477,18.229,0.0,23.461,11.477
INST0237_N20_N27_D001,0.0,27.709,47.339,27.709,0.0,0.0,82.833,35.653,35.534,18.283,131.141,0.0,30.471,18.791,93.214,40.266,143.5,30.471,35.534,35.534,18.283,18.283,35.534,0.0,40.266,47.339,40.266,35.653,40.266,18.791,30.471,47.339,82.833,40.266,18.791,40.266,18.791,18.283,27.709,35.534,18.791
INST0237_N20_N27_P002,0.0,27.709,47.339,27.709,0.0,0.0,82.833,35.653,35.534,18.283,131.141,0.0,30.471,18.791,93.214,40.266,143.5,30.471,35.534,35.534,18.283,18.283,35.534,0.0,40.266,47.339,40.266,35.653,40.266,18.791,30.471,47.339,82.833,40.266,18.791,40.266,18.791,18.283,27.709,35.534,18.791
INST0237_N20_N27_D002,82.833,55.435,107.477,55.435,82.833,82.833,0.0,93.371,64.86,71.779,187.822,82.833,52.8,66.32,65.084,46.019,149.304,52.8,64.86,64.86,71.779,71.779,64.86,82.833,46.019,107.477,46.019,93.371,46.019,66.32,52.8,107.477,0.0,46.019,66.32,46.019,66.32,71.779,55.435,64.86,66.32
INST0237_N20_N27_P003,35.653,44.646,81.232,44.646,35.653,35.653,93.371,0.0,28.616,27.111,100.108,35.653,46.06,34.294,122.247,48.052,110.202,46.06,28.616,28.616,27.111,27.111,28.616,35.653,48.052,81.232,48.052,0.0,48.052,34.294,46.06,81.232,93.371,48.052,34.294,48.052,34.294,27.111,44.646,28.616,34.294
INST0237_N20_N27_D003,35.534,23.461,81.17,23.461,35.534,35.534,64.86,28.616,0.0,17.254,125.319,35.534,23.353,19.671,100.436,20.683,113.8,23.353,0.0,0.0,17.254,17.254,0.0,35.534,20.683,81.17,20.683,28.616,20.683,19.671,23.353,81.17,64.86,20.683,19.671,20.683,19.671,17.254,23.461,0.0,19.671
INST0237_N20_N27_P004,18.283,18.229,64.45,18.229,18.283,18.283,71.779,27.111,17.254,0.0,127.166,18.283,20.176,7.201,95.136,26.126,127.973,20.176,17.254,17.254,0.0,0.0,17.254,18.283,26.126,64.45,26.126,27.111,26.126,7.201,20.176,64.45,71.779,26.126,7.201,26.126,7.201,0.0,18.229,17.254,7.201
