,depot,INST0141_N12_N21_P000,INST0141_N12_N21_D000,INST0141_N12_N21_P001,INST0141_N12_N21_D001,INST0141_N12_N21_P002,INST0141_N12_N21_D002,INST0141_N12_N21_P003,INST0141_N12_N21_D003,INST0141_N12_N21_P004,INST0141_N12_N21_D004,INST0141_N12_N21_P005,INST0141_N12_N21_D005,INST0141_N12_N21_P006,INST0141_N12_N21_D006,INST0141_N12_N21_P007,INST0141_N12_N21_D007,INST0141_N12_N21_P008,INST0141_N12_N21_D008,INST0141_N12_N21_P009,INST0141_N12_N21_D009,INST0141_N12_N21_P010,INST0141_N12_N21_D010,INST0141_N12_N21_P011,INST0141_N12_N21_D011
depot,0.0,25.326,122.983,28.727,35.041,21.127,162.63,21.127,153.452,79.42,28.727,28.595,35.041,43.511,28.727,0.0,28.727,25.326,79.42,24.088,28.595,28.727,25.326,25.326,28.727
INST0141_N12_N21_P000,25.326,0.0,99.415,17.072,58.839,31.992,139.481,31.992,178.773,56.35,17.072,14.003,58.839,49.306,17.072,25.326,17.072,0.0,56.35,26.694,14.003,17.072,0.0,0.0,17.072
INST0141_N12_N21_D000,122.983,99.415,0.0,95.867,149.69,116.493,40.266,116.493,272.117,79.694,95.867,94.965,149.69,114.14,95.867,122.983,95.867,99.415,79.694,107.703,94.965,95.867,99.415,99.415,95.867
INST0141_N12_N21_P001,28.727,17.072,95.867,0.0,54.669,22.322,134.948,22.322,177.15,67.88,0.0,3.413,54.669,33.929,0.0,28.727,0.0,17.072,67.88,14.053,3.413,0.0,17.072,17.072,0.0
INST0141_N12_N21_D001,35.041,58.839,149.69,54.669,0.0,33.197,187.802,33.197,122.582,114.332,54.669,56.4,0.0,43.657,54.669,35.041,54.669,58.839,114.332,41.993,56.4,54.669,58.839,58.839,54.669
INST0141_N12_N21_P002,21.127,31.992,116.493,22.322,33.197,0.0,154.717,0.0,155.714,87.893,22.322,24.705,33.197,22.387,22.322,21.127,22.322,31.992,87.893,8.817,24.705,22.322,31.992,31.992,22.322
INST0141_N12_N21_D002,162.63,139.481,40.266,134.948,187.802,154.717,0.0,154.717,309.6,116.851,134.948,134.313,187.802,149.729,134.948,162.63,134.948,139.481,116.851,146.035,134.313,134.948,139.481,139.481,134.948
INST0141_N12_N21_P003,21.127,31.992,116.493,22.322,33.197,0.0,154.717,0.0,155.714,87.893,22.322,24.705,33.197,22.387,22.322,21.127,22.322,31.992,87.893,8.817,24.705,22.322,31.992,31.992,22.322
INST0141_N12_N21_D003,153.452,178.773,272.117,177.15,122.582,155.714,309.6,155.714,0.0,229.986,177.15,178.677,122.582,160.581,177.15,153.452,177.15,178.773,229.986,164.529,178.677,177.15,178.773,178.773,177.15
INST0141_N12_N21_P004,79.42,56.35,79.694,67.88,114.332,87.893,116.851,87.893,229.986,0.0,67.88,64.653,114.332,101.428,67.88,79.42,67.88,56.35,0.0,81.208,64.653,67.88,56.35,56.35,67.88
INST0141_N12_N21_D004,28.727,17.072,95.867,0.0,54.669,22.322,134.948,22.322,177.15,67.88,0.0,3.413,54.669,33.929,0.0,28.727,0.0,17.072,67.88,14.053,3.413,0.0,17.072,17.072,0.0
INST0141_N12_N21_P005,28.595,14.003,94.965,3.413,56.4,24.705,134.313,24.705,178.677,64.653,3.413,0.0,56.4,37.312,3.413,28.595,3.413,14.003,64.653,16.848,0.0,3.413,14.003,14.003,3.413
INST0141_N12_N21_D005,35.041,58.839,149.69,54.669,0.0,33.197,187.802,33.197,122.582,114.332,54.669,56.4,0.0,43.657,54.669,35.041,54.669,58.839,114.332,41.993,56.4,54.669,58.839,58.839,54.669
INST0141_N12_N21_P006,43.511,49.306,114.14,33.929,43.657,22.387,149.729,22.387,160.581,101.428,33.929,37.312,43.657,0.0,33.929,43.511,33.929,49.306,101.428,23.01,37.312,33.929,49.306,49.306,33.929
INST0141_N12_N21_D006,28.727,17.072,95.867,0.0,54.669,22.322,134.948,22.322,177.15,67.88,0.0,3.413,54.669,33.929,0.0,28.727,0.0,17.072,67.88,14.053,3.413,0.0,17.072,17.072,0.0
INST0141_N12_N21_P007,0.0,25.326,122.983,28.727,35.041,21.127,162.63,21.127,153.452,79.42,28.727,28.595,35.041,43.511,28.727,0.0,28.727,25.326,79.42,24.088,28.595,28.727,25.326,25.326,28.727
INST0141_N12_N21_D007,28.727,17.072,95.867,0.0,54.669,22.322,134.948,22.322,177.15,67.88,0.0,3.413,54.669,33.929,0.0,28.727,0.0,17.072,67.88,14.053,3.413,0.0,17.072,17.072,0.0
INST0141_N12_N21_P008,25.326,0.0,99.415,17.072,58.839,31.992,139.481,31.992,178.773,56.35,17.072,14.003,58.839,49.306,17.072,25.326,17.072,0.0,56.35,26.694,14.003,17.072,0.0,0.0,17.072
INST0141_N12_N21_D008,79.42,56.35,79.694,67.88,114.332,87.893,116.851,87.893,229.986,0.0,67.88,64.653,114.332,101.428,67.88,79.42,67.88,56.35,0.0,81.208,64.653,67.88,56.35,56.35,67.88
INST0141_N12_N21_P009,24.088,26.694,107.703,14.053,41.993,8.817,146.035,8.817,164.529,81.208,14.053,16.848,41.993,23.01,14.053,24.088,14.053,26.694,81.208,0.0,16.848,14.053,26.694,26.694,14.053
INST0141_N12_N21_D009,28.595,14.003,94.965,3.413,56.4,24.705,134.313,24.705,178.677,64.653,3.413,0.0,56.4,37.312,3.413,28.595,3.413,14.003,64.653,16.848,0.0,3.413,14.003,14.003,3.413
INST0141_N12_N21_P010,28.727,17.072,95.867,0.0,54.669,22.322,134.948,22.322,177.15,67.88,0.0,3.413,54.669,33.929,0.0,28.727,0.0,17.072,67.88,14.053,3.413,0.0,17.072,17.072,0.0
INST0141_N12_N21_D010,25.326,0.0,99.415,17.072,58.839,31.992,139.481,31.992,178.773,56.35,17.072,14.003,58.839,49.306,17.072,25.326,17.072,0.0,56.35,26.694,14.003,17.072,0.0,0.0,17.072
INST0141_N12_N21_P011,25.326,0.0,99.415,17.072,58.839,31.992,139.481,31.992,178.773,56.35,17.072,14.003,58.839,49.306,17.072,25.326,17.072,0.0,56.35,26.694,14.003,17.072,0.0,0.0,17.072
INST0141_N12_N21_D011,28.727,17.072,95.867,0.0,54.669,22.322,134.948,22.322,177.15,67.88,0.0,3.413,54.669,33.929,0.0,28.727,0.0,17.072,67.88,14.053,3.413,0.0,17.072,17.072,0.0
