,depot,INST0069_N8_N09_P000,INST0069_N8_N09_D000,INST0069_N8_N09_P001,INST0069_N8_N09_D001,INST0069_N8_N09_P002,INST0069_N8_N09_D002,INST0069_N8_N09_P003,INST0069_N8_N09_D003,INST0069_N8_N09_P004,INST0069_N8_N09_D004,INST0069_N8_N09_P005,INST0069_N8_N09_D005,INST0069_N8_N09_P006,INST0069_N8_N09_D006,INST0069_N8_N09_P007,INST0069_N8_N09_D007
depot,0.0,41.993,58.839,43.657,33.197,33.197,0.0,0.0,43.657,56.4,99.467,0.0,58.839,41.993,35.041,33.197,54.669
INST0069_N8_N09_P000,41.993,0.0,26.694,23.01,8.817,8.817,41.993,41.993,23.01,16.848,75.654,41.993,26.694,0.0,24.088,8.817,14.053
INST0069_N8_N09_D000,58.839,26.694,0.0,49.306,31.992,31.992,58.839,58.839,49.306,14.003,95.498,58.839,0.0,26.694,25.326,31.992,17.072
INST0069_N8_N09_P001,43.657,23.01,49.306,0.0,22.387,22.387,43.657,43.657,0.0,37.312,57.966,43.657,49.306,23.01,43.511,22.387,33.929
INST0069_N8_N09_D001,33.197,8.817,31.992,22.387,0.0,0.0,33.197,33.197,22.387,24.705,78.919,33.197,31.992,8.817,21.127,0.0,22.322
INST0069_N8_N09_P002,33.197,8.817,31.992,22.387,0.0,0.0,33.197,33.197,22.387,24.705,78.919,33.197,31.992,8.817,21.127,0.0,22.322
INST0069_N8_N09_D002,0.0,41.993,58.839,43.657,33.197,33.197,0.0,0.0,43.657,56.4,99.467,0.0,58.839,41.993,35.041,33.197,54.669
INST0069_N8_N09_P003,0.0,41.993,58.839,43.657,33.197,33.197,0.0,0.0,43.657,56.4,99.467,0.0,58.839,41.993,35.041,33.197,54.669
INST0069_N8_N09_D003,43.657,23.01,49.306,0.0,22.387,22.387,43.657,43.657,0.0,37.312,57.966,43.657,49.306,23.01,43.511,22.387,33.929
INST0069_N8_N09_P004,56.4,16.848,14.003,37.312,24.705,24.705,56.4,56.4,37.312,0.0,81.517,56.4,14.003,16.848,28.595,24.705,3.413
INST0069_N8_N09_D004,99.467,75.654,95.498,57.966,78.919,78.919,99.467,99.467,57.966,81.517,0.0,99.467,95.498,75.654,99.392,78.919,78.656
INST0069_N8_N09_P005,0.0,41.993,58.839,43.657,33.197,33.197,0.0,0.0,43.657,56.4,99.467,0.0,58.839,41.993,35.041,33.197,54.669
INST0069_N8_N09_D005,58.839,26.694,0.0,49.306,31.992,31.992,58.839,58.839,49.306,14.003,95.498,58.839,0.0,26.694,25.326,31.992,17.072
INST0069_N8_N09_P006,41.993,0.0,26.694,23.01,8.817,8.817,41.993,41.993,23.01,16.848,75.654,41.993,26.694,0.0,24.088,8.817,14.053
INST0069_N8_N09_D006,35.041,24.088,25.326,43.511,21.127,21.127,35.041,35.041,43.511,28.595,99.392,35.041,25.326,24.088,0.0,21.127,28.727
INST0069_N8_N09_P007,33.197,8.817,31.992,22.387,0.0,0.0,33.197,33.197,22.387,24.705,78.919,33.197,31.992,8.817,21.127,0.0,22.322
INST0069_N8_N09_D007,54.669,14.053,17.072,33.929,22.322,22.322,54.669,54.669,33.929,3.413,78.656,54.669,17.072,14.053,28.727,22.322,0.0
