,depot,INST0248_N22_S08_P000,INST0248_N22_S08_D000,INST0248_N22_S08_P001,INST0248_N22_S08_D001,INST0248_N22_S08_P002,INST0248_N22_S08_D002,INST0248_N22_S08_P003,INST0248_N22_S08_D003,INST0248_N22_S08_P004,INST0248_N22_S08_D004,INST0248_N22_S08_P005,INST0248_N22_S08_D005,INST0248_N22_S08_P006,INST0248_N22_S08_D006,INST0248_N22_S08_P007,INST0248_N22_S08_D007,INST0248_N22_S08_P008,INST0248_N22_S08_D008,INST0248_N22_S08_P009,INST0248_N22_S08_D009,INST0248_N22_S08_P010,INST0248_N22_S08_D010,INST0248_N22_S08_P011,INST0248_N22_S08_D011,INST0248_N22_S08_P012,INST0248_N22_S08_D012,INST0248_N22_S08_P013,INST0248_N22_S08_D013,INST0248_N22_S08_P014,INST0248_N22_S08_D014,INST0248_N22_S08_P015,INST0248_N22_S08_D015,INST0248_N22_S08_P016,INST0248_N22_S08_D016,INST0248_N22_S08_P017,INST0248_N22_S08_D017,INST0248_N22_S08_P018,INST0248_N22_S08_D018,INST0248_N22_S08_P019,INST0248_N22_S08_D019,INST0248_N22_S08_P020,INST0248_N22_S08_D020,INST0248_N22_S08_P021,INST0248_N22_S08_D021
depot,0.0,60.745,58.521,60.745,5.477,26.505,49.927,41.761,58.521,24.239,41.761,24.239,95.708,26.505,60.745,49.927,62.898,58.521,5.477,5.477,24.239,0.0,60.745,7.008,95.708,41.761,49.927,26.505,58.521,60.745,7.008,49.927,58.521,26.505,5.477,24.239,5.477,5.477,60.745,49.927,26.505,62.898,60.745,41.761,58.521
INST0248_N22_S08_P000,60.745,0.0,113.587,0.0,61.394,75.908,10.867,67.889,113.587,55.171,67.889,55.171,36.733,75.908,0.0,10.867,77.092,113.587,61.394,61.394,55.171,60.745,0.0,54.565,36.733,67.889,10.867,75.908,113.587,0.0,54.565,10.867,113.587,75.908,61.394,55.171,61.394,61.394,0.0,10.867,75.908,77.092,0.0,67.889,113.587
INST0248_N22_S08_D000,58.521,113.587,0.0,113.587,55.179,37.715,103.002,54.903,0.0,59.019,54.903,59.019,150.208,37.715,113.587,103.002,113.511,0.0,55.179,55.179,59.019,58.521,113.587,65.452,150.208,54.903,103.002,37.715,0.0,113.587,65.452,103.002,0.0,37.715,55.179,59.019,55.179,55.179,113.587,103.002,37.715,113.511,113.587,54.903,0.0
INST0248_N22_S08_P001,60.745,0.0,113.587,0.0,61.394,75.908,10.867,67.889,113.587,55.171,67.889,55.171,36.733,75.908,0.0,10.867,77.092,113.587,61.394,61.394,55.171,60.745,0.0,54.565,36.733,67.889,10.867,75.908,113.587,0.0,54.565,10.867,113.587,75.908,61.394,55.171,61.394,61.394,0.0,10.867,75.908,77.092,0.0,67.889,113.587
INST0248_N22_S08_D001,5.477,61.394,55.179,61.394,0.0,21.478,50.526,36.46,55.179,19.629,36.46,19.629,97.061,21.478,61.394,50.526,68.319,55.179,0.0,0.0,19.629,5.477,61.394,10.881,97.061,36.46,50.526,21.478,55.179,61.394,10.881,50.526,55.179,21.478,0.0,19.629,0.0,0.0,61.394,50.526,21.478,68.319,61.394,36.46,55.179
INST0248_N22_S08_P002,26.505,75.908,37.715,75.908,21.478,0.0,65.388,24.954,37.715,21.517,24.954,21.517,112.576,0.0,75.908,65.388,88.975,37.715,21.478,21.478,21.517,26.505,75.908,32.298,112.576,24.954,65.388,0.0,37.715,75.908,32.298,65.388,37.715,0.0,21.478,21.517,21.478,21.478,75.908,65.388,0.0,88.975,75.908,24.954,37.715
INST0248_N22_S08_D002,49.927,10.867,103.002,10.867,50.526,65.388,0.0,59.003,103.002,45.002,59.003,45.002,47.206,65.388,10.867,0.0,71.865,103.002,50.526,50.526,45.002,49.927,10.867,43.838,47.206,59.003,0.0,65.388,103.002,10.867,43.838,0.0,103.002,65.388,50.526,45.002,50.526,50.526,10.867,0.0,65.388,71.865,10.867,59.003,103.002
INST0248_N22_S08_P003,41.761,67.889,54.903,67.889,36.46,24.954,59.003,0.0,54.903,19.488,0.0,19.488,103.829,24.954,67.889,59.003,102.776,54.903,36.46,36.46,19.488,41.761,67.889,44.339,103.829,0.0,59.003,24.954,54.903,67.889,44.339,59.003,54.903,24.954,36.46,19.488,36.46,36.46,67.889,59.003,24.954,102.776,67.889,0.0,54.903
INST0248_N22_S08_D003,58.521,113.587,0.0,113.587,55.179,37.715,103.002,54.903,0.0,59.019,54.903,59.019,150.208,37.715,113.587,103.002,113.511,0.0,55.179,55.179,59.019,58.521,113.587,65.452,150.208,54.903,103.002,37.715,0.0,113.587,65.452,103.002,0.0,37.715,55.179,59.019,55.179,55.179,113.587,103.002,37.715,113.511,113.587,54.903,0.0
INST0248_N22_S08_P004,24.239,55.171,59.019,55.171,19.629,21.517,45.002,19.488,59.019,0.0,19.488,0.0,91.902,21.517,55.171,45.002,83.416,59.019,19.629,19.629,0.0,24.239,55.171,25.439,91.902,19.488,45.002,21.517,59.019,55.171,25.439,45.002,59.019,21.517,19.629,0.0,19.629,19.629,55.171,45.002,21.517,83.416,55.171,19.488,59.019
INST0248_N22_S08_D004,41.761,67.889,54.903,67.889,36.46,24.954,59.003,0.0,54.903,19.488,0.0,19.488,103.829,24.954,67.889,59.003,102.776,54.903,36.46,36.46,19.488,41.761,67.889,44.339,103.829,0.0,59.003,24.954,54.903,67.889,44.339,59.003,54.903,24.954,36.46,19.488,36.46,36.46,67.889,59.003,24.954,102.776,67.889,0.0,54.903
INST0248_N22_S08_P005,24.239,55.171,59.019,55.171,19.629,21.517,45.002,19.488,59.019,0.0,19.488,0.0,91.902,21.517,55.171,45.002,83.416,59.019,19.629,19.629,0.0,24.239,55.171,25.439,91.902,19.488,45.002,21.517,59.019,55.171,25.439,45.002,59.019,21.517,19.629,0.0,19.629,19.629,55.171,45.002,21.517,83.416,55.171,19.488,59.019
