,depot,INST0297_N25_N27_P000,INST0297_N25_N27_D000,INST0297_N25_N27_P001,INST0297_N25_N27_D001,INST0297_N25_N27_P002,INST0297_N25_N27_D002,INST0297_N25_N27_P003,INST0297_N25_N27_D003,INST0297_N25_N27_P004,INST0297_N25_N27_D004,INST0297_N25_N27_P005,INST0297_N25_N27_D005,INST0297_N25_N27_P006,INST0297_N25_N27_D006,INST0297_N25_N27_P007,INST0297_N25_N27_D007,INST0297_N25_N27_P008,INST0297_N25_N27_D008,INST0297_N25_N27_P009,INST0297_N25_N27_D009,INST0297_N25_N27_P010,INST0297_N25_N27_D010,INST0297_N25_N27_P011,INST0297_N25_N27_D011,INST0297_N25_N27_P012,INST0297_N25_N27_D012,INST0297_N25_N27_P013,INST0297_N25_N27_D013,INST0297_N25_N27_P014,INST0297_N25_N27_D014,INST0297_N25_N27_P015,INST0297_N25_N27_D015,INST0297_N25_N27_P016,INST0297_N25_N27_D016,INST0297_N25_N27_P017,INST0297_N25_N27_D017,INST0297_N25_N27_P018,INST0297_N25_N27_D018,INST0297_N25_N27_P019,INST0297_N25_N27_D019,INST0297_N25_N27_P020,INST0297_N25_N27_D020,INST0297_N25_N27_P021,INST0297_N25_N27_D021,INST0297_N25_N27_P022,INST0297_N25_N27_D022,INST0297_N25_N27_P023,INST0297_N25_N27_D023,INST0297_N25_N27_P024,INST0297_N25_N27_D024
depot,0.0,49.306,43.511,57.966,22.387,43.657,22.387,37.312,43.657,43.657,160.581,43.511,43.657,57.966,149.729,43.657,22.387,49.306,22.387,22.387,175.714,37.312,57.966,33.929,49.306,43.511,57.966,22.387,43.657,49.306,23.01,0.0,101.428,0.0,49.306,43.511,114.14,49.306,149.729,43.657,37.312,37.312,101.428,43.511,175.714,37.312,149.729,43.511,101.428,37.312,101.428
INST0297_N25_N27_P000,49.306,0.0,25.326,95.498,31.992,58.839,31.992,14.003,58.839,58.839,178.773,25.326,58.839,95.498,139.481,58.839,31.992,0.0,31.992,31.992,157.017,14.003,95.498,17.072,0.0,25.326,95.498,31.992,58.839,0.0,26.694,49.306,56.35,49.306,0.0,25.326,99.415,0.0,139.481,58.839,14.003,14.003,56.35,25.326,157.017,14.003,139.481,25.326,56.35,14.003,56.35
INST0297_N25_N27_D000,43.511,25.326,0.0,99.392,21.127,35.041,21.127,28.595,35.041,35.041,153.452,0.0,35.041,99.392,162.63,35.041,21.127,25.326,21.127,21.127,139.347,28.595,99.392,28.727,25.326,0.0,99.392,21.127,35.041,25.326,24.088,43.511,79.42,43.511,25.326,0.0,122.983,25.326,162.63,35.041,28.595,28.595,79.42,0.0,139.347,28.595,162.63,0.0,79.42,28.595,79.42
INST0297_N25_N27_P001,57.966,95.498,99.392,0.0,78.919,99.467,78.919,81.517,99.467,99.467,203.198,99.392,99.467,0.0,127.812,99.467,78.919,95.498,78.919,78.919,233.468,81.517,0.0,78.656,95.498,99.392,0.0,78.919,99.467,95.498,75.654,57.966,131.605,57.966,95.498,99.392,104.211,95.498,127.812,99.467,81.517,81.517,131.605,99.392,233.468,81.517,127.812,99.392,131.605,81.517,131.605
INST0297_N25_N27_D001,22.387,31.992,21.127,78.919,0.0,33.197,0.0,24.705,33.197,33.197,155.714,21.127,33.197,78.919,154.717,33.197,0.0,31.992,0.0,0.0,156.702,24.705,78.919,22.322,31.992,21.127,78.919,0.0,33.197,31.992,8.817,22.387,87.893,22.387,31.992,21.127,116.493,31.992,154.717,33.197,24.705,24.705,87.893,21.127,156.702,24.705,154.717,21.127,87.893,24.705,87.893
INST0297_N25_N27_P002,43.657,58.839,35.041,99.467,33.197,0.0,33.197,56.4,0.0,0.0,122.582,35.041,0.0,99.467,187.802,0.0,33.197,58.839,33.197,33.197,134.941,56.4,99.467,54.669,58.839,35.041,99.467,33.197,0.0,58.839,41.993,43.657,114.332,43.657,58.839,35.041,149.69,58.839,187.802,0.0,56.4,56.4,114.332,35.041,134.941,56.4,187.802,35.041,114.332,56.4,114.332
INST0297_N25_N27_D002,22.387,31.992,21.127,78.919,0.0,33.197,0.0,24.705,33.197,33.197,155.714,21.127,33.197,78.919,154.717,33.197,0.0,31.992,0.0,0.0,156.702,24.705,78.919,22.322,31.992,21.127,78.919,0.0,33.197,31.992,8.817,22.387,87.893,22.387,31.992,21.127,116.493,31.992,154.717,33.197,24.705,24.705,87.893,21.127,156.702,24.705,154.717,21.127,87.893,24.705,87.893
INST0297_N25_N27_P003,37.312,14.003,28.595,81.517,24.705,56.4,24.705,0.0,56.4,56.4,178.677,28.595,56.4,81.517,134.313,56.4,24.705,14.003,24.705,24.705,166.496,0.0,81.517,3.413,14.003,28.595,81.517,24.705,56.4,14.003,16.848,37.312,64.653,37.312,14.003,28.595,94.965,14.003,134.313,56.4,0.0,0.0,64.653,28.595,166.496,0.0,134.313,28.595,64.653,0.0,64.653
INST0297_N25_N27_D003,43.657,58.839,35.041,99.467,33.197,0.0,33.197,56.4,0.0,0.0,122.582,35.041,0.0,99.467,187.802,0.0,33.197,58.839,33.197,33.197,134.941,56.4,99.467,54.669,58.839,35.041,99.467,33.197,0.0,58.839,41.993,43.657,114.332,43.657,58.839,35.041,149.69,58.839,187.802,0.0,56.4,56.4,114.332,35.041,134.941,56.4,187.802,35.041,114.332,56.4,114.332
INST0297_N25_N27_P004,43.657,58.839,35.041,99.467,33.197,0.0,33.197,56.4,0.0,0.0,122.582,35.041,0.0,99.467,187.802,0.0,33.197,58.839,33.197,33.197,134.941,56.4,99.467,54.669,58.839,35.041,99.467,33.197,0.0,58.839,41.993,43.657,114.332,43.657,58.839,35.041,149.69,58.839,187.802,0.0,56.4,56.4,114.332,35.041,134.941,56.4,187.802,35.041,114.332,56.4,114.332
