,depot,INST0195_N18_N15_P000,INST0195_N18_N15_D000,INST0195_N18_N15_P001,INST0195_N18_N15_D001,INST0195_N18_N15_P002,INST0195_N18_N15_D002,INST0195_N18_N15_P003,INST0195_N18_N15_D003,INST0195_N18_N15_P004,INST0195_N18_N15_D004,INST0195_N18_N15_P005,INST0195_N18_N15_D005,INST0195_N18_N15_P006,INST0195_N18_N15_D006,INST0195_N18_N15_P007,INST0195_N18_N15_D007,INST0195_N18_N15_P008,INST0195_N18_N15_D008,INST0195_N18_N15_P009,INST0195_N18_N15_D009,INST0195_N18_N15_P010,INST0195_N18_N15_D010,INST0195_N18_N15_P011,INST0195_N18_N15_D011,INST0195_N18_N15_P012,INST0195_N18_N15_D012,INST0195_N18_N15_P013,INST0195_N18_N15_D013,INST0195_N18_N15_P014,INST0195_N18_N15_D014,INST0195_N18_N15_P015,INST0195_N18_N15_D015,INST0195_N18_N15_P016,INST0195_N18_N15_D016,INST0195_N18_N15_P017,INST0195_N18_N15_D017
depot,0.0,41.993,75.654,16.848,107.703,26.694,162.641,0.0,14.053,41.993,75.654,75.654,24.088,23.01,146.035,41.993,24.088,26.694,8.817,0.0,41.993,14.053,0.0,16.848,41.993,81.208,24.088,26.694,23.01,8.817,164.529,0.0,107.703,75.654,26.694,23.01,16.848
INST0195_N18_N15_P000,41.993,0.0,99.467,56.4,149.69,58.839,134.941,41.993,54.669,0.0,99.467,99.467,35.041,43.657,187.802,0.0,35.041,58.839,33.197,41.993,0.0,54.669,41.993,56.4,0.0,114.332,35.041,58.839,43.657,33.197,122.582,41.993,149.69,99.467,58.839,43.657,56.4
INST0195_N18_N15_D000,75.654,99.467,0.0,81.517,104.211,95.498,233.468,75.654,78.656,99.467,0.0,0.0,99.392,57.966,127.812,99.467,99.392,95.498,78.919,75.654,99.467,78.656,75.654,81.517,99.467,131.605,99.392,95.498,57.966,78.919,203.198,75.654,104.211,0.0,95.498,57.966,81.517
INST0195_N18_N15_P001,16.848,56.4,81.517,0.0,94.965,14.003,166.496,16.848,3.413,56.4,81.517,81.517,28.595,37.312,134.313,56.4,28.595,14.003,24.705,16.848,56.4,3.413,16.848,0.0,56.4,64.653,28.595,14.003,37.312,24.705,178.677,16.848,94.965,81.517,14.003,37.312,0.0
INST0195_N18_N15_D001,107.703,149.69,104.211,94.965,0.0,99.415,253.32,107.703,95.867,149.69,104.211,104.211,122.983,114.14,40.266,149.69,122.983,99.415,116.493,107.703,149.69,95.867,107.703,94.965,149.69,79.694,122.983,99.415,114.14,116.493,272.117,107.703,0.0,104.211,99.415,114.14,94.965
INST0195_N18_N15_P002,26.694,58.839,95.498,14.003,99.415,0.0,157.017,26.694,17.072,58.839,95.498,95.498,25.326,49.306,139.481,58.839,25.326,0.0,31.992,26.694,58.839,17.072,26.694,14.003,58.839,56.35,25.326,0.0,49.306,31.992,178.773,26.694,99.415,95.498,0.0,49.306,14.003
INST0195_N18_N15_D002,162.641,134.941,233.468,166.496,253.32,157.017,0.0,162.641,167.44,134.941,233.468,233.468,139.347,175.714,293.481,134.941,139.347,157.017,156.702,162.641,134.941,167.44,162.641,166.496,134.941,182.822,139.347,157.017,175.714,156.702,125.74,162.641,253.32,233.468,157.017,175.714,166.496
INST0195_N18_N15_P003,0.0,41.993,75.654,16.848,107.703,26.694,162.641,0.0,14.053,41.993,75.654,75.654,24.088,23.01,146.035,41.993,24.088,26.694,8.817,0.0,41.993,14.053,0.0,16.848,41.993,81.208,24.088,26.694,23.01,8.817,164.529,0.0,107.703,75.654,26.694,23.01,16.848
INST0195_N18_N15_D003,14.053,54.669,78.656,3.413,95.867,17.072,167.44,14.053,0.0,54.669,78.656,78.656,28.727,33.929,134.948,54.669,28.727,17.072,22.322,14.053,54.669,0.0,14.053,3.413,54.669,67.88,28.727,17.072,33.929,22.322,177.15,14.053,95.867,78.656,17.072,33.929,3.413
INST0195_N18_N15_P004,41.993,0.0,99.467,56.4,149.69,58.839,134.941,41.993,54.669,0.0,99.467,99.467,35.041,43.657,187.802,0.0,35.041,58.839,33.197,41.993,0.0,54.669,41.993,56.4,0.0,114.332,35.041,58.839,43.657,33.197,122.582,41.993,149.69,99.467,58.839,43.657,56.4
INST0195_N18_N15_D004,75.654,99.467,0.0,81.517,104.211,95.498,233.468,75.654,78.656,99.467,0.0,0.0,99.392,57.966,127.812,99.467,99.392,95.498,78.919,75.654,99.467,78.656,75.654,81.517,99.467,131.605,99.392,95.498,57.966,78.919,203.198,75.654,104.211,0.0,95.498,57.966,81.517
INST0195_N18_N15_P005,75.654,99.467,0.0,81.517,104.211,95.498,233.468,75.654,78.656,99.467,0.0,0.0,99.392,57.966,127.812,99.467,99.392,95.498,78.919,75.654,99.467,78.656,75.654,81.517,99.467,131.605,99.392,95.498,57.966,78.919,203.198,75.654,104.211,0.0,95.498,57.966,81.517
INST0195_N18_N15_D005,24.088,35.041,99.392,28.595,122.983,25.326,139.347,24.088,28.727,35.041,99.392,99.392,0.0,43.511,162.63,35.041,0.0,25.326,21.127,24.088,35.041,28.727,24.088,28.595,35.041,79.42,0.0,25.326,43.511,21.127,153.452,24.088,122.983,99.392,25.326,43.511,28.595
INST0195_N18_N15_P006,23.01,43.657,57.966,37.312,114.14,49.306,175.714,23.01,33.929,43.657,57.966,57.966,43.511,0.0,149.729,43.657,43.511,49.306,22.387,23.01,43.657,33.929,23.01,37.312,43.657,101.428,43.511,49.306,0.0,22.387,160.581,23.01,114.14,57.966,49.306,0.0,37.312
INST0195_N18_N15_D006,146.035,187.802,127.812,134.313,40.266,139.481,293.481,146.035,134.948,187.802,127.812,127.812,162.63,149.729,0.0,187.802,162.63,139.481,154.717,146.035,187.802,134.948,146.035,134.313,187.802,116.851,162.63,139.481,149.729,154.717,309.6,146.035,40.266,127.812,139.481,149.729,134.313
INST0195_N18_N15_P007,41.993,0.0,99.467,56.4,149.69,58.839,134.941,41.993,54.669,0.0,99.467,99.467,35.041,43.657,187.802,0.0,35.041,58.839,33.197,41.993,0.0,54.669,41.993,56.4,0.0,114.332,35.041,58.839,43.657,33.197,122.582,41.993,149.69,99.467,58.839,43.657,56.4
INST0195_N18_N15_D007,24.088,35.041,99.392,28.595,122.983,25.326,139.347,24.088,28.727,35.041,99.392,99.392,0.0,43.511,162.63,35.041,0.0,25.326,21.127,24.088,35.041,28.727,24.088,28.595,35.041,79.42,0.0,25.326,43.511,21.127,153.452,24.088,122.983,99.392,25.326,43.511,28.595
INST0195_N18_N15_P008,26.694,58.839,95.498,14.003,99.415,0.0,157.017,26.694,17.072,58.839,95.498,95.498,25.326,49.306,139.481,58.839,25.326,0.0,31.992,26.694,58.839,17.072,26.694,14.003,58.839,56.35,25.326,0.0,49.306,31.992,178.773,26.694,99.415,95.498,0.0,49.306,14.003
INST0195_N18_N15_D008,8.817,33.197,78.919,24.705,116.493,31.992,156.702,8.817,22.322,33.197,78.919,78.919,21.127,22.387,154.717,33.197,21.127,31.992,0.0,8.817,33.197,22.322,8.817,24.705,33.197,87.893,21.127,31.992,22.387,0.0,155.714,8.817,116.493,78.919,31.992,22.387,24.705
INST0195_N18_N15_P009,0.0,41.993,75.654,16.848,107.703,26.694,162.641,0.0,14.053,41.993,75.654,75.654,24.088,23.01,146.035,41.993,24.088,26.694,8.817,0.0,41.993,14.053,0.0,16.848,41.993,81.208,24.088,26.694,23.01,8.817,164.529,0.0,107.703,75.654,26.694,23.01,16.848
INST0195_N18_N15_D009,41.993,0.0,99.467,56.4,149.69,58.839,134.941,41.993,54.669,0.0,99.467,99.467,35.041,43.657,187.802,0.0,35.041,58.839,33.197,41.993,0.0,54.669,41.993,56.4,0.0,114.332,35.041,58.839,43.657,33.197,122.582,41.993,149.69,99.467,58.839,43.657,56.4
INST0195_N18_N15_P010,14.053,54.669,78.656,3.413,95.867,17.072,167.44,14.053,0.0,54.669,78.656,78.656,28.727,33.929,134.948,54.669,28.727,17.072,22.322,14.053,54.669,0.0,14.053,3.413,54.669,67.88,28.727,17.072,33.929,22.322,177.15,14.053,95.867,78.656,17.072,33.929,3.413
INST0195_N18_N15_D010,0.0,41.993,75.654,16.848,107.703,26.694,162.641,0.0,14.053,41.993,75.654,75.654,24.088,23.01,146.035,41.993,24.088,26.694,8.817,0.0,41.993,14.053,0.0,16.848,41.993,81.208,24.088,26.694,23.01,8.817,164.529,0.0,107.703,75.654,26.694,23.01,16.848
INST0195_N18_N15_P011,16.848,56.4,81.517,0.0,94.965,14.003,166.496,16.848,3.413,56.4,81.517,81.517,28.595,37.312,134.313,56.4,28.595,14.003,24.705,16.848,56.4,3.413,16.848,0.0,56.4,64.653,28.595,14.003,37.312,24.705,178.677,16.848,94.965,81.517,14.003,37.312,0.0
