,depot,INST0229_N20_W19_P000,INST0229_N20_W19_D000,INST0229_N20_W19_P001,INST0229_N20_W19_D001,INST0229_N20_W19_P002,INST0229_N20_W19_D002,INST0229_N20_W19_P003,INST0229_N20_W19_D003,INST0229_N20_W19_P004,INST0229_N20_W19_D004,INST0229_N20_W19_P005,INST0229_N20_W19_D005,INST0229_N20_W19_P006,INST0229_N20_W19_D006,INST0229_N20_W19_P007,INST0229_N20_W19_D007,INST0229_N20_W19_P008,INST0229_N20_W19_D008,INST0229_N20_W19_P009,INST0229_N20_W19_D009,INST0229_N20_W19_P010,INST0229_N20_W19_D010,INST0229_N20_W19_P011,INST0229_N20_W19_D011,INST0229_N20_W19_P012,INST0229_N20_W19_D012,INST0229_N20_W19_P013,INST0229_N20_W19_D013,INST0229_N20_W19_P014,INST0229_N20_W19_D014,INST0229_N20_W19_P015,INST0229_N20_W19_D015,INST0229_N20_W19_P016,INST0229_N20_W19_D016,INST0229_N20_W19_P017,INST0229_N20_W19_D017,INST0229_N20_W19_P018,INST0229_N20_W19_D018,INST0229_N20_W19_P019,INST0229_N20_W19_D019
depot,0.0,54.132,104.634,14.722,54.132,54.132,109.245,71.944,104.634,71.944,0.0,0.0,109.245,14.722,93.687,71.944,93.687,14.722,130.825,54.132,0.0,71.944,0.0,54.132,71.944,0.0,71.944,71.944,54.132,14.722,130.825,14.722,0.0,14.722,104.634,71.944,0.0,14.722,0.0,14.722,120.757
INST0229_N20_W19_P000,54.132,0.0,57.646,40.846,0.0,0.0,55.217,20.342,57.646,20.342,54.132,54.132,55.217,40.846,40.063,20.342,40.063,40.846,77.525,0.0,54.132,20.342,54.132,0.0,20.342,54.132,20.342,20.342,0.0,40.846,77.525,40.846,54.132,40.846,57.646,20.342,54.132,40.846,54.132,40.846,70.903
INST0229_N20_W19_D000,104.634,57.646,0.0,94.442,57.646,57.646,35.155,55.918,0.0,55.918,104.634,104.634,35.155,94.442,46.518,55.918,46.518,94.442,64.172,57.646,104.634,55.918,104.634,57.646,55.918,104.634,55.918,55.918,57.646,94.442,64.172,94.442,104.634,94.442,0.0,55.918,104.634,94.442,104.634,94.442,75.918
INST0229_N20_W19_P001,14.722,40.846,94.442,0.0,40.846,40.846,96.036,57.687,94.442,57.687,14.722,14.722,96.036,0.0,79.708,57.687,79.708,0.0,116.61,40.846,14.722,57.687,14.722,40.846,57.687,14.722,57.687,57.687,40.846,0.0,116.61,0.0,14.722,0.0,94.442,57.687,14.722,0.0,14.722,0.0,106.091
INST0229_N20_W19_D001,54.132,0.0,57.646,40.846,0.0,0.0,55.217,20.342,57.646,20.342,54.132,54.132,55.217,40.846,40.063,20.342,40.063,40.846,77.525,0.0,54.132,20.342,54.132,0.0,20.342,54.132,20.342,20.342,0.0,40.846,77.525,40.846,54.132,40.846,57.646,20.342,54.132,40.846,54.132,40.846,70.903
INST0229_N20_W19_P002,54.132,0.0,57.646,40.846,0.0,0.0,55.217,20.342,57.646,20.342,54.132,54.132,55.217,40.846,40.063,20.342,40.063,40.846,77.525,0.0,54.132,20.342,54.132,0.0,20.342,54.132,20.342,20.342,0.0,40.846,77.525,40.846,54.132,40.846,57.646,20.342,54.132,40.846,54.132,40.846,70.903
INST0229_N20_W19_D002,109.245,55.217,35.155,96.036,55.217,55.217,0.0,41.349,35.155,41.349,109.245,109.245,0.0,96.036,20.581,41.349,20.581,96.036,30.344,55.217,109.245,41.349,109.245,55.217,41.349,109.245,41.349,41.349,55.217,96.036,30.344,96.036,109.245,96.036,35.155,41.349,109.245,96.036,109.245,96.036,41.092
INST0229_N20_W19_P003,71.944,20.342,55.918,57.687,20.342,20.342,41.349,0.0,55.918,0.0,71.944,71.944,41.349,57.687,22.455,0.0,22.455,57.687,58.923,20.342,71.944,0.0,71.944,20.342,0.0,71.944,0.0,0.0,20.342,57.687,58.923,57.687,71.944,57.687,55.918,0.0,71.944,57.687,71.944,57.687,50.611
INST0229_N20_W19_D003,104.634,57.646,0.0,94.442,57.646,57.646,35.155,55.918,0.0,55.918,104.634,104.634,35.155,94.442,46.518,55.918,46.518,94.442,64.172,57.646,104.634,55.918,104.634,57.646,55.918,104.634,55.918,55.918,57.646,94.442,64.172,94.442,104.634,94.442,0.0,55.918,104.634,94.442,104.634,94.442,75.918
INST0229_N20_W19_P004,71.944,20.342,55.918,57.687,20.342,20.342,41.349,0.0,55.918,0.0,71.944,71.944,41.349,57.687,22.455,0.0,22.455,57.687,58.923,20.342,71.944,0.0,71.944,20.342,0.0,71.944,0.0,0.0,20.342,57.687,58.923,57.687,71.944,57.687,55.918,0.0,71.944,57.687,71.944,57.687,50.611
