,depot,INST0084_N8_N24_P000,INST0084_N8_N24_D000,INST0084_N8_N24_P001,INST0084_N8_N24_D001,INST0084_N8_N24_P002,INST0084_N8_N24_D002,INST0084_N8_N24_P003,INST0084_N8_N24_D003,INST0084_N8_N24_P004,INST0084_N8_N24_D004,INST0084_N8_N24_P005,INST0084_N8_N24_D005,INST0084_N8_N24_P006,INST0084_N8_N24_D006,INST0084_N8_N24_P007,INST0084_N8_N24_D007
depot,0.0,56.4,35.041,35.041,56.4,41.993,58.839,43.657,187.802,43.657,35.041,33.197,0.0,58.839,0.0,43.657,56.4
INST0084_N8_N24_P000,56.4,0.0,28.595,28.595,0.0,16.848,14.003,37.312,134.313,37.312,28.595,24.705,56.4,14.003,56.4,37.312,0.0
INST0084_N8_N24_D000,35.041,28.595,0.0,0.0,28.595,24.088,25.326,43.511,162.63,43.511,0.0,21.127,35.041,25.326,35.041,43.511,28.595
INST0084_N8_N24_P001,35.041,28.595,0.0,0.0,28.595,24.088,25.326,43.511,162.63,43.511,0.0,21.127,35.041,25.326,35.041,43.511,28.595
INST0084_N8_N24_D001,56.4,0.0,28.595,28.595,0.0,16.848,14.003,37.312,134.313,37.312,28.595,24.705,56.4,14.003,56.4,37.312,0.0
INST0084_N8_N24_P002,41.993,16.848,24.088,24.088,16.848,0.0,26.694,23.01,146.035,23.01,24.088,8.817,41.993,26.694,41.993,23.01,16.848
INST0084_N8_N24_D002,58.839,14.003,25.326,25.326,14.003,26.694,0.0,49.306,139.481,49.306,25.326,31.992,58.839,0.0,58.839,49.306,14.003
INST0084_N8_N24_P003,43.657,37.312,43.511,43.511,37.312,23.01,49.306,0.0,149.729,0.0,43.511,22.387,43.657,49.306,43.657,0.0,37.312
INST0084_N8_N24_D003,187.802,134.313,162.63,162.63,134.313,146.035,139.481,149.729,0.0,149.729,162.63,154.717,187.802,139.481,187.802,149.729,134.313
INST0084_N8_N24_P004,43.657,37.312,43.511,43.511,37.312,23.01,49.306,0.0,149.729,0.0,43.511,22.387,43.657,49.306,43.657,0.0,37.312
INST0084_N8_N24_D004,35.041,28.595,0.0,0.0,28.595,24.088,25.326,43.511,162.63,43.511,0.0,21.127,35.041,25.326,35.041,43.511,28.595
INST0084_N8_N24_P005,33.197,24.705,21.127,21.127,24.705,8.817,31.992,22.387,154.717,22.387,21.127,0.0,33.197,31.992,33.197,22.387,24.705
INST0084_N8_N24_D005,0.0,56.4,35.041,35.041,56.4,41.993,58.839,43.657,187.802,43.657,35.041,33.197,0.0,58.839,0.0,43.657,56.4
INST0084_N8_N24_P006,58.839,14.003,25.326,25.326,14.003,26.694,0.0,49.306,139.481,49.306,25.326,31.992,58.839,0.0,58.839,49.306,14.003
INST0084_N8_N24_D006,0.0,56.4,35.041,35.041,56.4,41.993,58.839,43.657,187.802,43.657,35.041,33.197,0.0,58.839,0.0,43.657,56.4
INST0084_N8_N24_P007,43.657,37.312,43.511,43.511,37.312,23.01,49.306,0.0,149.729,0.0,43.511,22.387,43.657,49.306,43.657,0.0,37.312
INST0084_N8_N24_D007,56.4,0.0,28.595,28.595,0.0,16.848,14.003,37.312,134.313,37.312,28.595,24.705,56.4,14.003,56.4,37.312,0.0
