,depot,INST0086_N8_S26_P000,INST0086_N8_S26_D000,INST0086_N8_S26_P001,INST0086_N8_S26_D001,INST0086_N8_S26_P002,INST0086_N8_S26_D002,INST0086_N8_S26_P003,INST0086_N8_S26_D003,INST0086_N8_S26_P004,INST0086_N8_S26_D004,INST0086_N8_S26_P005,INST0086_N8_S26_D005,INST0086_N8_S26_P006,INST0086_N8_S26_D006,INST0086_N8_S26_P007,INST0086_N8_S26_D007
depot,0.0,80.067,92.948,39.549,0.0,26.3,137.848,30.556,137.848,26.3,39.549,26.348,108.949,32.455,30.556,46.181,30.556
INST0086_N8_S26_P000,80.067,0.0,13.307,53.679,80.067,61.869,57.803,72.248,57.803,61.869,53.679,55.105,87.998,61.135,72.248,126.125,72.248
INST0086_N8_S26_D000,92.948,13.307,0.0,66.815,92.948,75.176,44.98,83.129,44.98,75.176,66.815,67.557,94.398,74.382,83.129,139.086,83.129
INST0086_N8_S26_P001,39.549,53.679,66.815,0.0,39.549,13.324,109.068,54.293,109.068,13.324,0.0,31.149,71.877,8.581,54.293,80.145,54.293
INST0086_N8_S26_D001,0.0,80.067,92.948,39.549,0.0,26.3,137.848,30.556,137.848,26.3,39.549,26.348,108.949,32.455,30.556,46.181,30.556
INST0086_N8_S26_P002,26.3,61.869,75.176,13.324,26.3,0.0,118.85,44.645,118.85,0.0,13.324,24.036,83.656,6.707,44.645,67.566,44.645
INST0086_N8_S26_D002,137.848,57.803,44.98,109.068,137.848,118.85,0.0,127.137,0.0,118.85,109.068,112.533,114.428,117.194,127.137,183.928,127.137
INST0086_N8_S26_P003,30.556,72.248,83.129,54.293,30.556,44.645,127.137,0.0,127.137,44.645,54.293,23.863,125.848,51.136,0.0,67.228,0.0
INST0086_N8_S26_D003,137.848,57.803,44.98,109.068,137.848,118.85,0.0,127.137,0.0,118.85,109.068,112.533,114.428,117.194,127.137,183.928,127.137
INST0086_N8_S26_P004,26.3,61.869,75.176,13.324,26.3,0.0,118.85,44.645,118.85,0.0,13.324,24.036,83.656,6.707,44.645,67.566,44.645
INST0086_N8_S26_D004,39.549,53.679,66.815,0.0,39.549,13.324,109.068,54.293,109.068,13.324,0.0,31.149,71.877,8.581,54.293,80.145,54.293
INST0086_N8_S26_P005,26.348,55.105,67.557,31.149,26.348,24.036,112.533,23.863,112.533,24.036,31.149,0.0,102.142,29.68,23.863,72.268,23.863
INST0086_N8_S26_D005,108.949,87.998,94.398,71.877,108.949,83.656,114.428,125.848,114.428,83.656,71.877,102.142,0.0,77.018,125.848,138.993,125.848
INST0086_N8_S26_P006,32.455,61.135,74.382,8.581,32.455,6.707,117.194,51.136,117.194,6.707,8.581,29.68,77.018,0.0,51.136,71.658,51.136
INST0086_N8_S26_D006,30.556,72.248,83.129,54.293,30.556,44.645,127.137,0.0,127.137,44.645,54.293,23.863,125.848,51.136,0.0,67.228,0.0
INST0086_N8_S26_P007,46.181,126.125,139.086,80.145,46.181,67.566,183.928,67.228,183.928,67.566,80.145,72.268,138.993,71.658,67.228,0.0,67.228
INST0086_N8_S26_D007,30.556,72.248,83.129,54.293,30.556,44.645,127.137,0.0,127.137,44.645,54.293,23.863,125.848,51.136,0.0,67.228,0.0
