,depot,INST0253_N22_W13_P000,INST0253_N22_W13_D000,INST0253_N22_W13_P001,INST0253_N22_W13_D001,INST0253_N22_W13_P002,INST0253_N22_W13_D002,INST0253_N22_W13_P003,INST0253_N22_W13_D003,INST0253_N22_W13_P004,INST0253_N22_W13_D004,INST0253_N22_W13_P005,INST0253_N22_W13_D005,INST0253_N22_W13_P006,INST0253_N22_W13_D006,INST0253_N22_W13_P007,INST0253_N22_W13_D007,INST0253_N22_W13_P008,INST0253_N22_W13_D008,INST0253_N22_W13_P009,INST0253_N22_W13_D009,INST0253_N22_W13_P010,INST0253_N22_W13_D010,INST0253_N22_W13_P011,INST0253_N22_W13_D011,INST0253_N22_W13_P012,INST0253_N22_W13_D012,INST0253_N22_W13_P013,INST0253_N22_W13_D013,INST0253_N22_W13_P014,INST0253_N22_W13_D014,INST0253_N22_W13_P015,INST0253_N22_W13_D015,INST0253_N22_W13_P016,INST0253_N22_W13_D016,INST0253_N22_W13_P017,INST0253_N22_W13_D017,INST0253_N22_W13_P018,INST0253_N22_W13_D018,INST0253_N22_W13_P019,INST0253_N22_W13_D019,INST0253_N22_W13_P020,INST0253_N22_W13_D020,INST0253_N22_W13_P021,INST0253_N22_W13_D021
depot,0.0,40.846,90.122,0.0,116.61,0.0,106.091,0.0,109.164,57.687,96.036,57.687,0.0,14.722,94.442,14.722,79.708,14.722,40.846,40.846,101.402,0.0,109.164,79.708,40.846,0.0,57.687,79.708,101.402,0.0,40.846,79.708,106.091,0.0,106.091,79.708,109.164,0.0,109.164,57.687,101.402,79.708,14.722,79.708,14.722
INST0253_N22_W13_P000,40.846,0.0,50.28,40.846,77.525,40.846,70.903,40.846,69.129,20.342,55.217,20.342,40.846,54.132,57.646,54.132,40.063,54.132,0.0,0.0,63.444,40.846,69.129,40.063,0.0,40.846,20.342,40.063,63.444,40.846,0.0,40.063,70.903,40.846,70.903,40.063,69.129,40.846,69.129,20.342,63.444,40.063,54.132,40.063,54.132
INST0253_N22_W13_D000,90.122,50.28,0.0,90.122,27.544,90.122,29.954,90.122,19.054,32.833,14.077,32.833,90.122,104.062,46.592,104.062,10.426,104.062,50.28,50.28,16.791,90.122,19.054,10.426,50.28,90.122,32.833,10.426,16.791,90.122,50.28,10.426,29.954,90.122,29.954,10.426,19.054,90.122,19.054,32.833,16.791,10.426,104.062,10.426,104.062
INST0253_N22_W13_P001,0.0,40.846,90.122,0.0,116.61,0.0,106.091,0.0,109.164,57.687,96.036,57.687,0.0,14.722,94.442,14.722,79.708,14.722,40.846,40.846,101.402,0.0,109.164,79.708,40.846,0.0,57.687,79.708,101.402,0.0,40.846,79.708,106.091,0.0,106.091,79.708,109.164,0.0,109.164,57.687,101.402,79.708,14.722,79.708,14.722
INST0253_N22_W13_D001,116.61,77.525,27.544,116.61,0.0,116.61,23.199,116.61,11.735,58.923,30.344,58.923,116.61,130.825,64.172,130.825,37.477,130.825,77.525,77.525,16.399,116.61,11.735,37.477,77.525,116.61,58.923,37.477,16.399,116.61,77.525,37.477,23.199,116.61,23.199,37.477,11.735,116.61,11.735,58.923,16.399,37.477,130.825,37.477,130.825
INST0253_N22_W13_P002,0.0,40.846,90.122,0.0,116.61,0.0,106.091,0.0,109.164,57.687,96.036,57.687,0.0,14.722,94.442,14.722,79.708,14.722,40.846,40.846,101.402,0.0,109.164,79.708,40.846,0.0,57.687,79.708,101.402,0.0,40.846,79.708,106.091,0.0,106.091,79.708,109.164,0.0,109.164,57.687,101.402,79.708,14.722,79.708,14.722
INST0253_N22_W13_D002,106.091,70.903,29.954,106.091,23.199,106.091,0.0,106.091,28.769,50.611,41.092,50.611,106.091,120.757,75.918,120.757,35.196,120.757,70.903,70.903,14.239,106.091,28.769,35.196,70.903,106.091,50.611,35.196,14.239,106.091,70.903,35.196,0.0,106.091,0.0,35.196,28.769,106.091,28.769,50.611,14.239,35.196,120.757,35.196,120.757
INST0253_N22_W13_P003,0.0,40.846,90.122,0.0,116.61,0.0,106.091,0.0,109.164,57.687,96.036,57.687,0.0,14.722,94.442,14.722,79.708,14.722,40.846,40.846,101.402,0.0,109.164,79.708,40.846,0.0,57.687,79.708,101.402,0.0,40.846,79.708,106.091,0.0,106.091,79.708,109.164,0.0,109.164,57.687,101.402,79.708,14.722,79.708,14.722
INST0253_N22_W13_D003,109.164,69.129,19.054,109.164,11.735,109.164,28.769,109.164,0.0,51.842,18.744,51.842,109.164,123.055,52.507,123.055,29.48,123.055,69.129,69.129,16.35,109.164,0.0,29.48,69.129,109.164,51.842,29.48,16.35,109.164,69.129,29.48,28.769,109.164,28.769,29.48,0.0,109.164,0.0,51.842,16.35,29.48,123.055,29.48,123.055
INST0253_N22_W13_P004,57.687,20.342,32.833,57.687,58.923,57.687,50.611,57.687,51.842,0.0,41.349,0.0,57.687,71.944,55.918,71.944,22.455,71.944,20.342,20.342,43.952,57.687,51.842,22.455,20.342,57.687,0.0,22.455,43.952,57.687,20.342,22.455,50.611,57.687,50.611,22.455,51.842,57.687,51.842,0.0,43.952,22.455,71.944,22.455,71.944
