,depot,INST0049_N5_W19_P000,INST0049_N5_W19_D000,INST0049_N5_W19_P001,INST0049_N5_W19_D001,INST0049_N5_W19_P002,INST0049_N5_W19_D002,INST0049_N5_W19_P003,INST0049_N5_W19_D003,INST0049_N5_W19_P004,INST0049_N5_W19_D004
depot,0.0,14.722,123.055,71.944,54.132,0.0,104.062,54.132,123.055,0.0,123.055
INST0049_N5_W19_P000,14.722,0.0,109.164,57.687,40.846,14.722,90.122,40.846,109.164,14.722,109.164
INST0049_N5_W19_D000,123.055,109.164,0.0,51.842,69.129,123.055,19.054,69.129,0.0,123.055,0.0
INST0049_N5_W19_P001,71.944,57.687,51.842,0.0,20.342,71.944,32.833,20.342,51.842,71.944,51.842
INST0049_N5_W19_D001,54.132,40.846,69.129,20.342,0.0,54.132,50.28,0.0,69.129,54.132,69.129
INST0049_N5_W19_P002,0.0,14.722,123.055,71.944,54.132,0.0,104.062,54.132,123.055,0.0,123.055
INST0049_N5_W19_D002,104.062,90.122,19.054,32.833,50.28,104.062,0.0,50.28,19.054,104.062,19.054
INST0049_N5_W19_P003,54.132,40.846,69.129,20.342,0.0,54.132,50.28,0.0,69.129,54.132,69.129
INST0049_N5_W19_D003,123.055,109.164,0.0,51.842,69.129,123.055,19.054,69.129,0.0,123.055,0.0
INST0049_N5_W19_P004,0.0,14.722,123.055,71.944,54.132,0.0,104.062,54.132,123.055,0.0,123.055
INST0049_N5_W19_D004,123.055,109.164,0.0,51.842,69.129,123.055,19.054,69.129,0.0,123.055,0.0
