,depot,INST0134_N12_S14_P000,INST0134_N12_S14_D000,INST0134_N12_S14_P001,INST0134_N12_S14_D001,INST0134_N12_S14_P002,INST0134_N12_S14_D002,INST0134_N12_S14_P003,INST0134_N12_S14_D003,INST0134_N12_S14_P004,INST0134_N12_S14_D004,INST0134_N12_S14_P005,INST0134_N12_S14_D005,INST0134_N12_S14_P006,INST0134_N12_S14_D006,INST0134_N12_S14_P007,INST0134_N12_S14_D007,INST0134_N12_S14_P008,INST0134_N12_S14_D008,INST0134_N12_S14_P009,INST0134_N12_S14_D009,INST0134_N12_S14_P010,INST0134_N12_S14_D010,INST0134_N12_S14_P011,INST0134_N12_S14_D011
depot,0.0,54.293,109.068,80.145,39.549,39.549,66.815,54.293,13.324,66.815,39.549,54.293,109.068,66.815,71.877,66.815,109.068,8.581,54.293,39.549,80.145,31.149,0.0,80.145,0.0
INST0134_N12_S14_P000,54.293,0.0,127.137,67.228,30.556,30.556,83.129,0.0,44.645,83.129,30.556,0.0,127.137,83.129,125.848,83.129,127.137,51.136,0.0,30.556,67.228,23.863,54.293,67.228,54.293
INST0134_N12_S14_D000,109.068,127.137,0.0,183.928,137.848,137.848,44.98,127.137,118.85,44.98,137.848,127.137,0.0,44.98,114.428,44.98,0.0,117.194,127.137,137.848,183.928,112.533,109.068,183.928,109.068
INST0134_N12_S14_P001,80.145,67.228,183.928,0.0,46.181,46.181,139.086,67.228,67.566,139.086,46.181,67.228,183.928,139.086,138.993,139.086,183.928,71.658,67.228,46.181,0.0,72.268,80.145,0.0,80.145
INST0134_N12_S14_D001,39.549,30.556,137.848,46.181,0.0,0.0,92.948,30.556,26.3,92.948,0.0,30.556,137.848,92.948,108.949,92.948,137.848,32.455,30.556,0.0,46.181,26.348,39.549,46.181,39.549
INST0134_N12_S14_P002,39.549,30.556,137.848,46.181,0.0,0.0,92.948,30.556,26.3,92.948,0.0,30.556,137.848,92.948,108.949,92.948,137.848,32.455,30.556,0.0,46.181,26.348,39.549,46.181,39.549
INST0134_N12_S14_D002,66.815,83.129,44.98,139.086,92.948,92.948,0.0,83.129,75.176,0.0,92.948,83.129,44.98,0.0,94.398,0.0,44.98,74.382,83.129,92.948,139.086,67.557,66.815,139.086,66.815
INST0134_N12_S14_P003,54.293,0.0,127.137,67.228,30.556,30.556,83.129,0.0,44.645,83.129,30.556,0.0,127.137,83.129,125.848,83.129,127.137,51.136,0.0,30.556,67.228,23.863,54.293,67.228,54.293
INST0134_N12_S14_D003,13.324,44.645,118.85,67.566,26.3,26.3,75.176,44.645,0.0,75.176,26.3,44.645,118.85,75.176,83.656,75.176,118.85,6.707,44.645,26.3,67.566,24.036,13.324,67.566,13.324
INST0134_N12_S14_P004,66.815,83.129,44.98,139.086,92.948,92.948,0.0,83.129,75.176,0.0,92.948,83.129,44.98,0.0,94.398,0.0,44.98,74.382,83.129,92.948,139.086,67.557,66.815,139.086,66.815
INST0134_N12_S14_D004,39.549,30.556,137.848,46.181,0.0,0.0,92.948,30.556,26.3,92.948,0.0,30.556,137.848,92.948,108.949,92.948,137.848,32.455,30.556,0.0,46.181,26.348,39.549,46.181,39.549
INST0134_N12_S14_P005,54.293,0.0,127.137,67.228,30.556,30.556,83.129,0.0,44.645,83.129,30.556,0.0,127.137,83.129,125.848,83.129,127.137,51.136,0.0,30.556,67.228,23.863,54.293,67.228,54.293
INST0134_N12_S14_D005,109.068,127.137,0.0,183.928,137.848,137.848,44.98,127.137,118.85,44.98,137.848,127.137,0.0,44.98,114.428,44.98,0.0,117.194,127.137,137.848,183.928,112.533,109.068,183.928,109.068
INST0134_N12_S14_P006,66.815,83.129,44.98,139.086,92.948,92.948,0.0,83.129,75.176,0.0,92.948,83.129,44.98,0.0,94.398,0.0,44.98,74.382,83.129,92.948,139.086,67.557,66.815,139.086,66.815
INST0134_N12_S14_D006,71.877,125.848,114.428,138.993,108.949,108.949,94.398,125.848,83.656,94.398,108.949,125.848,114.428,94.398,0.0,94.398,114.428,77.018,125.848,108.949,138.993,102.142,71.877,138.993,71.877
INST0134_N12_S14_P007,66.815,83.129,44.98,139.086,92.948,92.948,0.0,83.129,75.176,0.0,92.948,83.129,44.98,0.0,94.398,0.0,44.98,74.382,83.129,92.948,139.086,67.557,66.815,139.086,66.815
INST0134_N12_S14_D007,109.068,127.137,0.0,183.928,137.848,137.848,44.98,127.137,118.85,44.98,137.848,127.137,0.0,44.98,114.428,44.98,0.0,117.194,127.137,137.848,183.928,112.533,109.068,183.928,109.068
INST0134_N12_S14_P008,8.581,51.136,117.194,71.658,32.455,32.455,74.382,51.136,6.707,74.382,32.455,51.136,117.194,74.382,77.018,74.382,117.194,0.0,51.136,32.455,71.658,29.68,8.581,71.658,8.581
INST0134_N12_S14_D008,54.293,0.0,127.137,67.228,30.556,30.556,83.129,0.0,44.645,83.129,30.556,0.0,127.137,83.129,125.848,83.129,127.137,51.136,0.0,30.556,67.228,23.863,54.293,67.228,54.293
INST0134_N12_S14_P009,39.549,30.556,137.848,46.181,0.0,0.0,92.948,30.556,26.3,92.948,0.0,30.556,137.848,92.948,108.949,92.948,137.848,32.455,30.556,0.0,46.181,26.348,39.549,46.181,39.549
INST0134_N12_S14_D009,80.145,67.228,183.928,0.0,46.181,46.181,139.086,67.228,67.566,139.086,46.181,67.228,183.928,139.086,138.993,139.086,183.928,71.658,67.228,46.181,0.0,72.268,80.145,0.0,80.145
