,depot,INST0098_N10_S08_P000,INST0098_N10_S08_D000,INST0098_N10_S08_P001,INST0098_N10_S08_D001,INST0098_N10_S08_P002,INST0098_N10_S08_D002,INST0098_N10_S08_P003,INST0098_N10_S08_D003,INST0098_N10_S08_P004,INST0098_N10_S08_D004,INST0098_N10_S08_P005,INST0098_N10_S08_D005,INST0098_N10_S08_P006,INST0098_N10_S08_D006,INST0098_N10_S08_P007,INST0098_N10_S08_D007,INST0098_N10_S08_P008,INST0098_N10_S08_D008,INST0098_N10_S08_P009,INST0098_N10_S08_D009
depot,0.0,32.455,74.382,32.455,77.018,8.581,51.136,8.581,6.707,61.135,29.68,74.382,0.0,29.68,117.194,51.136,77.018,74.382,117.194,61.135,51.136
INST0098_N10_S08_P000,32.455,0.0,92.948,0.0,108.949,39.549,30.556,39.549,26.3,80.067,26.348,92.948,32.455,26.348,137.848,30.556,108.949,92.948,137.848,80.067,30.556
INST0098_N10_S08_D000,74.382,92.948,0.0,92.948,94.398,66.815,83.129,66.815,75.176,13.307,67.557,0.0,74.382,67.557,44.98,83.129,94.398,0.0,44.98,13.307,83.129
INST0098_N10_S08_P001,32.455,0.0,92.948,0.0,108.949,39.549,30.556,39.549,26.3,80.067,26.348,92.948,32.455,26.348,137.848,30.556,108.949,92.948,137.848,80.067,30.556
INST0098_N10_S08_D001,77.018,108.949,94.398,108.949,0.0,71.877,125.848,71.877,83.656,87.998,102.142,94.398,77.018,102.142,114.428,125.848,0.0,94.398,114.428,87.998,125.848
INST0098_N10_S08_P002,8.581,39.549,66.815,39.549,71.877,0.0,54.293,0.0,13.324,53.679,31.149,66.815,8.581,31.149,109.068,54.293,71.877,66.815,109.068,53.679,54.293
INST0098_N10_S08_D002,51.136,30.556,83.129,30.556,125.848,54.293,0.0,54.293,44.645,72.248,23.863,83.129,51.136,23.863,127.137,0.0,125.848,83.129,127.137,72.248,0.0
INST0098_N10_S08_P003,8.581,39.549,66.815,39.549,71.877,0.0,54.293,0.0,13.324,53.679,31.149,66.815,8.581,31.149,109.068,54.293,71.877,66.815,109.068,53.679,54.293
INST0098_N10_S08_D003,6.707,26.3,75.176,26.3,83.656,13.324,44.645,13.324,0.0,61.869,24.036,75.176,6.707,24.036,118.85,44.645,83.656,75.176,118.85,61.869,44.645
INST0098_N10_S08_P004,61.135,80.067,13.307,80.067,87.998,53.679,72.248,53.679,61.869,0.0,55.105,13.307,61.135,55.105,57.803,72.248,87.998,13.307,57.803,0.0,72.248
INST0098_N10_S08_D004,29.68,26.348,67.557,26.348,102.142,31.149,23.863,31.149,24.036,55.105,0.0,67.557,29.68,0.0,112.533,23.863,102.142,67.557,112.533,55.105,23.863
INST0098_N10_S08_P005,74.382,92.948,0.0,92.948,94.398,66.815,83.129,66.815,75.176,13.307,67.557,0.0,74.382,67.557,44.98,83.129,94.398,0.0,44.98,13.307,83.129
INST0098_N10_S08_D005,0.0,32.455,74.382,32.455,77.018,8.581,51.136,8.581,6.707,61.135,29.68,74.382,0.0,29.68,117.194,51.136,77.018,74.382,117.194,61.135,51.136
INST0098_N10_S08_P006,29.68,26.348,67.557,26.348,102.142,31.149,23.863,31.149,24.036,55.105,0.0,67.557,29.68,0.0,112.533,23.863,102.142,67.557,112.533,55.105,23.863
INST0098_N10_S08_D006,117.194,137.848,44.98,137.848,114.428,109.068,127.137,109.068,118.85,57.803,112.533,44.98,117.194,112.533,0.0,127.137,114.428,44.98,0.0,57.803,127.137
INST0098_N10_S08_P007,51.136,30.556,83.129,30.556,125.848,54.293,0.0,54.293,44.645,72.248,23.863,83.129,51.136,23.863,127.137,0.0,125.848,83.129,127.137,72.248,0.0
INST0098_N10_S08_D007,77.018,108.949,94.398,108.949,0.0,71.877,125.848,71.877,83.656,87.998,102.142,94.398,77.018,102.142,114.428,125.848,0.0,94.398,114.428,87.998,125.848
INST0098_N10_S08_P008,74.382,92.948,0.0,92.948,94.398,66.815,83.129,66.815,75.176,13.307,67.557,0.0,74.382,67.557,44.98,83.129,94.398,0.0,44.98,13.307,83.129
INST0098_N10_S08_D008,117.194,137.848,44.98,137.848,114.428,109.068,127.137,109.068,118.85,57.803,112.533,44.98,117.194,112.533,0.0,127.137,114.428,44.98,0.0,57.803,127.137
INST0098_N10_S08_P009,61.135,80.067,13.307,80.067,87.998,53.679,72.248,53.679,61.869,0.0,55.105,13.307,61.135,55.105,57.803,72.248,87.998,13.307,57.803,0.0,72.248
INST0098_N10_S08_D009,51.136,30.556,83.129,30.556,125.848,54.293,0.0,54.293,44.645,72.248,23.863,83.129,51.136,23.863,127.137,0.0,125.848,83.129,127.137,72.248,0.0
