,depot,INST0062_N8_S02_P000,INST0062_N8_S02_D000,INST0062_N8_S02_P001,INST0062_N8_S02_D001,INST0062_N8_S02_P002,INST0062_N8_S02_D002,INST0062_N8_S02_P003,INST0062_N8_S02_D003,INST0062_N8_S02_P004,INST0062_N8_S02_D004,INST0062_N8_S02_P005,INST0062_N8_S02_D005,INST0062_N8_S02_P006,INST0062_N8_S02_D006,INST0062_N8_S02_P007,INST0062_N8_S02_D007
depot,0.0,24.036,31.149,55.105,102.142,31.149,112.533,72.268,55.105,67.557,55.105,0.0,102.142,67.557,55.105,0.0,152.108
INST0062_N8_S02_P000,24.036,0.0,13.324,61.869,83.656,13.324,118.85,67.566,61.869,75.176,61.869,24.036,83.656,75.176,61.869,24.036,160.028
INST0062_N8_S02_D000,31.149,13.324,0.0,53.679,71.877,0.0,109.068,80.145,53.679,66.815,53.679,31.149,71.877,66.815,53.679,31.149,150.553
INST0062_N8_S02_P001,55.105,61.869,53.679,0.0,87.998,53.679,57.803,126.125,0.0,13.307,0.0,55.105,87.998,13.307,0.0,55.105,98.41
INST0062_N8_S02_D001,102.142,83.656,71.877,87.998,0.0,71.877,114.428,138.993,87.998,94.398,87.998,102.142,0.0,94.398,87.998,102.142,151.155
INST0062_N8_S02_P002,31.149,13.324,0.0,53.679,71.877,0.0,109.068,80.145,53.679,66.815,53.679,31.149,71.877,66.815,53.679,31.149,150.553
INST0062_N8_S02_D002,112.533,118.85,109.068,57.803,114.428,109.068,0.0,183.928,57.803,44.98,57.803,112.533,114.428,44.98,57.803,112.533,41.594
INST0062_N8_S02_P003,72.268,67.566,80.145,126.125,138.993,80.145,183.928,0.0,126.125,139.086,126.125,72.268,138.993,139.086,126.125,72.268,224.124
INST0062_N8_S02_D003,55.105,61.869,53.679,0.0,87.998,53.679,57.803,126.125,0.0,13.307,0.0,55.105,87.998,13.307,0.0,55.105,98.41
INST0062_N8_S02_P004,67.557,75.176,66.815,13.307,94.398,66.815,44.98,139.086,13.307,0.0,13.307,67.557,94.398,0.0,13.307,67.557,85.211
INST0062_N8_S02_D004,55.105,61.869,53.679,0.0,87.998,53.679,57.803,126.125,0.0,13.307,0.0,55.105,87.998,13.307,0.0,55.105,98.41
INST0062_N8_S02_P005,0.0,24.036,31.149,55.105,102.142,31.149,112.533,72.268,55.105,67.557,55.105,0.0,102.142,67.557,55.105,0.0,152.108
INST0062_N8_S02_D005,102.142,83.656,71.877,87.998,0.0,71.877,114.428,138.993,87.998,94.398,87.998,102.142,0.0,94.398,87.998,102.142,151.155
INST0062_N8_S02_P006,67.557,75.176,66.815,13.307,94.398,66.815,44.98,139.086,13.307,0.0,13.307,67.557,94.398,0.0,13.307,67.557,85.211
INST0062_N8_S02_D006,55.105,61.869,53.679,0.0,87.998,53.679,57.803,126.125,0.0,13.307,0.0,55.105,87.998,13.307,0.0,55.105,98.41
INST0062_N8_S02_P007,0.0,24.036,31.149,55.105,102.142,31.149,112.533,72.268,55.105,67.557,55.105,0.0,102.142,67.557,55.105,0.0,152.108
INST0062_N8_S02_D007,152.108,160.028,150.553,98.41,151.155,150.553,41.594,224.124,98.41,85.211,98.41,152.108,151.155,85.211,98.41,152.108,0.0
