,depot,INST0283_N25_W13_P000,INST0283_N25_W13_D000,INST0283_N25_W13_P001,INST0283_N25_W13_D001,INST0283_N25_W13_P002,INST0283_N25_W13_D002,INST0283_N25_W13_P003,INST0283_N25_W13_D003,INST0283_N25_W13_P004,INST0283_N25_W13_D004,INST0283_N25_W13_P005,INST0283_N25_W13_D005,INST0283_N25_W13_P006,INST0283_N25_W13_D006,INST0283_N25_W13_P007,INST0283_N25_W13_D007,INST0283_N25_W13_P008,INST0283_N25_W13_D008,INST0283_N25_W13_P009,INST0283_N25_W13_D009,INST0283_N25_W13_P010,INST0283_N25_W13_D010,INST0283_N25_W13_P011,INST0283_N25_W13_D011,INST0283_N25_W13_P012,INST0283_N25_W13_D012,INST0283_N25_W13_P013,INST0283_N25_W13_D013,INST0283_N25_W13_P014,INST0283_N25_W13_D014,INST0283_N25_W13_P015,INST0283_N25_W13_D015,INST0283_N25_W13_P016,INST0283_N25_W13_D016,INST0283_N25_W13_P017,INST0283_N25_W13_D017,INST0283_N25_W13_P018,INST0283_N25_W13_D018,INST0283_N25_W13_P019,INST0283_N25_W13_D019,INST0283_N25_W13_P020,INST0283_N25_W13_D020,INST0283_N25_W13_P021,INST0283_N25_W13_D021,INST0283_N25_W13_P022,INST0283_N25_W13_D022,INST0283_N25_W13_P023,INST0283_N25_W13_D023,INST0283_N25_W13_P024,INST0283_N25_W13_D024
depot,0.0,18.026,117.595,0.0,117.595,18.026,110.354,50.015,129.907,97.602,129.907,50.015,0.0,97.602,142.787,70.637,133.671,97.602,133.671,18.026,129.907,50.015,124.166,70.637,50.015,18.026,97.602,18.026,50.015,50.015,97.602,70.637,129.907,50.015,0.0,70.637,110.354,0.0,117.595,97.602,124.166,70.637,50.015,0.0,129.907,18.026,117.595,70.637,124.166,50.015,133.671
INST0283_N25_W13_P000,18.026,0.0,133.769,18.026,133.769,0.0,127.423,66.284,147.866,114.719,147.866,66.284,18.026,114.719,160.194,88.095,150.679,114.719,150.679,0.0,147.866,66.284,141.804,88.095,66.284,0.0,114.719,0.0,66.284,66.284,114.719,88.095,147.866,66.284,18.026,88.095,127.423,18.026,133.769,114.719,141.804,88.095,66.284,18.026,147.866,0.0,133.769,88.095,141.804,66.284,150.679
INST0283_N25_W13_D000,117.595,133.769,0.0,117.595,0.0,133.769,17.238,67.612,50.317,25.201,50.317,67.612,117.595,25.201,37.156,50.631,22.951,25.201,22.951,133.769,50.317,67.612,32.905,50.631,67.612,133.769,25.201,133.769,67.612,67.612,25.201,50.631,50.317,67.612,117.595,50.631,17.238,117.595,0.0,25.201,32.905,50.631,67.612,117.595,50.317,133.769,0.0,50.631,32.905,67.612,22.951
INST0283_N25_W13_P001,0.0,18.026,117.595,0.0,117.595,18.026,110.354,50.015,129.907,97.602,129.907,50.015,0.0,97.602,142.787,70.637,133.671,97.602,133.671,18.026,129.907,50.015,124.166,70.637,50.015,18.026,97.602,18.026,50.015,50.015,97.602,70.637,129.907,50.015,0.0,70.637,110.354,0.0,117.595,97.602,124.166,70.637,50.015,0.0,129.907,18.026,117.595,70.637,124.166,50.015,133.671
INST0283_N25_W13_D001,117.595,133.769,0.0,117.595,0.0,133.769,17.238,67.612,50.317,25.201,50.317,67.612,117.595,25.201,37.156,50.631,22.951,25.201,22.951,133.769,50.317,67.612,32.905,50.631,67.612,133.769,25.201,133.769,67.612,67.612,25.201,50.631,50.317,67.612,117.595,50.631,17.238,117.595,0.0,25.201,32.905,50.631,67.612,117.595,50.317,133.769,0.0,50.631,32.905,67.612,22.951
INST0283_N25_W13_P002,18.026,0.0,133.769,18.026,133.769,0.0,127.423,66.284,147.866,114.719,147.866,66.284,18.026,114.719,160.194,88.095,150.679,114.719,150.679,0.0,147.866,66.284,141.804,88.095,66.284,0.0,114.719,0.0,66.284,66.284,114.719,88.095,147.866,66.284,18.026,88.095,127.423,18.026,133.769,114.719,141.804,88.095,66.284,18.026,147.866,0.0,133.769,88.095,141.804,66.284,150.679
INST0283_N25_W13_D002,110.354,127.423,17.238,110.354,17.238,127.423,0.0,61.567,36.679,12.767,36.679,61.567,110.354,12.767,33.728,40.204,23.331,12.767,23.331,127.423,36.679,61.567,20.56,40.204,61.567,127.423,12.767,127.423,61.567,61.567,12.767,40.204,36.679,61.567,110.354,40.204,0.0,110.354,17.238,12.767,20.56,40.204,61.567,110.354,36.679,127.423,17.238,40.204,20.56,61.567,23.331
INST0283_N25_W13_P003,50.015,66.284,67.612,50.015,67.612,66.284,61.567,0.0,86.82,49.056,86.82,0.0,50.015,49.056,94.929,24.909,84.648,49.056,84.648,66.284,86.82,0.0,77.687,24.909,0.0,66.284,49.056,66.284,0.0,0.0,49.056,24.909,86.82,0.0,50.015,24.909,61.567,50.015,67.612,49.056,77.687,24.909,0.0,50.015,86.82,66.284,67.612,24.909,77.687,0.0,84.648
INST0283_N25_W13_D003,129.907,147.866,50.317,129.907,50.317,147.866,36.679,86.82,0.0,43.098,0.0,86.82,129.907,43.098,28.407,61.972,35.228,43.098,35.228,147.866,0.0,86.82,17.435,61.972,86.82,147.866,43.098,147.866,86.82,86.82,43.098,61.972,0.0,86.82,129.907,61.972,36.679,129.907,50.317,43.098,17.435,61.972,86.82,129.907,0.0,147.866,50.317,61.972,17.435,86.82,35.228
INST0283_N25_W13_P004,97.602,114.719,25.201,97.602,25.201,114.719,12.767,49.056,43.098,0.0,43.098,49.056,97.602,0.0,45.89,27.496,36.098,0.0,36.098,114.719,43.098,49.056,29.878,27.496,49.056,114.719,0.0,114.719,49.056,49.056,0.0,27.496,43.098,49.056,97.602,27.496,12.767,97.602,25.201,0.0,29.878,27.496,49.056,97.602,43.098,114.719,25.201,27.496,29.878,49.056,36.098
INST0283_N25_W13_D004,129.907,147.866,50.317,129.907,50.317,147.866,36.679,86.82,0.0,43.098,0.0,86.82,129.907,43.098,28.407,61.972,35.228,43.098,35.228,147.866,0.0,86.82,17.435,61.972,86.82,147.866,43.098,147.866,86.82,86.82,43.098,61.972,0.0,86.82,129.907,61.972,36.679,129.907,50.317,43.098,17.435,61.972,86.82,129.907,0.0,147.866,50.317,61.972,17.435,86.82,35.228
INST0283_N25_W13_P005,50.015,66.284,67.612,50.015,67.612,66.284,61.567,0.0,86.82,49.056,86.82,0.0,50.015,49.056,94.929,24.909,84.648,49.056,84.648,66.284,86.82,0.0,77.687,24.909,0.0,66.284,49.056,66.284,0.0,0.0,49.056,24.909,86.82,0.0,50.015,24.909,61.567,50.015,67.612,49.056,77.687,24.909,0.0,50.015,86.82,66.284,67.612,24.909,77.687,0.0,84.648
INST0283_N25_W13_D005,0.0,18.026,117.595,0.0,117.595,18.026,110.354,50.015,129.907,97.602,129.907,50.015,0.0,97.602,142.787,70.637,133.671,97.602,133.671,18.026,129.907,50.015,124.166,70.637,50.015,18.026,97.602,18.026,50.015,50.015,97.602,70.637,129.907,50.015,0.0,70.637,110.354,0.0,117.595,97.602,124.166,70.637,50.015,0.0,129.907,18.026,117.595,70.637,124.166,50.015,133.671
INST0283_N25_W13_P006,97.602,114.719,25.201,97.602,25.201,114.719,12.767,49.056,43.098,0.0,43.098,49.056,97.602,0.0,45.89,27.496,36.098,0.0,36.098,114.719,43.098,49.056,29.878,27.496,49.056,114.719,0.0,114.719,49.056,49.056,0.0,27.496,43.098,49.056,97.602,27.496,12.767,97.602,25.201,0.0,29.878,27.496,49.056,97.602,43.098,114.719,25.201,27.496,29.878,49.056,36.098
INST0283_N25_W13_D006,142.787,160.194,37.156,142.787,37.156,160.194,33.728,94.929,28.407,45.89,28.407,94.929,142.787,45.89,0.0,72.151,14.369,45.89,14.369,160.194,28.407,94.929,20.081,72.151,94.929,160.194,45.89,160.194,94.929,94.929,45.89,72.151,28.407,94.929,142.787,72.151,33.728,142.787,37.156,45.89,20.081,72.151,94.929,142.787,28.407,160.194,37.156,72.151,20.081,94.929,14.369
INST0283_N25_W13_P007,70.637,88.095,50.631,70.637,50.631,88.095,40.204,24.909,61.972,27.496,61.972,24.909,70.637,27.496,72.151,0.0,63.48,27.496,63.48,88.095,61.972,24.909,53.818,0.0,24.909,88.095,27.496,88.095,24.909,24.909,27.496,0.0,61.972,24.909,70.637,0.0,40.204,70.637,50.631,27.496,53.818,0.0,24.909,70.637,61.972,88.095,50.631,0.0,53.818,24.909,63.48
INST0283_N25_W13_D007,133.671,150.679,22.951,133.671,22.951,150.679,23.331,84.648,35.228,36.098,35.228,84.648,133.671,36.098,14.369,63.48,0.0,36.098,0.0,150.679,35.228,84.648,20.02,63.48,84.648,150.679,36.098,150.679,84.648,84.648,36.098,63.48,35.228,84.648,133.671,63.48,23.331,133.671,22.951,36.098,20.02,63.48,84.648,133.671,35.228,150.679,22.951,63.48,20.02,84.648,0.0
INST0283_N25_W13_P008,97.602,114.719,25.201,97.602,25.201,114.719,12.767,49.056,43.098,0.0,43.098,49.056,97.602,0.0,45.89,27.496,36.098,0.0,36.098,114.719,43.098,49.056,29.878,27.496,49.056,114.719,0.0,114.719,49.056,49.056,0.0,27.496,43.098,49.056,97.602,27.496,12.767,97.602,25.201,0.0,29.878,27.496,49.056,97.602,43.098,114.719,25.201,27.496,29.878,49.056,36.098
INST0283_N25_W13_D008,133.671,150.679,22.951,133.671,22.951,150.679,23.331,84.648,35.228,36.098,35.228,84.648,133.671,36.098,14.369,63.48,0.0,36.098,0.0,150.679,35.228,84.648,20.02,63.48,84.648,150.679,36.098,150.679,84.648,84.648,36.098,63.48,35.228,84.648,133.671,63.48,23.331,133.671,22.951,36.098,20.02,63.48,84.648,133.671,35.228,150.679,22.951,63.48,20.02,84.648,0.0
INST0283_N25_W13_P009,18.026,0.0,133.769,18.026,133.769,0.0,127.423,66.284,147.866,114.719,147.866,66.284,18.026,114.719,160.194,88.095,150.679,114.719,150.679,0.0,147.866,66.284,141.804,88.095,66.284,0.0,114.719,0.0,66.284,66.284,114.719,88.095,147.866,66.284,18.026,88.095,127.423,18.026,133.769,114.719,141.804,88.095,66.284,18.026,147.866,0.0,133.769,88.095,141.804,66.284,150.679
INST0283_N25_W13_D009,129.907,147.866,50.317,129.907,50.317,147.866,36.679,86.82,0.0,43.098,0.0,86.82,129.907,43.098,28.407,61.972,35.228,43.098,35.228,147.866,0.0,86.82,17.435,61.972,86.82,147.866,43.098,147.866,86.82,86.82,43.098,61.972,0.0,86.82,129.907,61.972,36.679,129.907,50.317,43.098,17.435,61.972,86.82,129.907,0.0,147.866,50.317,61.972,17.435,86.82,35.228
INST0283_N25_W13_P010,50.015,66.284,67.612,50.015,67.612,66.284,61.567,0.0,86.82,49.056,86.82,0.0,50.015,49.056,94.929,24.909,84.648,49.056,84.648,66.284,86.82,0.0,77.687,24.909,0.0,66.284,49.056,66.284,0.0,0.0,49.056,24.909,86.82,0.0,50.015,24.909,61.567,50.015,67.612,49.056,77.687,24.909,0.0,50.015,86.82,66.284,67.612,24.909,77.687,0.0,84.648
INST0283_N25_W13_D010,124.166,141.804,32.905,124.166,32.905,141.804,20.56,77.687,17.435,29.878,17.435,77.687,124.166,29.878,20.081,53.818,20.02,29.878,20.02,141.804,17.435,77.687,0.0,53.818,77.687,141.804,29.878,141.804,77.687,77.687,29.878,53.818,17.435,77.687,124.166,53.818,20.56,124.166,32.905,29.878,0.0,53.818,77.687,124.166,17.435,141.804,32.905,53.818,0.0,77.687,20.02
INST0283_N25_W13_P011,70.637,88.095,50.631,70.637,50.631,88.095,40.204,24.909,61.972,27.496,61.972,24.909,70.637,27.496,72.151,0.0,63.48,27.496,63.48,88.095,61.972,24.909,53.818,0.0,24.909,88.095,27.496,88.095,24.909,24.909,27.496,0.0,61.972,24.909,70.637,0.0,40.204,70.637,50.631,27.496,53.818,0.0,24.909,70.637,61.972,88.095,50.631,0.0,53.818,24.909,63.48
INST0283_N25_W13_D011,50.015,66.284,67.612,50.015,67.612,66.284,61.567,0.0,86.82,49.056,86.82,0.0,50.015,49.056,94.929,24.909,84.648,49.056,84.648,66.284,86.82,0.0,77.687,24.909,0.0,66.284,49.056,66.284,0.0,0.0,49.056,24.909,86.82,0.0,50.015,24.909,61.567,50.015,67.612,49.056,77.687,24.909,0.0,50.015,86.82,66.284,67.612,24.909,77.687,0.0,84.648
INST0283_N25_W13_P012,18.026,0.0,133.769,18.026,133.769,0.0,127.423,66.284,147.866,114.719,147.866,66.284,18.026,114.719,160.194,88.095,150.679,114.719,150.679,0.0,147.866,66.284,141.804,88.095,66.284,0.0,114.719,0.0,66.284,66.284,114.719,88.095,147.866,66.284,18.026,88.095,127.423,18.026,133.769,114.719,141.804,88.095,66.284,18.026,147.866,0.0,133.769,88.095,141.804,66.284,150.679
INST0283_N25_W13_D012,97.602,114.719,25.201,97.602,25.201,114.719,12.767,49.056,43.098,0.0,43.098,49.056,97.602,0.0,45.89,27.496,36.098,0.0,36.098,114.719,43.098,49.056,29.878,27.496,49.056,114.719,0.0,114.719,49.056,49.056,0.0,27.496,43.098,49.056,97.602,27.496,12.767,97.602,25.201,0.0,29.878,27.496,49.056,97.602,43.098,114.719,25.201,27.496,29.878,49.056,36.098
INST0283_N25_W13_P013,18.026,0.0,133.769,18.026,133.769,0.0,127.423,66.284,147.866,114.719,147.866,66.284,18.026,114.719,160.194,88.095,150.679,114.719,150.679,0.0,147.866,66.284,141.804,88.095,66.284,0.0,114.719,0.0,66.284,66.284,114.719,88.095,147.866,66.284,18.026,88.095,127.423,18.026,133.769,114.719,141.804,88.095,66.284,18.026,147.866,0.0,133.769,88.095,141.804,66.284,150.679
